17856,picture,attention,392,842,126,"{source,arm,lose,especially}",could,single,door,question,null
17857,your,church,369,288,441,{term},total,week,which,whole,null
17858,face,skill,505,947,937,"{them,billion,same,beyond,indicate}",policy,case,owner,billion,null
17859,thank,reflect,758,400,156,"{middle,film,these}",rule,feel,reality,serious,null
17860,fill,already,616,853,399,"{letter,develop,war,almost,everything,identify}",analysis,ahead,surface,wrong,null
17861,share,education,664,32,607,"{feeling,hospital}",guy,tree,feeling,road,null
17862,hear,body,595,256,442,"{picture,stage,stay,report,significant,chair}",character,forward,relationship,build,null
17863,in,son,316,18,716,"{short,strategy,Congress,country}",notice,shoulder,season,space,null
17864,dog,that,214,566,338,"{health,table}",move,bag,ground,fine,null
17865,air,rate,79,924,421,{answer},series,must,road,despite,null
17866,sense,management,507,661,32,"{enjoy,involve,yeah,figure}",American,too,hour,career,null
17867,author,blood,390,902,509,"{director,relate}",stay,development,system,significant,null
17868,scientist,might,639,179,131,"{pressure,goal,partner}",important,who,marriage,down,null
17869,until,most,675,858,790,"{quickly,necessary}",condition,cover,sense,deep,null
17870,back,direction,584,648,428,"{minute,push,recognize,director,wife,lead}",family,beautiful,discover,attorney,null
17871,explain,get,435,674,608,"{participant,feeling,in,drive,our}",put,standard,option,analysis,null
17872,size,vote,672,122,535,{military},sort,interview,high,share,null
17873,indeed,source,542,443,360,"{bar,join}",whole,admit,behavior,generation,null
17874,perform,body,121,297,374,"{full,center,although}",person,well,money,listen,null
17875,upon,identify,3,539,193,{argue},have,direction,race,hotel,null
17876,fill,yet,685,395,442,"{network,nor,international,who,believe}",direction,buy,difference,perhaps,null
17877,oil,miss,387,630,195,{process},continue,marriage,amount,instead,null
17878,effort,public,128,207,697,"{sea,she,those,while,move}",lot,quickly,word,able,null
17879,serve,item,907,616,322,"{often,finally,sort}",dog,catch,performance,chair,null
17880,rest,seat,966,712,49,"{interest,fear,employee,various}",president,mouth,floor,direction,null
17881,operation,spend,592,79,333,"{significant,wonder,reality}",play,stand,suffer,sport,null
17882,suffer,decade,896,967,344,"{attention,father,store}",all,quite,sure,whole,null
17883,but,radio,323,371,415,"{another,base,left,bit,prove,owner}",discover,need,eye,people,null
17884,just,agreement,165,589,754,"{law,network}",several,wear,ready,campaign,null
17885,practice,available,815,756,849,{red},share,control,city,along,null
17886,end,nor,756,877,676,"{base,reason,member,skill,establish}",name,side,there,whether,null
17887,institution,option,596,742,669,"{class,happen}",bad,base,program,after,null
17888,also,build,281,930,260,"{Republican,treat,major}",understand,surface,field,culture,null
17889,activity,near,548,165,293,"{city,girl}",federal,large,east,Mrs,null
17890,maintain,Republican,620,258,251,"{style,management}",explain,conference,room,own,null
17891,by,energy,534,892,845,"{ahead,him,name,son,measure,view}",weight,heart,really,beat,null
17892,fund,turn,454,47,483,"{poor,difference,mother,sea}",cell,fact,attack,add,null
17893,resource,else,963,851,995,"{spring,wide}",fight,you,although,culture,null
17894,crime,minute,373,720,751,{area},add,billion,nation,bar,null
17895,since,high,827,144,717,"{behavior,sometimes,a,national,control}",consumer,low,watch,section,null
17896,subject,understand,425,511,620,"{keep,difference,when,step,radio}",apply,would,help,quality,null
17897,who,protect,622,487,251,"{usually,ability}",special,phone,worker,political,null
17898,base,store,363,293,941,"{page,as,reduce}",into,goal,left,ok,null
17899,color,mind,552,523,250,{learn},agent,provide,assume,land,null
17900,section,reflect,448,466,388,"{bill,write,for,rule}",forward,particular,health,upon,null
17901,rich,lay,858,608,324,"{bank,ability,candidate,card,moment,begin}",miss,so,deep,focus,null
17902,support,thought,318,24,604,"{understand,defense,PM,out,reflect}",military,room,animal,capital,null
17903,test,try,893,349,242,{natural},poor,back,blood,term,null
17904,despite,offer,612,942,107,{news},different,method,since,save,null
17905,ready,because,807,22,820,"{person,employee,administration,everybody,his}",together,catch,go,least,null
17906,soldier,off,87,730,380,"{stay,affect,pretty,economy}",win,production,travel,goal,null
17907,attention,foot,378,879,731,"{fill,if,design,future,person,fall}",material,explain,administration,party,null
17908,parent,enough,19,628,967,"{left,church,vote,partner}",decade,ground,early,parent,null
17909,office,wide,120,836,99,"{financial,PM,response,ready,study}",ready,institution,father,travel,null
17910,cultural,each,426,953,82,"{feel,letter,view,appear}",collection,yard,improve,have,null
17911,technology,picture,740,947,361,"{employee,morning,station,spring}",rich,agent,consumer,tell,null
17912,firm,speech,464,853,945,{officer},cup,tough,light,foot,null
17913,blood,pattern,259,710,874,"{safe,everything,rate,well}",dog,camera,along,raise,null
17914,read,listen,382,653,47,"{ready,production,discuss}",represent,always,occur,moment,null
17915,fear,consider,584,902,739,{other},still,herself,you,collection,null
17916,wind,act,907,325,539,"{floor,hand,key}",leader,light,improve,same,null
17917,sign,let,504,343,862,"{night,enjoy,Republican,head,on}",college,practice,project,ability,null
17918,class,evening,57,31,673,"{study,assume,write}",without,they,opportunity,indeed,null
17919,turn,cause,746,800,62,"{particularly,explain}",executive,positive,force,white,null
17920,reflect,let,330,844,118,"{state,while,you,catch,beyond}",bed,professor,card,bar,null
17921,often,weight,18,505,742,"{couple,firm,way,produce}",us,figure,job,black,null
17922,worker,production,165,888,442,"{myself,establish,practice,keep,win,let}",animal,about,eye,technology,null
17923,many,understand,946,496,425,"{whether,old,more,player,can,American}",degree,management,leader,performance,null
17924,type,blood,58,98,199,"{add,few,have,necessary,note}",truth,many,plan,baby,null
17925,class,site,628,952,404,{value},know,action,town,address,null
17926,including,purpose,408,184,209,"{develop,former}",bad,drive,continue,short,null
17927,material,gas,158,936,153,"{institution,every}",floor,throughout,have,executive,null
17928,agent,yes,652,855,761,"{manager,despite,fall,moment,take}",political,bank,operation,up,null
17929,side,sport,922,669,790,{well},suffer,middle,song,collection,null
17930,imagine,night,330,16,812,{buy},time,simple,stock,whose,null
17931,mention,ask,335,399,45,"{with,change,they}",continue,color,four,no,null
17932,ahead,today,912,371,809,{perform},third,wife,impact,establish,null
17933,forget,wear,508,208,194,"{any,suddenly}",animal,simply,popular,energy,null
17934,often,page,344,396,774,"{ago,almost,true,happen}",store,style,realize,maybe,null
17935,partner,traditional,195,445,110,"{first,yourself}",force,garden,hear,trip,null
17936,bring,window,656,897,151,"{we,rich,dinner,evidence}",environment,hit,actually,head,null
17937,indicate,even,143,696,221,{mouth},include,thought,face,suffer,null
17938,degree,take,911,60,526,"{chair,sense}",popular,scene,card,suddenly,null
17939,rule,system,698,326,590,"{practice,husband,despite,religious}",begin,minute,member,level,null
17940,small,force,879,879,688,"{impact,wrong}",check,lead,system,experience,null
17941,world,fall,441,786,454,"{sit,cultural,final,quickly,but,professor}",threat,lot,theory,choice,null
17942,attack,person,738,289,824,"{attorney,then,college}",structure,hotel,manage,team,null
17943,note,interview,677,573,548,"{soon,computer,me,either,firm}",idea,property,street,back,null
17944,company,much,355,965,883,"{include,do,new,lose,sit}",focus,start,act,we,null
17945,action,million,575,916,154,"{itself,beat}",wear,teach,let,should,null
17946,during,style,66,392,122,"{hundred,relationship,national}",on,yes,matter,piece,null
17947,state,movement,813,938,207,"{head,sound}",exactly,central,wide,entire,null
17948,daughter,air,311,398,799,"{law,out,reason,image}",religious,they,reach,imagine,null
17949,wide,believe,142,146,241,"{modern,others,weight}",vote,try,fact,against,null
17950,very,usually,514,345,330,"{on,similar,song,discover,staff}",to,environmental,seven,somebody,null
17951,our,phone,935,749,156,"{meeting,he}",thing,today,team,live,null
17952,citizen,especially,289,547,253,"{amount,product,marriage,soldier,station,institution}",both,fire,market,cover,null
17953,boy,cut,667,327,893,"{identify,camera}",have,break,natural,listen,null
17954,everything,sound,294,54,338,"{human,manage,system}",power,everything,trouble,exist,null
17955,house,page,641,546,280,{pass},speak,none,rise,foreign,null
