9906,over,move,763,827,127,"{analysis,plan,word,every,tree,money}",main,667,share,211,born,null
9907,into,bring,950,817,501,{represent},age,583,bag,998,them,null
9908,side,wish,603,434,767,"{life,author,camera}",population,636,simple,403,three,null
9909,girl,oil,454,892,277,{forward},should,693,might,831,him,null
9910,hour,language,429,917,765,{by},pretty,72,what,792,kitchen,null
9911,accept,color,707,393,438,{support},adult,677,at,632,give,null
9912,today,someone,541,123,602,"{better,executive,art,support,state,card}",already,778,color,703,fall,null
9913,personal,reflect,408,931,545,"{rich,way,work,seem,newspaper}",still,199,bring,277,answer,null
9914,someone,through,409,744,390,"{leg,force,necessary,choose,low}",such,1,something,728,federal,null
9915,article,option,704,832,785,"{data,throw,then}",country,2,tax,283,late,null
9916,social,interesting,304,134,61,"{positive,once,during}",term,853,mouth,85,effect,null
9917,involve,street,917,246,238,{shoulder},wear,99,account,852,him,null
9918,single,artist,967,272,622,"{few,site}",manage,816,wife,83,some,null
9919,film,talk,432,819,480,"{walk,television}",far,270,election,956,believe,null
9920,we,political,630,633,393,"{begin,each}",relationship,579,when,498,always,null
9921,data,expert,786,225,439,"{create,run,well,wide,support,such}",three,336,loss,522,suggest,null
9922,subject,writer,503,961,332,"{should,choose,shoulder,idea}",direction,552,operation,43,use,null
9923,man,product,211,223,255,"{street,building,think,center,ten,talk}",bed,45,among,261,team,null
9924,game,work,107,581,500,"{reason,fund,statement,go,design}",our,429,personal,434,performance,null
9925,vote,teacher,640,978,580,{all},term,161,card,82,skill,null
9926,bad,language,515,228,135,"{president,voice}",interest,831,million,435,tough,null
9927,stand,Mr,127,79,421,"{appear,one}",in,990,year,250,require,null
9928,late,nation,47,945,447,"{instead,Mr,first,suffer,respond}",know,536,development,390,less,null
9929,agent,chair,75,201,741,"{compare,interview,feeling,two}",build,721,human,374,reality,null
9930,fight,early,796,110,276,"{operation,page,deal,position}",rest,404,above,741,table,null
9931,else,happy,339,303,138,"{difference,cost,table,no}",toward,503,while,396,brother,null
9932,until,picture,501,255,650,"{stop,heavy,bar,their,watch,human}",from,935,manager,961,media,null
9933,set,indeed,521,296,480,"{recognize,north,rest}",product,555,benefit,924,open,null
9934,his,guy,350,619,645,"{fund,understand,spring}",necessary,903,heavy,799,certainly,null
9935,player,letter,1,643,271,"{newspaper,garden,ready}",art,137,large,146,both,null
9936,hotel,along,347,624,715,"{while,walk,laugh,now,continue,expert}",half,65,purpose,510,center,null
9937,no,ever,84,565,784,"{myself,east,friend,season,describe}",late,448,million,563,system,null
9938,hospital,pass,816,726,876,"{where,practice,necessary}",car,997,watch,286,gas,null
9939,identify,southern,206,522,142,"{face,truth}",let,111,challenge,327,energy,null
9940,choose,medical,272,412,69,"{people,point,near,peace,tonight,fight}",back,90,fish,770,sort,null
9941,amount,degree,927,243,938,"{full,majority,leader}",front,157,draw,677,what,null
9942,agency,activity,631,660,130,"{avoid,yet,include}",sing,842,power,848,kid,null
9943,society,bill,185,291,173,{long},idea,32,board,782,amount,null
9944,cell,produce,490,815,744,"{city,quality,entire,central}",clear,35,fine,790,mean,null
9945,blue,better,956,801,610,"{beautiful,forward}",game,79,enough,578,party,null
9946,speech,responsibility,772,909,337,"{loss,group}",eat,561,war,693,south,null
9947,number,job,325,436,828,"{owner,science,very,she,month,wait}",area,960,already,755,always,null
9948,before,use,699,197,731,"{consumer,court,shake,religious,defense,themselves}",off,169,leave,313,final,null
9949,book,such,151,840,688,"{any,space,everything,executive,listen,ask}",beat,352,offer,866,song,null
9950,cost,scene,776,684,18,"{difference,building,rather,poor}",continue,472,in,166,seat,null
9951,high,onto,316,24,779,"{among,particularly,quickly,company,policy}",life,559,financial,453,agreement,null
9952,particularly,almost,275,389,862,"{exist,within,learn,total,national,need}",protect,434,put,355,them,null
9953,notice,goal,956,541,81,"{son,road,ahead,parent}",data,177,thought,32,American,null
9954,energy,leader,271,932,997,"{phone,enter}",carry,603,hard,533,grow,null
9955,glass,suddenly,420,848,873,"{up,practice,lot,apply}",performance,455,hope,669,heavy,null
9956,compare,success,330,56,218,"{actually,no,rate,suggest}",life,329,rise,805,open,null
9957,road,letter,808,556,776,"{population,fly,ten}",maintain,223,health,842,particular,null
9958,agency,role,696,70,310,"{over,third,during,someone,see,through}",bank,219,radio,816,them,null
9959,minute,another,690,303,520,"{late,relate,lawyer,run}",resource,944,friend,276,down,null
9960,affect,technology,537,118,562,"{bill,job}",finish,231,people,710,herself,null
9961,surface,six,599,639,360,{more},threat,447,dream,503,forward,null
