query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4750.228000,4750.228000,4750.228000,4750.228000,1.672000,1.672000,4751.900000
Q002,selection_projection,1,1,1721.144000,1721.144000,1721.144000,1721.144000,0.407000,0.407000,1721.551000
Q003,selection_projection,1,1,1693.689000,1693.689000,1693.689000,1693.689000,0.336000,0.336000,1694.025000
Q004,selection_projection,1,1,1448.180000,1448.180000,1448.180000,1448.180000,0.233000,0.233000,1448.413000
Q005,selection_projection,1,1,98.172000,98.172000,98.172000,98.172000,0.086000,0.086000,98.258000
Q006,selection_projection,1,1,1139.914000,1139.914000,1139.914000,1139.914000,0.151000,0.151000,1140.065000
Q007,selection_projection,1,1,198.381000,198.381000,198.381000,198.381000,0.088000,0.088000,198.469000
Q008,selection_projection,1,1,175.249000,175.249000,175.249000,175.249000,0.051000,0.051000,175.300000
Q009,selection_projection,1,1,9.361000,9.361000,9.361000,9.361000,0.057000,0.057000,9.418000
Q010,selection_projection,1,1,9.210000,9.210000,9.210000,9.210000,0.041000,0.041000,9.251000
Q011,selection_projection,1,1,38.130000,38.130000,38.130000,38.130000,0.035000,0.035000,38.165000
Q012,selection_projection,1,1,10.499000,10.499000,10.499000,10.499000,0.035000,0.035000,10.534000
Q013,selection_projection,1,1,59.164000,59.164000,59.164000,59.164000,0.027000,0.027000,59.191000
Q014,selection_projection,1,1,9.701000,9.701000,9.701000,9.701000,0.034000,0.034000,9.735000
Q015,selection_projection,1,1,34.710000,34.710000,34.710000,34.710000,0.118000,0.118000,34.828000
Q016,selection_projection,1,1,22.077000,22.077000,22.077000,22.077000,0.031000,0.031000,22.108000
Q017,selection_projection,1,1,228.376000,228.376000,228.376000,228.376000,0.083000,0.083000,228.459000
Q018,selection_projection,1,1,175.461000,175.461000,175.461000,175.461000,0.079000,0.079000,175.540000
Q019,selection_projection,1,1,164.949000,164.949000,164.949000,164.949000,0.055000,0.055000,165.004000
Q020,selection_projection,1,1,8.857000,8.857000,8.857000,8.857000,0.054000,0.054000,8.911000
Q021,selection_projection,1,1,2.238000,2.238000,2.238000,2.238000,0.051000,0.051000,2.289000
Q022,selection_projection,1,1,118.947000,118.947000,118.947000,118.947000,0.045000,0.045000,118.992000
Q023,selection_projection,1,1,1.508000,1.508000,1.508000,1.508000,0.061000,0.061000,1.569000
Q024,selection_projection,1,1,350.526000,350.526000,350.526000,350.526000,3.920000,3.920000,354.446000
Q025,selection_projection,1,1,112.326000,112.326000,112.326000,112.326000,0.093000,0.093000,112.419000
Q026,selection_projection,1,1,8.007000,8.007000,8.007000,8.007000,0.053000,0.053000,8.060000
Q027,selection_projection,1,1,86.873000,86.873000,86.873000,86.873000,0.040000,0.040000,86.913000
