query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1626.586000,1626.586000,1626.586000,1626.586000,1.200000,1.200000,1627.786000
Q002,selection_projection,1,1,1728.367000,1728.367000,1728.367000,1728.367000,0.430000,0.430000,1728.797000
Q003,selection_projection,1,1,1779.560000,1779.560000,1779.560000,1779.560000,0.294000,0.294000,1779.854000
Q004,selection_projection,1,1,1517.415000,1517.415000,1517.415000,1517.415000,0.239000,0.239000,1517.654000
Q005,selection_projection,1,1,106.079000,106.079000,106.079000,106.079000,0.089000,0.089000,106.168000
Q006,selection_projection,1,1,1191.922000,1191.922000,1191.922000,1191.922000,0.175000,0.175000,1192.097000
Q007,selection_projection,1,1,211.449000,211.449000,211.449000,211.449000,0.087000,0.087000,211.536000
Q008,selection_projection,1,1,189.380000,189.380000,189.380000,189.380000,0.054000,0.054000,189.434000
Q009,selection_projection,1,1,9.803000,9.803000,9.803000,9.803000,0.054000,0.054000,9.857000
Q010,selection_projection,1,1,7.913000,7.913000,7.913000,7.913000,0.040000,0.040000,7.953000
Q011,selection_projection,1,1,40.983000,40.983000,40.983000,40.983000,0.039000,0.039000,41.022000
Q012,selection_projection,1,1,10.835000,10.835000,10.835000,10.835000,0.034000,0.034000,10.869000
Q013,selection_projection,1,1,62.595000,62.595000,62.595000,62.595000,0.028000,0.028000,62.623000
Q014,selection_projection,1,1,10.144000,10.144000,10.144000,10.144000,0.040000,0.040000,10.184000
Q015,selection_projection,1,1,35.953000,35.953000,35.953000,35.953000,0.122000,0.122000,36.075000
Q016,selection_projection,1,1,23.370000,23.370000,23.370000,23.370000,0.035000,0.035000,23.405000
Q017,selection_projection,1,1,232.450000,232.450000,232.450000,232.450000,0.097000,0.097000,232.547000
Q018,selection_projection,1,1,185.561000,185.561000,185.561000,185.561000,0.126000,0.126000,185.687000
Q019,selection_projection,1,1,158.969000,158.969000,158.969000,158.969000,0.054000,0.054000,159.023000
Q020,selection_projection,1,1,8.492000,8.492000,8.492000,8.492000,0.055000,0.055000,8.547000
Q021,selection_projection,1,1,2.120000,2.120000,2.120000,2.120000,0.037000,0.037000,2.157000
Q022,selection_projection,1,1,115.205000,115.205000,115.205000,115.205000,0.034000,0.034000,115.239000
Q023,selection_projection,1,1,1.496000,1.496000,1.496000,1.496000,0.075000,0.075000,1.571000
Q024,selection_projection,1,1,142.295000,142.295000,142.295000,142.295000,0.227000,0.227000,142.522000
Q025,selection_projection,1,1,105.473000,105.473000,105.473000,105.473000,0.094000,0.094000,105.567000
Q026,selection_projection,1,1,7.477000,7.477000,7.477000,7.477000,0.055000,0.055000,7.532000
Q027,selection_projection,1,1,80.422000,80.422000,80.422000,80.422000,0.039000,0.039000,80.461000
Q028,selection_projection,1,1,16.545000,16.545000,16.545000,16.545000,0.047000,0.047000,16.592000
Q029,selection_projection,1,1,6.724000,6.724000,6.724000,6.724000,0.065000,0.065000,6.789000
Q030,selection_projection,1,1,7.499000,7.499000,7.499000,7.499000,0.060000,0.060000,7.559000
Q031,weak_owner,1,1,1.715000,1.715000,1.715000,1.715000,0.066000,0.066000,1.781000
Q032,weak_owner,1,1,2065.559000,2065.559000,2065.559000,2065.559000,0.352000,0.352000,2065.911000
Q033,weak_owner,1,1,1.952000,1.952000,1.952000,1.952000,0.073000,0.073000,2.025000
Q034,weak_owner,1,1,1775.447000,1775.447000,1775.447000,1775.447000,0.236000,0.236000,1775.683000
Q035,weak_owner,1,1,0.708000,0.708000,0.708000,0.708000,0.090000,0.090000,0.798000
