query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4477.504000,4477.504000,4477.504000,4477.504000,0.304000,0.304000,4477.808000
Q002,selection_projection,1,1,1662.793000,1662.793000,1662.793000,1662.793000,0.058000,0.058000,1662.851000
Q003,selection_projection,1,1,1223.206000,1223.206000,1223.206000,1223.206000,0.103000,0.103000,1223.309000
Q004,selection_projection,1,1,1435.011000,1435.011000,1435.011000,1435.011000,0.136000,0.136000,1435.147000
Q005,selection_projection,1,1,1194.968000,1194.968000,1194.968000,1194.968000,0.061000,0.061000,1195.029000
Q006,selection_projection,1,1,1306.758000,1306.758000,1306.758000,1306.758000,0.067000,0.067000,1306.825000
Q007,selection_projection,1,1,940.574000,940.574000,940.574000,940.574000,0.064000,0.064000,940.638000
Q008,selection_projection,1,1,922.932000,922.932000,922.932000,922.932000,0.055000,0.055000,922.987000
Q009,selection_projection,1,1,865.628000,865.628000,865.628000,865.628000,0.061000,0.061000,865.689000
Q010,selection_projection,1,1,983.825000,983.825000,983.825000,983.825000,0.063000,0.063000,983.888000
Q011,selection_projection,1,1,973.702000,973.702000,973.702000,973.702000,0.056000,0.056000,973.758000
Q012,selection_projection,1,1,972.050000,972.050000,972.050000,972.050000,0.057000,0.057000,972.107000
Q013,selection_projection,1,1,1078.633000,1078.633000,1078.633000,1078.633000,0.059000,0.059000,1078.692000
Q014,selection_projection,1,1,979.451000,979.451000,979.451000,979.451000,0.061000,0.061000,979.512000
Q015,selection_projection,1,1,1370.226000,1370.226000,1370.226000,1370.226000,0.068000,0.068000,1370.294000
Q016,selection_projection,1,1,970.235000,970.235000,970.235000,970.235000,0.058000,0.058000,970.293000
Q017,selection_projection,1,1,1476.116000,1476.116000,1476.116000,1476.116000,0.067000,0.067000,1476.183000
Q018,selection_projection,1,1,1048.523000,1048.523000,1048.523000,1048.523000,0.065000,0.065000,1048.588000
Q019,selection_projection,1,1,1012.112000,1012.112000,1012.112000,1012.112000,0.059000,0.059000,1012.171000
Q020,selection_projection,1,1,977.589000,977.589000,977.589000,977.589000,0.059000,0.059000,977.648000
Q021,selection_projection,1,1,989.437000,989.437000,989.437000,989.437000,0.060000,0.060000,989.497000
Q022,selection_projection,1,1,1209.020000,1209.020000,1209.020000,1209.020000,0.067000,0.067000,1209.087000
Q023,selection_projection,1,1,908.310000,908.310000,908.310000,908.310000,0.059000,0.059000,908.369000
Q024,selection_projection,1,1,489.514000,489.514000,489.514000,489.514000,0.073000,0.073000,489.587000
Q025,selection_projection,1,1,159.433000,159.433000,159.433000,159.433000,0.062000,0.062000,159.495000
Q026,selection_projection,1,1,113.934000,113.934000,113.934000,113.934000,0.060000,0.060000,113.994000
Q027,selection_projection,1,1,143.296000,143.296000,143.296000,143.296000,0.073000,0.073000,143.369000
Q028,selection_projection,1,1,126.191000,126.191000,126.191000,126.191000,0.052000,0.052000,126.243000
Q029,selection_projection,1,1,7.976000,7.976000,7.976000,7.976000,0.069000,0.069000,8.045000
Q030,selection_projection,1,1,6.574000,6.574000,6.574000,6.574000,0.064000,0.064000,6.638000
Q031,weak_owner,1,1,2.078000,2.078000,2.078000,2.078000,0.064000,0.064000,2.142000
Q032,weak_owner,1,1,2282.605000,2282.605000,2282.605000,2282.605000,0.145000,0.145000,2282.750000
Q033,weak_owner,1,1,2.449000,2.449000,2.449000,2.449000,0.111000,0.111000,2.560000
Q034,weak_owner,1,1,2085.513000,2085.513000,2085.513000,2085.513000,0.213000,0.213000,2085.726000
Q035,weak_owner,1,1,2.507000,2.507000,2.507000,2.507000,0.258000,0.258000,2.765000
Q036,weak_owner,1,1,544.831000,544.831000,544.831000,544.831000,0.485000,0.485000,545.316000
Q037,weak_owner,1,1,10.787000,10.787000,10.787000,10.787000,0.189000,0.189000,10.976000
Q038,weak_owner,1,1,147.720000,147.720000,147.720000,147.720000,0.242000,0.242000,147.962000
Q039,weak_owner,1,1,11.569000,11.569000,11.569000,11.569000,0.169000,0.169000,11.738000
Q040,weak_owner,1,1,252.794000,252.794000,252.794000,252.794000,0.309000,0.309000,253.103000
Q041,weak_owner,1,1,2.256000,2.256000,2.256000,2.256000,0.100000,0.100000,2.356000
Q042,weak_owner,1,1,2.468000,2.468000,2.468000,2.468000,0.046000,0.046000,2.514000
Q043,weak_owner,1,1,2.876000,2.876000,2.876000,2.876000,0.066000,0.066000,2.942000
Q044,weak_owner,1,1,201.412000,201.412000,201.412000,201.412000,25.164000,25.164000,226.576000
Q045,weak_owner,1,1,2.439000,2.439000,2.439000,2.439000,0.087000,0.087000,2.526000
Q046,weak_owner,1,1,1.267000,1.267000,1.267000,1.267000,0.065000,0.065000,1.332000
Q047,weak_owner,1,1,12.345000,12.345000,12.345000,12.345000,24.943000,24.943000,37.288000
Q048,weak_owner,1,1,25.762000,25.762000,25.762000,25.762000,2.324000,2.324000,28.086000
Q049,weak_owner,1,1,6.609000,6.609000,6.609000,6.609000,0.484000,0.484000,7.093000
Q050,weak_owner,1,1,17.738000,17.738000,17.738000,17.738000,0.479000,0.479000,18.217000
Q051,relationship_join,1,1,2844.652000,2844.652000,2844.652000,2844.652000,0.512000,0.512000,2845.164000
Q052,relationship_join,1,1,13694.612000,13694.612000,13694.612000,13694.612000,0.524000,0.524000,13695.136000
Q053,relationship_join,1,1,10885.529000,10885.529000,10885.529000,10885.529000,25.247000,25.247000,10910.776000
Q054,relationship_join,1,1,16458.443000,16458.443000,16458.443000,16458.443000,26.073000,26.073000,16484.516000
Q055,relationship_join,1,1,3504.325000,3504.325000,3504.325000,3504.325000,43.336000,43.336000,3547.661000
Q056,relationship_join,1,1,2347.721000,2347.721000,2347.721000,2347.721000,1.517000,1.517000,2349.238000
Q057,relationship_join,1,1,5.725000,5.725000,5.725000,5.725000,0.760000,0.760000,6.485000
Q058,relationship_join,1,1,264.263000,264.263000,264.263000,264.263000,0.694000,0.694000,264.957000
Q059,relationship_join,1,1,944.357000,944.357000,944.357000,944.357000,0.522000,0.522000,944.879000
Q060,relationship_join,1,1,85.980000,85.980000,85.980000,85.980000,1.701000,1.701000,87.681000
Q061,relationship_join,1,1,64.459000,64.459000,64.459000,64.459000,0.953000,0.953000,65.412000
Q062,relationship_join,1,1,8.693000,8.693000,8.693000,8.693000,0.895000,0.895000,9.588000
Q063,relationship_join,1,1,33986.655000,33986.655000,33986.655000,33986.655000,0.826000,0.826000,33987.481000
Q064,relationship_join,1,1,190.861000,190.861000,190.861000,190.861000,1.481000,1.481000,192.342000
Q065,relationship_join,1,1,54.887000,54.887000,54.887000,54.887000,1.440000,1.440000,56.327000
Q066,relationship_join,1,1,791.244000,791.244000,791.244000,791.244000,1.352000,1.352000,792.596000
Q067,relationship_join,1,1,20.201000,20.201000,20.201000,20.201000,2.098000,2.098000,22.299000
Q068,relationship_join,1,1,3012.211000,3012.211000,3012.211000,3012.211000,0.713000,0.713000,3012.924000
Q069,relationship_join,1,1,2275.405000,2275.405000,2275.405000,2275.405000,1.102000,1.102000,2276.507000
Q070,relationship_join,1,1,457.753000,457.753000,457.753000,457.753000,1.381000,1.381000,459.134000
Q071,aggregation,1,1,2171.068000,2171.068000,2171.068000,2171.068000,1.388000,1.388000,2172.456000
Q072,aggregation,1,1,31905.520000,31905.520000,31905.520000,31905.520000,43.623000,43.623000,31949.143000
Q073,aggregation,1,1,3185.443000,3185.443000,3185.443000,3185.443000,40.119000,40.119000,3225.562000
Q074,aggregation,1,1,145.925000,145.925000,145.925000,145.925000,43.256000,43.256000,189.181000
Q075,aggregation,1,1,43399.488000,43399.488000,43399.488000,43399.488000,1.380000,1.380000,43400.868000
Q076,aggregation,1,1,290.921000,290.921000,290.921000,290.921000,12.297000,12.297000,303.218000
Q077,aggregation,1,1,560.833000,560.833000,560.833000,560.833000,1.294000,1.294000,562.127000
Q078,aggregation,1,1,3.923000,3.923000,3.923000,3.923000,0.755000,0.755000,4.678000
Q079,aggregation,1,1,114.802000,114.802000,114.802000,114.802000,1.762000,1.762000,116.564000
Q080,aggregation,1,1,179.448000,179.448000,179.448000,179.448000,55.262000,55.262000,234.710000
Q081,aggregation,1,1,416.900000,416.900000,416.900000,416.900000,40.985000,40.985000,457.885000
Q082,aggregation,1,1,73.684000,73.684000,73.684000,73.684000,0.489000,0.489000,74.173000
Q083,aggregation,1,1,241.377000,241.377000,241.377000,241.377000,0.153000,0.153000,241.530000
Q084,aggregation,1,1,49.670000,49.670000,49.670000,49.670000,41.084000,41.084000,90.754000
Q085,aggregation,1,1,19.158000,19.158000,19.158000,19.158000,1.844000,1.844000,21.002000
Q086,complex_multi_join,1,1,5961.361000,5961.361000,5961.361000,5961.361000,0.847000,0.847000,5962.208000
Q087,complex_multi_join,1,1,124.293000,124.293000,124.293000,124.293000,0.450000,0.450000,124.743000
Q088,complex_multi_join,1,1,5.101000,5.101000,5.101000,5.101000,0.308000,0.308000,5.409000
Q089,complex_multi_join,1,1,477.650000,477.650000,477.650000,477.650000,0.425000,0.425000,478.075000
Q090,complex_multi_join,1,1,316.006000,316.006000,316.006000,316.006000,33.385000,33.385000,349.391000
Q091,complex_multi_join,1,1,68.865000,68.865000,68.865000,68.865000,42.401000,42.401000,111.266000
Q092,complex_multi_join,1,1,5327.321000,5327.321000,5327.321000,5327.321000,1.174000,1.174000,5328.495000
Q093,complex_multi_join,1,1,525.016000,525.016000,525.016000,525.016000,45.611000,45.611000,570.627000
Q094,complex_multi_join,1,1,10.269000,10.269000,10.269000,10.269000,0.340000,0.340000,10.609000
Q095,complex_multi_join,1,1,142.082000,142.082000,142.082000,142.082000,0.309000,0.309000,142.391000
Q096,complex_multi_join,1,1,114.854000,114.854000,114.854000,114.854000,0.317000,0.317000,115.171000
Q097,complex_multi_join,1,1,16942.672000,16942.672000,16942.672000,16942.672000,1.349000,1.349000,16944.021000
Q098,complex_multi_join,1,1,3243.364000,3243.364000,3243.364000,3243.364000,2.334000,2.334000,3245.698000
Q099,complex_multi_join,1,1,338.869000,338.869000,338.869000,338.869000,0.846000,0.846000,339.715000
Q100,complex_multi_join,1,1,685.865000,685.865000,685.865000,685.865000,0.480000,0.480000,686.345000
