query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1032.048000,1032.048000,1032.048000,1032.048000,0.238000,0.238000,1032.286000
Q002,selection_projection,1,1,1039.444000,1039.444000,1039.444000,1039.444000,0.056000,0.056000,1039.500000
Q003,selection_projection,1,1,1128.209000,1128.209000,1128.209000,1128.209000,0.099000,0.099000,1128.308000
Q004,selection_projection,1,1,1403.851000,1403.851000,1403.851000,1403.851000,0.099000,0.099000,1403.950000
Q005,selection_projection,1,1,1177.976000,1177.976000,1177.976000,1177.976000,0.061000,0.061000,1178.037000
Q006,selection_projection,1,1,1306.418000,1306.418000,1306.418000,1306.418000,0.096000,0.096000,1306.514000
Q007,selection_projection,1,1,961.026000,961.026000,961.026000,961.026000,0.065000,0.065000,961.091000
Q008,selection_projection,1,1,931.005000,931.005000,931.005000,931.005000,0.055000,0.055000,931.060000
Q009,selection_projection,1,1,876.647000,876.647000,876.647000,876.647000,0.059000,0.059000,876.706000
Q010,selection_projection,1,1,965.391000,965.391000,965.391000,965.391000,0.065000,0.065000,965.456000
Q011,selection_projection,1,1,899.228000,899.228000,899.228000,899.228000,0.055000,0.055000,899.283000
Q012,selection_projection,1,1,897.033000,897.033000,897.033000,897.033000,0.066000,0.066000,897.099000
Q013,selection_projection,1,1,986.725000,986.725000,986.725000,986.725000,0.056000,0.056000,986.781000
Q014,selection_projection,1,1,905.527000,905.527000,905.527000,905.527000,0.058000,0.058000,905.585000
Q015,selection_projection,1,1,1275.809000,1275.809000,1275.809000,1275.809000,0.062000,0.062000,1275.871000
Q016,selection_projection,1,1,945.203000,945.203000,945.203000,945.203000,0.058000,0.058000,945.261000
Q017,selection_projection,1,1,1481.900000,1481.900000,1481.900000,1481.900000,0.064000,0.064000,1481.964000
Q018,selection_projection,1,1,1051.709000,1051.709000,1051.709000,1051.709000,0.066000,0.066000,1051.775000
Q019,selection_projection,1,1,983.598000,983.598000,983.598000,983.598000,0.054000,0.054000,983.652000
Q020,selection_projection,1,1,902.842000,902.842000,902.842000,902.842000,0.056000,0.056000,902.898000
Q021,selection_projection,1,1,918.525000,918.525000,918.525000,918.525000,0.086000,0.086000,918.611000
Q022,selection_projection,1,1,1140.179000,1140.179000,1140.179000,1140.179000,0.064000,0.064000,1140.243000
Q023,selection_projection,1,1,926.252000,926.252000,926.252000,926.252000,0.055000,0.055000,926.307000
Q024,selection_projection,1,1,127.986000,127.986000,127.986000,127.986000,0.092000,0.092000,128.078000
Q025,selection_projection,1,1,159.520000,159.520000,159.520000,159.520000,0.066000,0.066000,159.586000
Q026,selection_projection,1,1,111.383000,111.383000,111.383000,111.383000,0.053000,0.053000,111.436000
Q027,selection_projection,1,1,141.409000,141.409000,141.409000,141.409000,0.060000,0.060000,141.469000
Q028,selection_projection,1,1,124.269000,124.269000,124.269000,124.269000,0.053000,0.053000,124.322000
Q029,selection_projection,1,1,7.135000,7.135000,7.135000,7.135000,0.065000,0.065000,7.200000
Q030,selection_projection,1,1,8.016000,8.016000,8.016000,8.016000,0.057000,0.057000,8.073000
Q031,weak_owner,1,1,20.572000,20.572000,20.572000,20.572000,0.085000,0.085000,20.657000
Q032,weak_owner,1,1,106.587000,106.587000,106.587000,106.587000,0.145000,0.145000,106.732000
Q033,weak_owner,1,1,16.225000,16.225000,16.225000,16.225000,0.086000,0.086000,16.311000
Q034,weak_owner,1,1,133.269000,133.269000,133.269000,133.269000,0.124000,0.124000,133.393000
Q035,weak_owner,1,1,10.242000,10.242000,10.242000,10.242000,0.099000,0.099000,10.341000
Q036,weak_owner,1,1,48.211000,48.211000,48.211000,48.211000,0.122000,0.122000,48.333000
Q037,weak_owner,1,1,15.994000,15.994000,15.994000,15.994000,0.113000,0.113000,16.107000
Q038,weak_owner,1,1,13.739000,13.739000,13.739000,13.739000,0.138000,0.138000,13.877000
Q039,weak_owner,1,1,9.441000,9.441000,9.441000,9.441000,0.070000,0.070000,9.511000
Q040,weak_owner,1,1,243.567000,243.567000,243.567000,243.567000,0.114000,0.114000,243.681000
Q041,weak_owner,1,1,2.137000,2.137000,2.137000,2.137000,0.082000,0.082000,2.219000
Q042,weak_owner,1,1,2.222000,2.222000,2.222000,2.222000,0.050000,0.050000,2.272000
Q043,weak_owner,1,1,2.696000,2.696000,2.696000,2.696000,0.061000,0.061000,2.757000
Q044,weak_owner,1,1,203.220000,203.220000,203.220000,203.220000,0.113000,0.113000,203.333000
Q045,weak_owner,1,1,16.145000,16.145000,16.145000,16.145000,0.087000,0.087000,16.232000
Q046,weak_owner,1,1,1.472000,1.472000,1.472000,1.472000,0.052000,0.052000,1.524000
Q047,weak_owner,1,1,14.375000,14.375000,14.375000,14.375000,0.115000,0.115000,14.490000
Q048,weak_owner,1,1,27.028000,27.028000,27.028000,27.028000,0.159000,0.159000,27.187000
Q049,weak_owner,1,1,6.765000,6.765000,6.765000,6.765000,0.215000,0.215000,6.980000
Q050,weak_owner,1,1,19.868000,19.868000,19.868000,19.868000,0.161000,0.161000,20.029000
Q051,relationship_join,1,1,1900.465000,1900.465000,1900.465000,1900.465000,0.178000,0.178000,1900.643000
Q052,relationship_join,1,1,12946.363000,12946.363000,12946.363000,12946.363000,0.255000,0.255000,12946.618000
Q053,relationship_join,1,1,11340.736000,11340.736000,11340.736000,11340.736000,0.254000,0.254000,11340.990000
Q054,relationship_join,1,1,14902.462000,14902.462000,14902.462000,14902.462000,0.235000,0.235000,14902.697000
Q055,relationship_join,1,1,174.627000,174.627000,174.627000,174.627000,0.256000,0.256000,174.883000
Q056,relationship_join,1,1,250.237000,250.237000,250.237000,250.237000,0.270000,0.270000,250.507000
Q057,relationship_join,1,1,4.707000,4.707000,4.707000,4.707000,0.201000,0.201000,4.908000
Q058,relationship_join,1,1,231.529000,231.529000,231.529000,231.529000,0.149000,0.149000,231.678000
Q059,relationship_join,1,1,447.893000,447.893000,447.893000,447.893000,0.221000,0.221000,448.114000
Q060,relationship_join,1,1,107.662000,107.662000,107.662000,107.662000,0.195000,0.195000,107.857000
Q061,relationship_join,1,1,46.840000,46.840000,46.840000,46.840000,0.234000,0.234000,47.074000
Q062,relationship_join,1,1,6.616000,6.616000,6.616000,6.616000,0.206000,0.206000,6.822000
Q063,relationship_join,1,1,33328.257000,33328.257000,33328.257000,33328.257000,0.241000,0.241000,33328.498000
Q064,relationship_join,1,1,177.855000,177.855000,177.855000,177.855000,0.226000,0.226000,178.081000
Q065,relationship_join,1,1,55.672000,55.672000,55.672000,55.672000,0.224000,0.224000,55.896000
Q066,relationship_join,1,1,669.788000,669.788000,669.788000,669.788000,0.294000,0.294000,670.082000
Q067,relationship_join,1,1,30.587000,30.587000,30.587000,30.587000,0.244000,0.244000,30.831000
Q068,relationship_join,1,1,2849.313000,2849.313000,2849.313000,2849.313000,0.258000,0.258000,2849.571000
