query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1032.962000,1032.962000,1032.962000,1032.962000,0.304000,0.304000,1033.266000
Q002,selection_projection,1,1,1040.335000,1040.335000,1040.335000,1040.335000,0.054000,0.054000,1040.389000
Q003,selection_projection,1,1,1114.912000,1114.912000,1114.912000,1114.912000,0.098000,0.098000,1115.010000
Q004,selection_projection,1,1,1397.512000,1397.512000,1397.512000,1397.512000,0.101000,0.101000,1397.613000
Q005,selection_projection,1,1,1175.024000,1175.024000,1175.024000,1175.024000,0.084000,0.084000,1175.108000
Q006,selection_projection,1,1,1309.746000,1309.746000,1309.746000,1309.746000,0.073000,0.073000,1309.819000
Q007,selection_projection,1,1,946.519000,946.519000,946.519000,946.519000,0.065000,0.065000,946.584000
Q008,selection_projection,1,1,938.439000,938.439000,938.439000,938.439000,0.052000,0.052000,938.491000
Q009,selection_projection,1,1,1564.012000,1564.012000,1564.012000,1564.012000,0.167000,0.167000,1564.179000
Q010,selection_projection,1,1,1415.604000,1415.604000,1415.604000,1415.604000,0.269000,0.269000,1415.873000
Q011,selection_projection,1,1,2316.996000,2316.996000,2316.996000,2316.996000,0.137000,0.137000,2317.133000
Q012,selection_projection,1,1,1404.959000,1404.959000,1404.959000,1404.959000,0.170000,0.170000,1405.129000
Q013,selection_projection,1,1,947.974000,947.974000,947.974000,947.974000,0.054000,0.054000,948.028000
Q014,selection_projection,1,1,1500.942000,1500.942000,1500.942000,1500.942000,0.158000,0.158000,1501.100000
Q015,selection_projection,1,1,1586.858000,1586.858000,1586.858000,1586.858000,0.159000,0.159000,1587.017000
Q016,selection_projection,1,1,1837.583000,1837.583000,1837.583000,1837.583000,0.117000,0.117000,1837.700000
Q017,selection_projection,1,1,1442.433000,1442.433000,1442.433000,1442.433000,0.064000,0.064000,1442.497000
Q018,selection_projection,1,1,978.117000,978.117000,978.117000,978.117000,0.071000,0.071000,978.188000
Q019,selection_projection,1,1,994.338000,994.338000,994.338000,994.338000,0.055000,0.055000,994.393000
Q020,selection_projection,1,1,1605.929000,1605.929000,1605.929000,1605.929000,0.190000,0.190000,1606.119000
Q021,selection_projection,1,1,27.150000,27.150000,27.150000,27.150000,0.149000,0.149000,27.299000
Q022,selection_projection,1,1,1071.672000,1071.672000,1071.672000,1071.672000,0.056000,0.056000,1071.728000
Q023,selection_projection,1,1,14.326000,14.326000,14.326000,14.326000,0.154000,0.154000,14.480000
Q024,selection_projection,1,1,143.692000,143.692000,143.692000,143.692000,0.130000,0.130000,143.822000
Q025,selection_projection,1,1,101.436000,101.436000,101.436000,101.436000,0.053000,0.053000,101.489000
Q026,selection_projection,1,1,83.026000,83.026000,83.026000,83.026000,0.071000,0.071000,83.097000
Q027,selection_projection,1,1,107.396000,107.396000,107.396000,107.396000,0.067000,0.067000,107.463000
Q028,selection_projection,1,1,34.439000,34.439000,34.439000,34.439000,0.087000,0.087000,34.526000
Q029,selection_projection,1,1,7.189000,7.189000,7.189000,7.189000,0.065000,0.065000,7.254000
Q030,selection_projection,1,1,8.149000,8.149000,8.149000,8.149000,0.062000,0.062000,8.211000
Q031,weak_owner,1,1,1.803000,1.803000,1.803000,1.803000,0.103000,0.103000,1.906000
Q032,weak_owner,1,1,103.931000,103.931000,103.931000,103.931000,0.111000,0.111000,104.042000
Q033,weak_owner,1,1,1.961000,1.961000,1.961000,1.961000,0.092000,0.092000,2.053000
Q034,weak_owner,1,1,133.669000,133.669000,133.669000,133.669000,0.155000,0.155000,133.824000
Q035,weak_owner,1,1,0.731000,0.731000,0.731000,0.731000,0.098000,0.098000,0.829000
