query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4640.013000,4640.013000,4640.013000,4640.013000,1.028000,1.028000,4641.041000
Q002,selection_projection,1,1,1425.324000,1425.324000,1425.324000,1425.324000,0.560000,0.560000,1425.884000
Q003,selection_projection,1,1,1745.320000,1745.320000,1745.320000,1745.320000,0.306000,0.306000,1745.626000
Q004,selection_projection,1,1,1158.259000,1158.259000,1158.259000,1158.259000,0.251000,0.251000,1158.510000
Q005,selection_projection,1,1,70.537000,70.537000,70.537000,70.537000,0.091000,0.091000,70.628000
Q006,selection_projection,1,1,834.930000,834.930000,834.930000,834.930000,0.153000,0.153000,835.083000
Q007,selection_projection,1,1,169.834000,169.834000,169.834000,169.834000,0.089000,0.089000,169.923000
Q008,selection_projection,1,1,146.416000,146.416000,146.416000,146.416000,0.054000,0.054000,146.470000
Q009,selection_projection,1,1,7.599000,7.599000,7.599000,7.599000,0.051000,0.051000,7.650000
Q010,selection_projection,1,1,7.085000,7.085000,7.085000,7.085000,0.038000,0.038000,7.123000
Q011,selection_projection,1,1,37.721000,37.721000,37.721000,37.721000,0.033000,0.033000,37.754000
Q012,selection_projection,1,1,8.925000,8.925000,8.925000,8.925000,0.037000,0.037000,8.962000
Q013,selection_projection,1,1,52.531000,52.531000,52.531000,52.531000,0.032000,0.032000,52.563000
Q014,selection_projection,1,1,5.813000,5.813000,5.813000,5.813000,0.046000,0.046000,5.859000
Q015,selection_projection,1,1,30.531000,30.531000,30.531000,30.531000,0.117000,0.117000,30.648000
Q016,selection_projection,1,1,17.739000,17.739000,17.739000,17.739000,0.036000,0.036000,17.775000
Q017,selection_projection,1,1,165.509000,165.509000,165.509000,165.509000,0.086000,0.086000,165.595000
Q018,selection_projection,1,1,169.271000,169.271000,169.271000,169.271000,0.085000,0.085000,169.356000
Q019,selection_projection,1,1,99.507000,99.507000,99.507000,99.507000,0.051000,0.051000,99.558000
Q020,selection_projection,1,1,5.380000,5.380000,5.380000,5.380000,0.058000,0.058000,5.438000
Q021,selection_projection,1,1,1.696000,1.696000,1.696000,1.696000,0.053000,0.053000,1.749000
Q022,selection_projection,1,1,101.470000,101.470000,101.470000,101.470000,0.040000,0.040000,101.510000
Q023,selection_projection,1,1,1.015000,1.015000,1.015000,1.015000,0.056000,0.056000,1.071000
Q024,selection_projection,1,1,450.402000,450.402000,450.402000,450.402000,10.922000,10.922000,461.324000
Q025,selection_projection,1,1,97.046000,97.046000,97.046000,97.046000,0.095000,0.095000,97.141000
Q026,selection_projection,1,1,7.510000,7.510000,7.510000,7.510000,0.052000,0.052000,7.562000
Q027,selection_projection,1,1,81.630000,81.630000,81.630000,81.630000,0.042000,0.042000,81.672000
Q028,selection_projection,1,1,16.316000,16.316000,16.316000,16.316000,0.044000,0.044000,16.360000
Q029,selection_projection,1,1,23.394000,23.394000,23.394000,23.394000,0.085000,0.085000,23.479000
Q030,selection_projection,1,1,6.751000,6.751000,6.751000,6.751000,0.062000,0.062000,6.813000
Q031,weak_owner,1,1,8.690000,8.690000,8.690000,8.690000,0.421000,0.421000,9.111000
Q032,weak_owner,1,1,1329.018000,1329.018000,1329.018000,1329.018000,0.351000,0.351000,1329.369000
Q033,weak_owner,1,1,9.932000,9.932000,9.932000,9.932000,8.231000,8.231000,18.163000
Q034,weak_owner,1,1,466.818000,466.818000,466.818000,466.818000,0.238000,0.238000,467.056000
Q035,weak_owner,1,1,1.034000,1.034000,1.034000,1.034000,0.105000,0.105000,1.139000
Q036,weak_owner,1,1,1676.862000,1676.862000,1676.862000,1676.862000,0.292000,0.292000,1677.154000
Q037,weak_owner,1,1,17.394000,17.394000,17.394000,17.394000,0.140000,0.140000,17.534000
Q038,weak_owner,1,1,161.345000,161.345000,161.345000,161.345000,0.121000,0.121000,161.466000
Q039,weak_owner,1,1,17.714000,17.714000,17.714000,17.714000,0.282000,0.282000,17.996000
Q040,weak_owner,1,1,128.840000,128.840000,128.840000,128.840000,0.120000,0.120000,128.960000
Q041,weak_owner,1,1,3.771000,3.771000,3.771000,3.771000,0.082000,0.082000,3.853000
Q042,weak_owner,1,1,3.479000,3.479000,3.479000,3.479000,0.045000,0.045000,3.524000
Q043,weak_owner,1,1,3.953000,3.953000,3.953000,3.953000,0.062000,0.062000,4.015000
Q044,weak_owner,1,1,105.833000,105.833000,105.833000,105.833000,0.091000,0.091000,105.924000
Q045,weak_owner,1,1,5.687000,5.687000,5.687000,5.687000,0.161000,0.161000,5.848000
Q046,weak_owner,1,1,2.313000,2.313000,2.313000,2.313000,0.077000,0.077000,2.390000
Q047,weak_owner,1,1,12.051000,12.051000,12.051000,12.051000,0.124000,0.124000,12.175000
Q048,weak_owner,1,1,18.146000,18.146000,18.146000,18.146000,0.192000,0.192000,18.338000
Q049,weak_owner,1,1,8.776000,8.776000,8.776000,8.776000,0.494000,0.494000,9.270000
Q050,weak_owner,1,1,20.102000,20.102000,20.102000,20.102000,0.515000,0.515000,20.617000
Q051,relationship_join,1,1,1703.277000,1703.277000,1703.277000,1703.277000,0.359000,0.359000,1703.636000
Q052,relationship_join,1,1,7018.733000,7018.733000,7018.733000,7018.733000,9.593000,9.593000,7028.326000
Q053,relationship_join,1,1,11184.311000,11184.311000,11184.311000,11184.311000,8.947000,8.947000,11193.258000
Q054,relationship_join,1,1,6808.455000,6808.455000,6808.455000,6808.455000,9.524000,9.524000,6817.979000
Q055,relationship_join,1,1,3230.331000,3230.331000,3230.331000,3230.331000,10.936000,10.936000,3241.267000
Q056,relationship_join,1,1,2237.165000,2237.165000,2237.165000,2237.165000,2.191000,2.191000,2239.356000
Q057,relationship_join,1,1,5.224000,5.224000,5.224000,5.224000,1.168000,1.168000,6.392000
Q058,relationship_join,1,1,168.752000,168.752000,168.752000,168.752000,0.662000,0.662000,169.414000
Q059,relationship_join,1,1,1851.540000,1851.540000,1851.540000,1851.540000,2.143000,2.143000,1853.683000
Q060,relationship_join,1,1,42.264000,42.264000,42.264000,42.264000,1.077000,1.077000,43.341000
Q061,relationship_join,1,1,85.660000,85.660000,85.660000,85.660000,0.725000,0.725000,86.385000
Q062,relationship_join,1,1,5.836000,5.836000,5.836000,5.836000,0.836000,0.836000,6.672000
Q063,relationship_join,1,1,162749.109000,162749.109000,162749.109000,162749.109000,0.814000,0.814000,162749.923000
Q064,relationship_join,1,1,1483.561000,1483.561000,1483.561000,1483.561000,2.222000,2.222000,1485.783000
Q065,relationship_join,1,1,50.027000,50.027000,50.027000,50.027000,2.498000,2.498000,52.525000
Q066,relationship_join,1,1,1881.480000,1881.480000,1881.480000,1881.480000,1.111000,1.111000,1882.591000
Q067,relationship_join,1,1,19.512000,19.512000,19.512000,19.512000,11.764000,11.764000,31.276000
Q068,relationship_join,1,1,448.949000,448.949000,448.949000,448.949000,0.750000,0.750000,449.699000
Q069,relationship_join,1,1,245.693000,245.693000,245.693000,245.693000,1.080000,1.080000,246.773000
Q070,relationship_join,1,1,300.591000,300.591000,300.591000,300.591000,9.728000,9.728000,310.319000
Q071,aggregation,1,1,3435.594000,3435.594000,3435.594000,3435.594000,1.423000,1.423000,3437.017000
Q072,aggregation,1,1,30769.653000,30769.653000,30769.653000,30769.653000,10.384000,10.384000,30780.037000
Q073,aggregation,1,1,1913.600000,1913.600000,1913.600000,1913.600000,1.137000,1.137000,1914.737000
Q074,aggregation,1,1,2624.695000,2624.695000,2624.695000,2624.695000,1.384000,1.384000,2626.079000
Q075,aggregation,1,1,178879.230000,178879.230000,178879.230000,178879.230000,1.326000,1.326000,178880.556000
Q076,aggregation,1,1,342.783000,342.783000,342.783000,342.783000,2.028000,2.028000,344.811000
Q077,aggregation,1,1,1864.084000,1864.084000,1864.084000,1864.084000,1.277000,1.277000,1865.361000
Q078,aggregation,1,1,7.556000,7.556000,7.556000,7.556000,3.198000,3.198000,10.754000
Q079,aggregation,1,1,506.352000,506.352000,506.352000,506.352000,0.872000,0.872000,507.224000
Q080,aggregation,1,1,776.524000,776.524000,776.524000,776.524000,2.137000,2.137000,778.661000
Q081,aggregation,1,1,410.915000,410.915000,410.915000,410.915000,1.807000,1.807000,412.722000
Q082,aggregation,1,1,1883.302000,1883.302000,1883.302000,1883.302000,0.273000,0.273000,1883.575000
Q083,aggregation,1,1,120.472000,120.472000,120.472000,120.472000,0.135000,0.135000,120.607000
Q084,aggregation,1,1,48.161000,48.161000,48.161000,48.161000,1.665000,1.665000,49.826000
Q085,aggregation,1,1,25.498000,25.498000,25.498000,25.498000,2.004000,2.004000,27.502000
Q086,complex_multi_join,1,1,5496.214000,5496.214000,5496.214000,5496.214000,1.362000,1.362000,5497.576000
Q087,complex_multi_join,1,1,137.838000,137.838000,137.838000,137.838000,0.696000,0.696000,138.534000
Q088,complex_multi_join,1,1,4.416000,4.416000,4.416000,4.416000,0.440000,0.440000,4.856000
Q089,complex_multi_join,1,1,670.422000,670.422000,670.422000,670.422000,0.528000,0.528000,670.950000
Q090,complex_multi_join,1,1,134.180000,134.180000,134.180000,134.180000,1.642000,1.642000,135.822000
Q091,complex_multi_join,1,1,42.599000,42.599000,42.599000,42.599000,1.140000,1.140000,43.739000
Q092,complex_multi_join,1,1,4374.389000,4374.389000,4374.389000,4374.389000,1.784000,1.784000,4376.173000
Q093,complex_multi_join,1,1,454.361000,454.361000,454.361000,454.361000,13.913000,13.913000,468.274000
Q094,complex_multi_join,1,1,9.476000,9.476000,9.476000,9.476000,0.332000,0.332000,9.808000
Q095,complex_multi_join,1,1,81.777000,81.777000,81.777000,81.777000,1.454000,1.454000,83.231000
Q096,complex_multi_join,1,1,48.178000,48.178000,48.178000,48.178000,0.355000,0.355000,48.533000
Q097,complex_multi_join,1,1,11847.741000,11847.741000,11847.741000,11847.741000,0.881000,0.881000,11848.622000
Q098,complex_multi_join,1,1,6108.245000,6108.245000,6108.245000,6108.245000,12.070000,12.070000,6120.315000
Q099,complex_multi_join,1,1,761.695000,761.695000,761.695000,761.695000,0.612000,0.612000,762.307000
Q100,complex_multi_join,1,1,1483.974000,1483.974000,1483.974000,1483.974000,0.681000,0.681000,1484.655000
