query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4526.890000,4526.890000,4526.890000,4526.890000,1.477000,1.477000,4528.367000
Q002,selection_projection,1,1,1613.337000,1613.337000,1613.337000,1613.337000,0.390000,0.390000,1613.727000
Q003,selection_projection,1,1,1704.824000,1704.824000,1704.824000,1704.824000,0.297000,0.297000,1705.121000
Q004,selection_projection,1,1,1188.072000,1188.072000,1188.072000,1188.072000,0.237000,0.237000,1188.309000
Q005,selection_projection,1,1,70.599000,70.599000,70.599000,70.599000,0.084000,0.084000,70.683000
Q006,selection_projection,1,1,866.153000,866.153000,866.153000,866.153000,0.153000,0.153000,866.306000
Q007,selection_projection,1,1,177.851000,177.851000,177.851000,177.851000,0.125000,0.125000,177.976000
Q008,selection_projection,1,1,159.726000,159.726000,159.726000,159.726000,0.056000,0.056000,159.782000
Q009,selection_projection,1,1,8.215000,8.215000,8.215000,8.215000,0.058000,0.058000,8.273000
Q010,selection_projection,1,1,10.060000,10.060000,10.060000,10.060000,0.037000,0.037000,10.097000
Q011,selection_projection,1,1,43.390000,43.390000,43.390000,43.390000,0.039000,0.039000,43.429000
Q012,selection_projection,1,1,9.694000,9.694000,9.694000,9.694000,0.040000,0.040000,9.734000
Q013,selection_projection,1,1,60.372000,60.372000,60.372000,60.372000,0.029000,0.029000,60.401000
Q014,selection_projection,1,1,6.370000,6.370000,6.370000,6.370000,0.036000,0.036000,6.406000
Q015,selection_projection,1,1,33.226000,33.226000,33.226000,33.226000,0.118000,0.118000,33.344000
Q016,selection_projection,1,1,17.875000,17.875000,17.875000,17.875000,0.032000,0.032000,17.907000
Q017,selection_projection,1,1,166.515000,166.515000,166.515000,166.515000,0.093000,0.093000,166.608000
Q018,selection_projection,1,1,168.231000,168.231000,168.231000,168.231000,0.081000,0.081000,168.312000
Q019,selection_projection,1,1,99.488000,99.488000,99.488000,99.488000,0.052000,0.052000,99.540000
Q020,selection_projection,1,1,5.505000,5.505000,5.505000,5.505000,0.051000,0.051000,5.556000
Q021,selection_projection,1,1,1.793000,1.793000,1.793000,1.793000,0.035000,0.035000,1.828000
Q022,selection_projection,1,1,100.699000,100.699000,100.699000,100.699000,0.032000,0.032000,100.731000
Q023,selection_projection,1,1,1.050000,1.050000,1.050000,1.050000,0.049000,0.049000,1.099000
Q024,selection_projection,1,1,139.198000,139.198000,139.198000,139.198000,0.227000,0.227000,139.425000
Q025,selection_projection,1,1,95.790000,95.790000,95.790000,95.790000,0.097000,0.097000,95.887000
Q026,selection_projection,1,1,7.328000,7.328000,7.328000,7.328000,0.048000,0.048000,7.376000
Q027,selection_projection,1,1,77.732000,77.732000,77.732000,77.732000,0.044000,0.044000,77.776000
Q028,selection_projection,1,1,16.423000,16.423000,16.423000,16.423000,0.040000,0.040000,16.463000
Q029,selection_projection,1,1,19.058000,19.058000,19.058000,19.058000,0.058000,0.058000,19.116000
Q030,selection_projection,1,1,7.053000,7.053000,7.053000,7.053000,0.062000,0.062000,7.115000
Q031,weak_owner,1,1,1.416000,1.416000,1.416000,1.416000,0.068000,0.068000,1.484000
Q032,weak_owner,1,1,1349.617000,1349.617000,1349.617000,1349.617000,0.359000,0.359000,1349.976000
Q033,weak_owner,1,1,2.101000,2.101000,2.101000,2.101000,0.081000,0.081000,2.182000
Q034,weak_owner,1,1,452.792000,452.792000,452.792000,452.792000,0.266000,0.266000,453.058000
Q035,weak_owner,1,1,1.163000,1.163000,1.163000,1.163000,0.158000,0.158000,1.321000
Q036,weak_owner,1,1,1432.149000,1432.149000,1432.149000,1432.149000,0.462000,0.462000,1432.611000
Q037,weak_owner,1,1,11.313000,11.313000,11.313000,11.313000,0.245000,0.245000,11.558000
Q038,weak_owner,1,1,200.311000,200.311000,200.311000,200.311000,0.120000,0.120000,200.431000
Q039,weak_owner,1,1,14.592000,14.592000,14.592000,14.592000,0.434000,0.434000,15.026000
Q040,weak_owner,1,1,131.070000,131.070000,131.070000,131.070000,0.107000,0.107000,131.177000
Q041,weak_owner,1,1,2.220000,2.220000,2.220000,2.220000,0.077000,0.077000,2.297000
Q042,weak_owner,1,1,2.299000,2.299000,2.299000,2.299000,0.052000,0.052000,2.351000
Q043,weak_owner,1,1,2.323000,2.323000,2.323000,2.323000,0.069000,0.069000,2.392000
Q044,weak_owner,1,1,123.716000,123.716000,123.716000,123.716000,0.105000,0.105000,123.821000
Q045,weak_owner,1,1,2.431000,2.431000,2.431000,2.431000,0.108000,0.108000,2.539000
Q046,weak_owner,1,1,1.435000,1.435000,1.435000,1.435000,0.052000,0.052000,1.487000
Q047,weak_owner,1,1,14.678000,14.678000,14.678000,14.678000,0.123000,0.123000,14.801000
Q048,weak_owner,1,1,13.768000,13.768000,13.768000,13.768000,0.168000,0.168000,13.936000
Q049,weak_owner,1,1,6.078000,6.078000,6.078000,6.078000,0.160000,0.160000,6.238000
Q050,weak_owner,1,1,18.439000,18.439000,18.439000,18.439000,0.165000,0.165000,18.604000
Q051,relationship_join,1,1,10341.396000,10341.396000,10341.396000,10341.396000,0.533000,0.533000,10341.929000
Q052,relationship_join,1,1,7203.165000,7203.165000,7203.165000,7203.165000,0.478000,0.478000,7203.643000
Q053,relationship_join,1,1,11187.109000,11187.109000,11187.109000,11187.109000,8.520000,8.520000,11195.629000
Q054,relationship_join,1,1,7324.554000,7324.554000,7324.554000,7324.554000,0.583000,0.583000,7325.137000
Q055,relationship_join,1,1,671.659000,671.659000,671.659000,671.659000,9.400000,9.400000,681.059000
Q056,relationship_join,1,1,920.050000,920.050000,920.050000,920.050000,0.920000,0.920000,920.970000
Q057,relationship_join,1,1,4.894000,4.894000,4.894000,4.894000,1.006000,1.006000,5.900000
Q058,relationship_join,1,1,155.656000,155.656000,155.656000,155.656000,0.353000,0.353000,156.009000
Q059,relationship_join,1,1,2015.278000,2015.278000,2015.278000,2015.278000,9.312000,9.312000,2024.590000
Q060,relationship_join,1,1,46.187000,46.187000,46.187000,46.187000,0.656000,0.656000,46.843000
Q061,relationship_join,1,1,65.296000,65.296000,65.296000,65.296000,0.713000,0.713000,66.009000
Q062,relationship_join,1,1,6.816000,6.816000,6.816000,6.816000,0.379000,0.379000,7.195000
Q063,relationship_join,1,1,161461.559000,161461.559000,161461.559000,161461.559000,1.137000,1.137000,161462.696000
Q064,relationship_join,1,1,1447.563000,1447.563000,1447.563000,1447.563000,0.755000,0.755000,1448.318000
Q065,relationship_join,1,1,49.560000,49.560000,49.560000,49.560000,9.773000,9.773000,59.333000
Q066,relationship_join,1,1,1863.673000,1863.673000,1863.673000,1863.673000,0.622000,0.622000,1864.295000
Q067,relationship_join,1,1,13.242000,13.242000,13.242000,13.242000,9.503000,9.503000,22.745000
Q068,relationship_join,1,1,438.769000,438.769000,438.769000,438.769000,0.715000,0.715000,439.484000
Q069,relationship_join,1,1,229.496000,229.496000,229.496000,229.496000,9.251000,9.251000,238.747000
Q070,relationship_join,1,1,40.576000,40.576000,40.576000,40.576000,9.860000,9.860000,50.436000
Q071,aggregation,1,1,10484.767000,10484.767000,10484.767000,10484.767000,0.579000,0.579000,10485.346000
Q072,aggregation,1,1,31335.423000,31335.423000,31335.423000,31335.423000,9.263000,9.263000,31344.686000
Q073,aggregation,1,1,11485.331000,11485.331000,11485.331000,11485.331000,0.654000,0.654000,11485.985000
Q074,aggregation,1,1,664.121000,664.121000,664.121000,664.121000,10.353000,10.353000,674.474000
Q075,aggregation,1,1,180513.316000,180513.316000,180513.316000,180513.316000,1.234000,1.234000,180514.550000
Q076,aggregation,1,1,178.069000,178.069000,178.069000,178.069000,8.459000,8.459000,186.528000
Q077,aggregation,1,1,1883.954000,1883.954000,1883.954000,1883.954000,2.301000,2.301000,1886.255000
Q078,aggregation,1,1,7.152000,7.152000,7.152000,7.152000,1.152000,1.152000,8.304000
Q079,aggregation,1,1,525.945000,525.945000,525.945000,525.945000,1.552000,1.552000,527.497000
Q080,aggregation,1,1,778.725000,778.725000,778.725000,778.725000,10.789000,10.789000,789.514000
Q081,aggregation,1,1,397.147000,397.147000,397.147000,397.147000,9.613000,9.613000,406.760000
Q082,aggregation,1,1,1914.732000,1914.732000,1914.732000,1914.732000,0.280000,0.280000,1915.012000
