query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4634.909000,4634.909000,4634.909000,4634.909000,0.288000,0.288000,4635.197000
Q002,selection_projection,1,1,954.185000,954.185000,954.185000,954.185000,0.058000,0.058000,954.243000
Q003,selection_projection,1,1,1174.988000,1174.988000,1174.988000,1174.988000,0.130000,0.130000,1175.118000
Q004,selection_projection,1,1,990.047000,990.047000,990.047000,990.047000,0.113000,0.113000,990.160000
Q005,selection_projection,1,1,973.040000,973.040000,973.040000,973.040000,0.061000,0.061000,973.101000
Q006,selection_projection,1,1,1105.196000,1105.196000,1105.196000,1105.196000,0.072000,0.072000,1105.268000
Q007,selection_projection,1,1,901.655000,901.655000,901.655000,901.655000,0.067000,0.067000,901.722000
Q008,selection_projection,1,1,1020.509000,1020.509000,1020.509000,1020.509000,0.084000,0.084000,1020.593000
Q009,selection_projection,1,1,874.382000,874.382000,874.382000,874.382000,0.061000,0.061000,874.443000
Q010,selection_projection,1,1,960.656000,960.656000,960.656000,960.656000,0.064000,0.064000,960.720000
Q011,selection_projection,1,1,898.488000,898.488000,898.488000,898.488000,0.058000,0.058000,898.546000
Q012,selection_projection,1,1,930.361000,930.361000,930.361000,930.361000,0.056000,0.056000,930.417000
Q013,selection_projection,1,1,1067.842000,1067.842000,1067.842000,1067.842000,0.072000,0.072000,1067.914000
Q014,selection_projection,1,1,921.915000,921.915000,921.915000,921.915000,0.060000,0.060000,921.975000
Q015,selection_projection,1,1,1321.581000,1321.581000,1321.581000,1321.581000,0.065000,0.065000,1321.646000
Q016,selection_projection,1,1,1015.802000,1015.802000,1015.802000,1015.802000,0.060000,0.060000,1015.862000
Q017,selection_projection,1,1,1080.732000,1080.732000,1080.732000,1080.732000,0.069000,0.069000,1080.801000
Q018,selection_projection,1,1,1093.389000,1093.389000,1093.389000,1093.389000,0.068000,0.068000,1093.457000
Q019,selection_projection,1,1,911.726000,911.726000,911.726000,911.726000,0.058000,0.058000,911.784000
Q020,selection_projection,1,1,984.214000,984.214000,984.214000,984.214000,0.059000,0.059000,984.273000
Q021,selection_projection,1,1,1040.038000,1040.038000,1040.038000,1040.038000,0.061000,0.061000,1040.099000
Q022,selection_projection,1,1,1113.620000,1113.620000,1113.620000,1113.620000,0.068000,0.068000,1113.688000
Q023,selection_projection,1,1,910.663000,910.663000,910.663000,910.663000,0.054000,0.054000,910.717000
Q024,selection_projection,1,1,623.143000,623.143000,623.143000,623.143000,0.084000,0.084000,623.227000
Q025,selection_projection,1,1,159.369000,159.369000,159.369000,159.369000,0.064000,0.064000,159.433000
Q026,selection_projection,1,1,125.454000,125.454000,125.454000,125.454000,0.104000,0.104000,125.558000
Q027,selection_projection,1,1,149.712000,149.712000,149.712000,149.712000,0.062000,0.062000,149.774000
Q028,selection_projection,1,1,127.534000,127.534000,127.534000,127.534000,0.054000,0.054000,127.588000
Q029,selection_projection,1,1,52.817000,52.817000,52.817000,52.817000,0.062000,0.062000,52.879000
Q030,selection_projection,1,1,7.683000,7.683000,7.683000,7.683000,0.068000,0.068000,7.751000
Q031,weak_owner,1,1,3.434000,3.434000,3.434000,3.434000,0.060000,0.060000,3.494000
Q032,weak_owner,1,1,2393.440000,2393.440000,2393.440000,2393.440000,0.140000,0.140000,2393.580000
Q033,weak_owner,1,1,5.170000,5.170000,5.170000,5.170000,0.318000,0.318000,5.488000
Q034,weak_owner,1,1,374.195000,374.195000,374.195000,374.195000,0.301000,0.301000,374.496000
Q035,weak_owner,1,1,2.227000,2.227000,2.227000,2.227000,0.330000,0.330000,2.557000
Q036,weak_owner,1,1,819.238000,819.238000,819.238000,819.238000,0.354000,0.354000,819.592000
Q037,weak_owner,1,1,13.588000,13.588000,13.588000,13.588000,0.329000,0.329000,13.917000
Q038,weak_owner,1,1,200.349000,200.349000,200.349000,200.349000,0.322000,0.322000,200.671000
Q039,weak_owner,1,1,22.735000,22.735000,22.735000,22.735000,0.530000,0.530000,23.265000
Q040,weak_owner,1,1,229.969000,229.969000,229.969000,229.969000,0.216000,0.216000,230.185000
