query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1086.795000,1086.795000,1086.795000,1086.795000,0.966000,0.966000,1087.761000
Q002,selection_projection,1,1,959.855000,959.855000,959.855000,959.855000,0.059000,0.059000,959.914000
Q003,selection_projection,1,1,1153.376000,1153.376000,1153.376000,1153.376000,0.154000,0.154000,1153.530000
Q004,selection_projection,1,1,1008.989000,1008.989000,1008.989000,1008.989000,0.354000,0.354000,1009.343000
Q005,selection_projection,1,1,927.202000,927.202000,927.202000,927.202000,0.064000,0.064000,927.266000
Q006,selection_projection,1,1,1056.046000,1056.046000,1056.046000,1056.046000,0.073000,0.073000,1056.119000
Q007,selection_projection,1,1,929.486000,929.486000,929.486000,929.486000,0.066000,0.066000,929.552000
Q008,selection_projection,1,1,1017.772000,1017.772000,1017.772000,1017.772000,0.061000,0.061000,1017.833000
Q009,selection_projection,1,1,893.616000,893.616000,893.616000,893.616000,0.057000,0.057000,893.673000
Q010,selection_projection,1,1,997.124000,997.124000,997.124000,997.124000,9.241000,9.241000,1006.365000
Q011,selection_projection,1,1,927.588000,927.588000,927.588000,927.588000,0.057000,0.057000,927.645000
Q012,selection_projection,1,1,919.449000,919.449000,919.449000,919.449000,0.057000,0.057000,919.506000
Q013,selection_projection,1,1,1006.657000,1006.657000,1006.657000,1006.657000,0.056000,0.056000,1006.713000
Q014,selection_projection,1,1,884.137000,884.137000,884.137000,884.137000,0.059000,0.059000,884.196000
Q015,selection_projection,1,1,1307.368000,1307.368000,1307.368000,1307.368000,0.094000,0.094000,1307.462000
Q016,selection_projection,1,1,976.540000,976.540000,976.540000,976.540000,0.061000,0.061000,976.601000
Q017,selection_projection,1,1,1147.195000,1147.195000,1147.195000,1147.195000,0.070000,0.070000,1147.265000
Q018,selection_projection,1,1,1166.410000,1166.410000,1166.410000,1166.410000,0.071000,0.071000,1166.481000
Q019,selection_projection,1,1,974.475000,974.475000,974.475000,974.475000,0.060000,0.060000,974.535000
Q020,selection_projection,1,1,982.226000,982.226000,982.226000,982.226000,0.058000,0.058000,982.284000
Q021,selection_projection,1,1,1001.811000,1001.811000,1001.811000,1001.811000,0.066000,0.066000,1001.877000
Q022,selection_projection,1,1,1146.014000,1146.014000,1146.014000,1146.014000,0.070000,0.070000,1146.084000
Q023,selection_projection,1,1,926.761000,926.761000,926.761000,926.761000,0.061000,0.061000,926.822000
Q024,selection_projection,1,1,136.370000,136.370000,136.370000,136.370000,10.051000,10.051000,146.421000
Q025,selection_projection,1,1,151.740000,151.740000,151.740000,151.740000,0.325000,0.325000,152.065000
Q026,selection_projection,1,1,115.650000,115.650000,115.650000,115.650000,0.069000,0.069000,115.719000
Q027,selection_projection,1,1,145.737000,145.737000,145.737000,145.737000,0.057000,0.057000,145.794000
Q028,selection_projection,1,1,130.719000,130.719000,130.719000,130.719000,0.059000,0.059000,130.778000
Q029,selection_projection,1,1,7.242000,7.242000,7.242000,7.242000,8.874000,8.874000,16.116000
Q030,selection_projection,1,1,8.300000,8.300000,8.300000,8.300000,0.307000,0.307000,8.607000
Q031,weak_owner,1,1,1.549000,1.549000,1.549000,1.549000,0.251000,0.251000,1.800000
Q032,weak_owner,1,1,127.156000,127.156000,127.156000,127.156000,0.816000,0.816000,127.972000
Q033,weak_owner,1,1,1.996000,1.996000,1.996000,1.996000,1.121000,1.121000,3.117000
Q034,weak_owner,1,1,19.504000,19.504000,19.504000,19.504000,0.591000,0.591000,20.095000
Q035,weak_owner,1,1,0.526000,0.526000,0.526000,0.526000,0.593000,0.593000,1.119000
Q036,weak_owner,1,1,49.227000,49.227000,49.227000,49.227000,0.762000,0.762000,49.989000
Q037,weak_owner,1,1,9.151000,9.151000,9.151000,9.151000,0.552000,0.552000,9.703000
Q038,weak_owner,1,1,113.801000,113.801000,113.801000,113.801000,0.596000,0.596000,114.397000
Q039,weak_owner,1,1,9.391000,9.391000,9.391000,9.391000,0.189000,0.189000,9.580000
Q040,weak_owner,1,1,236.620000,236.620000,236.620000,236.620000,0.126000,0.126000,236.746000
Q041,weak_owner,1,1,1.973000,1.973000,1.973000,1.973000,0.296000,0.296000,2.269000
Q042,weak_owner,1,1,2.144000,2.144000,2.144000,2.144000,0.357000,0.357000,2.501000
Q043,weak_owner,1,1,2.219000,2.219000,2.219000,2.219000,0.252000,0.252000,2.471000
Q044,weak_owner,1,1,34.920000,34.920000,34.920000,34.920000,1.086000,1.086000,36.006000
Q045,weak_owner,1,1,2.080000,2.080000,2.080000,2.080000,0.146000,0.146000,2.226000
Q046,weak_owner,1,1,1.440000,1.440000,1.440000,1.440000,0.136000,0.136000,1.576000
Q047,weak_owner,1,1,15.611000,15.611000,15.611000,15.611000,0.598000,0.598000,16.209000
Q048,weak_owner,1,1,15.271000,15.271000,15.271000,15.271000,0.407000,0.407000,15.678000
Q049,weak_owner,1,1,6.785000,6.785000,6.785000,6.785000,0.162000,0.162000,6.947000
Q050,weak_owner,1,1,22.329000,22.329000,22.329000,22.329000,0.166000,0.166000,22.495000
Q051,relationship_join,1,1,2076.828000,2076.828000,2076.828000,2076.828000,0.535000,0.535000,2077.363000
Q052,relationship_join,1,1,7376.039000,7376.039000,7376.039000,7376.039000,12.573000,12.573000,7388.612000
Q053,relationship_join,1,1,11006.553000,11006.553000,11006.553000,11006.553000,1.380000,1.380000,11007.933000
Q054,relationship_join,1,1,6017.981000,6017.981000,6017.981000,6017.981000,1.164000,1.164000,6019.145000
Q055,relationship_join,1,1,182.666000,182.666000,182.666000,182.666000,1.392000,1.392000,184.058000
Q056,relationship_join,1,1,268.437000,268.437000,268.437000,268.437000,1.517000,1.517000,269.954000
Q057,relationship_join,1,1,3.921000,3.921000,3.921000,3.921000,0.194000,0.194000,4.115000
Q058,relationship_join,1,1,261.350000,261.350000,261.350000,261.350000,0.173000,0.173000,261.523000
Q059,relationship_join,1,1,511.122000,511.122000,511.122000,511.122000,0.935000,0.935000,512.057000
Q060,relationship_join,1,1,41.552000,41.552000,41.552000,41.552000,0.199000,0.199000,41.751000
Q061,relationship_join,1,1,19.433000,19.433000,19.433000,19.433000,0.835000,0.835000,20.268000
Q062,relationship_join,1,1,6.589000,6.589000,6.589000,6.589000,0.179000,0.179000,6.768000
