query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,3923.725000,3923.725000,3923.725000,3923.725000,0.239000,0.239000,3923.964000
Q002,selection_projection,1,1,1060.280000,1060.280000,1060.280000,1060.280000,0.058000,0.058000,1060.338000
Q003,selection_projection,1,1,1139.181000,1139.181000,1139.181000,1139.181000,0.096000,0.096000,1139.277000
Q004,selection_projection,1,1,1043.193000,1043.193000,1043.193000,1043.193000,0.102000,0.102000,1043.295000
Q005,selection_projection,1,1,994.448000,994.448000,994.448000,994.448000,0.084000,0.084000,994.532000
Q006,selection_projection,1,1,1126.515000,1126.515000,1126.515000,1126.515000,0.068000,0.068000,1126.583000
Q007,selection_projection,1,1,972.332000,972.332000,972.332000,972.332000,0.068000,0.068000,972.400000
Q008,selection_projection,1,1,1053.881000,1053.881000,1053.881000,1053.881000,0.065000,0.065000,1053.946000
Q009,selection_projection,1,1,74.661000,74.661000,74.661000,74.661000,65.508000,65.508000,140.169000
Q010,selection_projection,1,1,71.150000,71.150000,71.150000,71.150000,4.756000,4.756000,75.906000
Q011,selection_projection,1,1,2408.193000,2408.193000,2408.193000,2408.193000,6.637000,6.637000,2414.830000
Q012,selection_projection,1,1,55.106000,55.106000,55.106000,55.106000,0.897000,0.897000,56.003000
Q013,selection_projection,1,1,1006.646000,1006.646000,1006.646000,1006.646000,0.052000,0.052000,1006.698000
Q014,selection_projection,1,1,1083.637000,1083.637000,1083.637000,1083.637000,0.530000,0.530000,1084.167000
Q015,selection_projection,1,1,102.058000,102.058000,102.058000,102.058000,1.016000,1.016000,103.074000
Q016,selection_projection,1,1,28.448000,28.448000,28.448000,28.448000,0.122000,0.122000,28.570000
Q017,selection_projection,1,1,1015.456000,1015.456000,1015.456000,1015.456000,0.058000,0.058000,1015.514000
Q018,selection_projection,1,1,954.578000,954.578000,954.578000,954.578000,0.070000,0.070000,954.648000
Q019,selection_projection,1,1,862.578000,862.578000,862.578000,862.578000,0.058000,0.058000,862.636000
Q020,selection_projection,1,1,1152.055000,1152.055000,1152.055000,1152.055000,68.052000,68.052000,1220.107000
Q021,selection_projection,1,1,39.862000,39.862000,39.862000,39.862000,69.198000,69.198000,109.060000
Q022,selection_projection,1,1,1031.573000,1031.573000,1031.573000,1031.573000,0.058000,0.058000,1031.631000
Q023,selection_projection,1,1,22.912000,22.912000,22.912000,22.912000,66.563000,66.563000,89.475000
Q024,selection_projection,1,1,412.664000,412.664000,412.664000,412.664000,0.637000,0.637000,413.301000
Q025,selection_projection,1,1,107.553000,107.553000,107.553000,107.553000,0.069000,0.069000,107.622000
Q026,selection_projection,1,1,89.343000,89.343000,89.343000,89.343000,0.065000,0.065000,89.408000
Q027,selection_projection,1,1,116.262000,116.262000,116.262000,116.262000,0.067000,0.067000,116.329000
Q028,selection_projection,1,1,38.318000,38.318000,38.318000,38.318000,0.065000,0.065000,38.383000
Q029,selection_projection,1,1,44.675000,44.675000,44.675000,44.675000,0.079000,0.079000,44.754000
Q030,selection_projection,1,1,9.164000,9.164000,9.164000,9.164000,0.164000,0.164000,9.328000
Q031,weak_owner,1,1,2.868000,2.868000,2.868000,2.868000,0.254000,0.254000,3.122000
Q032,weak_owner,1,1,2166.220000,2166.220000,2166.220000,2166.220000,0.617000,0.617000,2166.837000
Q033,weak_owner,1,1,8.463000,8.463000,8.463000,8.463000,0.693000,0.693000,9.156000
Q034,weak_owner,1,1,365.172000,365.172000,365.172000,365.172000,0.727000,0.727000,365.899000
Q035,weak_owner,1,1,3.216000,3.216000,3.216000,3.216000,0.396000,0.396000,3.612000
Q036,weak_owner,1,1,846.112000,846.112000,846.112000,846.112000,0.629000,0.629000,846.741000
Q037,weak_owner,1,1,13.810000,13.810000,13.810000,13.810000,0.355000,0.355000,14.165000
Q038,weak_owner,1,1,175.317000,175.317000,175.317000,175.317000,0.305000,0.305000,175.622000
Q039,weak_owner,1,1,14.950000,14.950000,14.950000,14.950000,0.344000,0.344000,15.294000
Q040,weak_owner,1,1,163.610000,163.610000,163.610000,163.610000,0.139000,0.139000,163.749000
Q041,weak_owner,1,1,10.353000,10.353000,10.353000,10.353000,0.534000,0.534000,10.887000
Q042,weak_owner,1,1,4.283000,4.283000,4.283000,4.283000,0.280000,0.280000,4.563000
Q043,weak_owner,1,1,4.058000,4.058000,4.058000,4.058000,1.191000,1.191000,5.249000
Q044,weak_owner,1,1,130.317000,130.317000,130.317000,130.317000,0.282000,0.282000,130.599000
Q045,weak_owner,1,1,4.722000,4.722000,4.722000,4.722000,0.271000,0.271000,4.993000
Q046,weak_owner,1,1,2.367000,2.367000,2.367000,2.367000,0.159000,0.159000,2.526000
Q047,weak_owner,1,1,14.760000,14.760000,14.760000,14.760000,0.555000,0.555000,15.315000
Q048,weak_owner,1,1,42.498000,42.498000,42.498000,42.498000,1.292000,1.292000,43.790000
Q049,weak_owner,1,1,14.271000,14.271000,14.271000,14.271000,0.576000,0.576000,14.847000
Q050,weak_owner,1,1,27.504000,27.504000,27.504000,27.504000,0.464000,0.464000,27.968000
Q051,relationship_join,1,1,1392.934000,1392.934000,1392.934000,1392.934000,0.572000,0.572000,1393.506000
Q052,relationship_join,1,1,7804.122000,7804.122000,7804.122000,7804.122000,6.258000,6.258000,7810.380000
Q053,relationship_join,1,1,10796.112000,10796.112000,10796.112000,10796.112000,2.596000,2.596000,10798.708000
Q054,relationship_join,1,1,6293.571000,6293.571000,6293.571000,6293.571000,0.798000,0.798000,6294.369000
Q055,relationship_join,1,1,1834.229000,1834.229000,1834.229000,1834.229000,0.918000,0.918000,1835.147000
Q056,relationship_join,1,1,866.093000,866.093000,866.093000,866.093000,2.623000,2.623000,868.716000
Q057,relationship_join,1,1,2.769000,2.769000,2.769000,2.769000,0.503000,0.503000,3.272000
Q058,relationship_join,1,1,177.825000,177.825000,177.825000,177.825000,0.142000,0.142000,177.967000
Q059,relationship_join,1,1,573.276000,573.276000,573.276000,573.276000,2.080000,2.080000,575.356000
Q060,relationship_join,1,1,46.382000,46.382000,46.382000,46.382000,0.192000,0.192000,46.574000
Q061,relationship_join,1,1,19.294000,19.294000,19.294000,19.294000,0.766000,0.766000,20.060000
Q062,relationship_join,1,1,6.424000,6.424000,6.424000,6.424000,0.675000,0.675000,7.099000
Q063,relationship_join,1,1,33917.449000,33917.449000,33917.449000,33917.449000,0.596000,0.596000,33918.045000
Q064,relationship_join,1,1,169.481000,169.481000,169.481000,169.481000,0.638000,0.638000,170.119000
Q065,relationship_join,1,1,48.867000,48.867000,48.867000,48.867000,1.101000,1.101000,49.968000
Q066,relationship_join,1,1,658.944000,658.944000,658.944000,658.944000,0.253000,0.253000,659.197000
Q067,relationship_join,1,1,80.330000,80.330000,80.330000,80.330000,42.353000,42.353000,122.683000
Q068,relationship_join,1,1,1951.897000,1951.897000,1951.897000,1951.897000,0.364000,0.364000,1952.261000
Q069,relationship_join,1,1,2390.176000,2390.176000,2390.176000,2390.176000,0.421000,0.421000,2390.597000
Q070,relationship_join,1,1,65.000000,65.000000,65.000000,65.000000,33.940000,33.940000,98.940000
Q071,aggregation,1,1,2132.521000,2132.521000,2132.521000,2132.521000,0.397000,0.397000,2132.918000
Q072,aggregation,1,1,30859.146000,30859.146000,30859.146000,30859.146000,40.618000,40.618000,30899.764000
Q073,aggregation,1,1,1622.121000,1622.121000,1622.121000,1622.121000,2.031000,2.031000,1624.152000
Q074,aggregation,1,1,136.166000,136.166000,136.166000,136.166000,15.565000,15.565000,151.731000
Q075,aggregation,1,1,43748.226000,43748.226000,43748.226000,43748.226000,1.464000,1.464000,43749.690000
Q076,aggregation,1,1,184.378000,184.378000,184.378000,184.378000,0.202000,0.202000,184.580000
