query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,3799.219000,3799.219000,3799.219000,3799.219000,1.008000,1.008000,3800.227000
Q002,selection_projection,1,1,1701.932000,1701.932000,1701.932000,1701.932000,0.718000,0.718000,1702.650000
Q003,selection_projection,1,1,1708.759000,1708.759000,1708.759000,1708.759000,0.352000,0.352000,1709.111000
Q004,selection_projection,1,1,1377.396000,1377.396000,1377.396000,1377.396000,0.275000,0.275000,1377.671000
Q005,selection_projection,1,1,100.174000,100.174000,100.174000,100.174000,0.087000,0.087000,100.261000
Q006,selection_projection,1,1,1087.330000,1087.330000,1087.330000,1087.330000,0.160000,0.160000,1087.490000
Q007,selection_projection,1,1,193.437000,193.437000,193.437000,193.437000,0.087000,0.087000,193.524000
Q008,selection_projection,1,1,172.848000,172.848000,172.848000,172.848000,0.056000,0.056000,172.904000
Q009,selection_projection,1,1,8.966000,8.966000,8.966000,8.966000,0.050000,0.050000,9.016000
Q010,selection_projection,1,1,7.025000,7.025000,7.025000,7.025000,0.063000,0.063000,7.088000
Q011,selection_projection,1,1,38.351000,38.351000,38.351000,38.351000,0.032000,0.032000,38.383000
Q012,selection_projection,1,1,10.104000,10.104000,10.104000,10.104000,0.038000,0.038000,10.142000
Q013,selection_projection,1,1,59.383000,59.383000,59.383000,59.383000,0.027000,0.027000,59.410000
Q014,selection_projection,1,1,8.457000,8.457000,8.457000,8.457000,0.037000,0.037000,8.494000
Q015,selection_projection,1,1,34.392000,34.392000,34.392000,34.392000,0.116000,0.116000,34.508000
Q016,selection_projection,1,1,21.003000,21.003000,21.003000,21.003000,0.040000,0.040000,21.043000
Q017,selection_projection,1,1,210.108000,210.108000,210.108000,210.108000,0.091000,0.091000,210.199000
Q018,selection_projection,1,1,176.011000,176.011000,176.011000,176.011000,0.086000,0.086000,176.097000
Q019,selection_projection,1,1,133.665000,133.665000,133.665000,133.665000,0.054000,0.054000,133.719000
Q020,selection_projection,1,1,8.073000,8.073000,8.073000,8.073000,0.053000,0.053000,8.126000
Q021,selection_projection,1,1,1.932000,1.932000,1.932000,1.932000,0.034000,0.034000,1.966000
Q022,selection_projection,1,1,109.248000,109.248000,109.248000,109.248000,0.044000,0.044000,109.292000
Q023,selection_projection,1,1,1.245000,1.245000,1.245000,1.245000,0.059000,0.059000,1.304000
Q024,selection_projection,1,1,168.250000,168.250000,168.250000,168.250000,8.523000,8.523000,176.773000
Q025,selection_projection,1,1,102.226000,102.226000,102.226000,102.226000,0.101000,0.101000,102.327000
Q026,selection_projection,1,1,7.430000,7.430000,7.430000,7.430000,0.053000,0.053000,7.483000
Q027,selection_projection,1,1,80.395000,80.395000,80.395000,80.395000,0.040000,0.040000,80.435000
Q028,selection_projection,1,1,15.897000,15.897000,15.897000,15.897000,0.043000,0.043000,15.940000
Q029,selection_projection,1,1,21.197000,21.197000,21.197000,21.197000,0.063000,0.063000,21.260000
Q030,selection_projection,1,1,5.378000,5.378000,5.378000,5.378000,0.071000,0.071000,5.449000
Q031,weak_owner,1,1,1.568000,1.568000,1.568000,1.568000,0.068000,0.068000,1.636000
Q032,weak_owner,1,1,1969.759000,1969.759000,1969.759000,1969.759000,0.386000,0.386000,1970.145000
Q033,weak_owner,1,1,1.923000,1.923000,1.923000,1.923000,0.072000,0.072000,1.995000
Q034,weak_owner,1,1,1707.797000,1707.797000,1707.797000,1707.797000,0.223000,0.223000,1708.020000
Q035,weak_owner,1,1,0.641000,0.641000,0.641000,0.641000,0.086000,0.086000,0.727000
Q036,weak_owner,1,1,1783.545000,1783.545000,1783.545000,1783.545000,0.296000,0.296000,1783.841000
Q037,weak_owner,1,1,16.111000,16.111000,16.111000,16.111000,0.225000,0.225000,16.336000
Q038,weak_owner,1,1,185.929000,185.929000,185.929000,185.929000,0.118000,0.118000,186.047000
Q039,weak_owner,1,1,17.265000,17.265000,17.265000,17.265000,0.325000,0.325000,17.590000
Q040,weak_owner,1,1,147.584000,147.584000,147.584000,147.584000,0.107000,0.107000,147.691000
Q041,weak_owner,1,1,2.067000,2.067000,2.067000,2.067000,0.073000,0.073000,2.140000
Q042,weak_owner,1,1,2.306000,2.306000,2.306000,2.306000,0.058000,0.058000,2.364000
Q043,weak_owner,1,1,2.190000,2.190000,2.190000,2.190000,0.073000,0.073000,2.263000
