query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1602.992000,1602.992000,1602.992000,1602.992000,1.418000,1.418000,1604.410000
Q002,selection_projection,1,1,1652.184000,1652.184000,1652.184000,1652.184000,0.371000,0.371000,1652.555000
Q003,selection_projection,1,1,1775.619000,1775.619000,1775.619000,1775.619000,0.278000,0.278000,1775.897000
Q004,selection_projection,1,1,1447.909000,1447.909000,1447.909000,1447.909000,0.232000,0.232000,1448.141000
Q005,selection_projection,1,1,106.071000,106.071000,106.071000,106.071000,0.083000,0.083000,106.154000
Q006,selection_projection,1,1,1141.228000,1141.228000,1141.228000,1141.228000,0.161000,0.161000,1141.389000
Q007,selection_projection,1,1,199.641000,199.641000,199.641000,199.641000,0.088000,0.088000,199.729000
Q008,selection_projection,1,1,179.602000,179.602000,179.602000,179.602000,0.055000,0.055000,179.657000
Q009,selection_projection,1,1,8.967000,8.967000,8.967000,8.967000,0.054000,0.054000,9.021000
Q010,selection_projection,1,1,9.255000,9.255000,9.255000,9.255000,0.061000,0.061000,9.316000
Q011,selection_projection,1,1,41.649000,41.649000,41.649000,41.649000,0.037000,0.037000,41.686000
Q012,selection_projection,1,1,10.669000,10.669000,10.669000,10.669000,0.051000,0.051000,10.720000
Q013,selection_projection,1,1,63.312000,63.312000,63.312000,63.312000,0.032000,0.032000,63.344000
Q014,selection_projection,1,1,8.818000,8.818000,8.818000,8.818000,0.049000,0.049000,8.867000
Q015,selection_projection,1,1,35.744000,35.744000,35.744000,35.744000,0.115000,0.115000,35.859000
Q016,selection_projection,1,1,22.177000,22.177000,22.177000,22.177000,0.035000,0.035000,22.212000
Q017,selection_projection,1,1,221.281000,221.281000,221.281000,221.281000,0.086000,0.086000,221.367000
Q018,selection_projection,1,1,184.888000,184.888000,184.888000,184.888000,0.082000,0.082000,184.970000
Q019,selection_projection,1,1,136.067000,136.067000,136.067000,136.067000,0.054000,0.054000,136.121000
Q020,selection_projection,1,1,8.072000,8.072000,8.072000,8.072000,0.052000,0.052000,8.124000
Q021,selection_projection,1,1,2.043000,2.043000,2.043000,2.043000,0.034000,0.034000,2.077000
Q022,selection_projection,1,1,114.708000,114.708000,114.708000,114.708000,0.041000,0.041000,114.749000
Q023,selection_projection,1,1,1.342000,1.342000,1.342000,1.342000,0.046000,0.046000,1.388000
Q024,selection_projection,1,1,138.887000,138.887000,138.887000,138.887000,0.221000,0.221000,139.108000
Q025,selection_projection,1,1,107.191000,107.191000,107.191000,107.191000,0.091000,0.091000,107.282000
Q026,selection_projection,1,1,7.456000,7.456000,7.456000,7.456000,0.056000,0.056000,7.512000
Q027,selection_projection,1,1,79.255000,79.255000,79.255000,79.255000,0.050000,0.050000,79.305000
Q028,selection_projection,1,1,16.533000,16.533000,16.533000,16.533000,0.043000,0.043000,16.576000
Q029,selection_projection,1,1,6.708000,6.708000,6.708000,6.708000,0.063000,0.063000,6.771000
Q030,selection_projection,1,1,7.571000,7.571000,7.571000,7.571000,0.067000,0.067000,7.638000
Q031,weak_owner,1,1,1.645000,1.645000,1.645000,1.645000,0.079000,0.079000,1.724000
Q032,weak_owner,1,1,2058.979000,2058.979000,2058.979000,2058.979000,0.348000,0.348000,2059.327000
Q033,weak_owner,1,1,1.996000,1.996000,1.996000,1.996000,0.083000,0.083000,2.079000
Q034,weak_owner,1,1,1779.568000,1779.568000,1779.568000,1779.568000,0.247000,0.247000,1779.815000
Q035,weak_owner,1,1,0.662000,0.662000,0.662000,0.662000,0.092000,0.092000,0.754000
Q036,weak_owner,1,1,673.371000,673.371000,673.371000,673.371000,0.257000,0.257000,673.628000
Q037,weak_owner,1,1,9.787000,9.787000,9.787000,9.787000,0.106000,0.106000,9.893000
Q038,weak_owner,1,1,15.860000,15.860000,15.860000,15.860000,0.119000,0.119000,15.979000
Q039,weak_owner,1,1,9.330000,9.330000,9.330000,9.330000,0.078000,0.078000,9.408000
Q040,weak_owner,1,1,145.057000,145.057000,145.057000,145.057000,0.145000,0.145000,145.202000
Q041,weak_owner,1,1,2.042000,2.042000,2.042000,2.042000,0.073000,0.073000,2.115000
Q042,weak_owner,1,1,2.214000,2.214000,2.214000,2.214000,0.052000,0.052000,2.266000
Q043,weak_owner,1,1,2.255000,2.255000,2.255000,2.255000,0.064000,0.064000,2.319000
Q044,weak_owner,1,1,117.023000,117.023000,117.023000,117.023000,0.093000,0.093000,117.116000
Q045,weak_owner,1,1,2.376000,2.376000,2.376000,2.376000,0.091000,0.091000,2.467000
Q046,weak_owner,1,1,1.568000,1.568000,1.568000,1.568000,0.049000,0.049000,1.617000
Q047,weak_owner,1,1,14.330000,14.330000,14.330000,14.330000,0.182000,0.182000,14.512000
Q048,weak_owner,1,1,25.659000,25.659000,25.659000,25.659000,0.171000,0.171000,25.830000
Q049,weak_owner,1,1,6.851000,6.851000,6.851000,6.851000,0.170000,0.170000,7.021000
Q050,weak_owner,1,1,18.287000,18.287000,18.287000,18.287000,0.167000,0.167000,18.454000
Q051,relationship_join,1,1,9287.827000,9287.827000,9287.827000,9287.827000,0.529000,0.529000,9288.356000
Q052,relationship_join,1,1,12534.236000,12534.236000,12534.236000,12534.236000,0.451000,0.451000,12534.687000
Q053,relationship_join,1,1,10997.304000,10997.304000,10997.304000,10997.304000,0.526000,0.526000,10997.830000
Q054,relationship_join,1,1,17757.655000,17757.655000,17757.655000,17757.655000,0.576000,0.576000,17758.231000
Q055,relationship_join,1,1,563.018000,563.018000,563.018000,563.018000,0.512000,0.512000,563.530000
Q056,relationship_join,1,1,832.276000,832.276000,832.276000,832.276000,0.474000,0.474000,832.750000
Q057,relationship_join,1,1,6.008000,6.008000,6.008000,6.008000,0.367000,0.367000,6.375000
Q058,relationship_join,1,1,148.483000,148.483000,148.483000,148.483000,0.155000,0.155000,148.638000
Q059,relationship_join,1,1,2309.210000,2309.210000,2309.210000,2309.210000,0.434000,0.434000,2309.644000
Q060,relationship_join,1,1,83.402000,83.402000,83.402000,83.402000,0.216000,0.216000,83.618000
Q061,relationship_join,1,1,160.549000,160.549000,160.549000,160.549000,0.400000,0.400000,160.949000
Q062,relationship_join,1,1,7.282000,7.282000,7.282000,7.282000,0.213000,0.213000,7.495000
Q063,relationship_join,1,1,163129.967000,163129.967000,163129.967000,163129.967000,0.453000,0.453000,163130.420000
Q064,relationship_join,1,1,2197.181000,2197.181000,2197.181000,2197.181000,0.471000,0.471000,2197.652000
Q065,relationship_join,1,1,49.181000,49.181000,49.181000,49.181000,0.227000,0.227000,49.408000
Q066,relationship_join,1,1,2294.121000,2294.121000,2294.121000,2294.121000,0.459000,0.459000,2294.580000
Q067,relationship_join,1,1,12.709000,12.709000,12.709000,12.709000,0.241000,0.241000,12.950000
Q068,relationship_join,1,1,662.204000,662.204000,662.204000,662.204000,0.210000,0.210000,662.414000
Q069,relationship_join,1,1,361.866000,361.866000,361.866000,361.866000,0.264000,0.264000,362.130000
Q070,relationship_join,1,1,142.519000,142.519000,142.519000,142.519000,0.269000,0.269000,142.788000
Q071,aggregation,1,1,10273.410000,10273.410000,10273.410000,10273.410000,0.591000,0.591000,10274.001000
Q072,aggregation,1,1,30194.418000,30194.418000,30194.418000,30194.418000,0.387000,0.387000,30194.805000
Q073,aggregation,1,1,11577.471000,11577.471000,11577.471000,11577.471000,0.543000,0.543000,11578.014000
Q074,aggregation,1,1,597.335000,597.335000,597.335000,597.335000,0.362000,0.362000,597.697000
