query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4369.863000,4369.863000,4369.863000,4369.863000,1.109000,1.109000,4370.972000
Q002,selection_projection,1,1,1026.268000,1026.268000,1026.268000,1026.268000,0.057000,0.057000,1026.325000
Q003,selection_projection,1,1,1211.593000,1211.593000,1211.593000,1211.593000,0.103000,0.103000,1211.696000
Q004,selection_projection,1,1,1291.059000,1291.059000,1291.059000,1291.059000,0.109000,0.109000,1291.168000
Q005,selection_projection,1,1,1228.758000,1228.758000,1228.758000,1228.758000,0.063000,0.063000,1228.821000
Q006,selection_projection,1,1,1230.716000,1230.716000,1230.716000,1230.716000,0.071000,0.071000,1230.787000
Q007,selection_projection,1,1,972.216000,972.216000,972.216000,972.216000,0.072000,0.072000,972.288000
Q008,selection_projection,1,1,976.602000,976.602000,976.602000,976.602000,0.057000,0.057000,976.659000
Q009,selection_projection,1,1,902.200000,902.200000,902.200000,902.200000,0.060000,0.060000,902.260000
Q010,selection_projection,1,1,1009.129000,1009.129000,1009.129000,1009.129000,0.065000,0.065000,1009.194000
Q011,selection_projection,1,1,947.178000,947.178000,947.178000,947.178000,0.058000,0.058000,947.236000
Q012,selection_projection,1,1,934.365000,934.365000,934.365000,934.365000,0.058000,0.058000,934.423000
Q013,selection_projection,1,1,1029.174000,1029.174000,1029.174000,1029.174000,0.064000,0.064000,1029.238000
Q014,selection_projection,1,1,976.076000,976.076000,976.076000,976.076000,0.071000,0.071000,976.147000
Q015,selection_projection,1,1,1356.931000,1356.931000,1356.931000,1356.931000,0.070000,0.070000,1357.001000
Q016,selection_projection,1,1,992.686000,992.686000,992.686000,992.686000,0.059000,0.059000,992.745000
Q017,selection_projection,1,1,1348.965000,1348.965000,1348.965000,1348.965000,0.070000,0.070000,1349.035000
Q018,selection_projection,1,1,1060.705000,1060.705000,1060.705000,1060.705000,0.073000,0.073000,1060.778000
Q019,selection_projection,1,1,1063.071000,1063.071000,1063.071000,1063.071000,0.057000,0.057000,1063.128000
Q020,selection_projection,1,1,943.389000,943.389000,943.389000,943.389000,0.059000,0.059000,943.448000
Q021,selection_projection,1,1,981.976000,981.976000,981.976000,981.976000,0.061000,0.061000,982.037000
Q022,selection_projection,1,1,1219.422000,1219.422000,1219.422000,1219.422000,0.067000,0.067000,1219.489000
Q023,selection_projection,1,1,1021.305000,1021.305000,1021.305000,1021.305000,0.058000,0.058000,1021.363000
Q024,selection_projection,1,1,664.439000,664.439000,664.439000,664.439000,0.083000,0.083000,664.522000
Q025,selection_projection,1,1,160.582000,160.582000,160.582000,160.582000,0.072000,0.072000,160.654000
Q026,selection_projection,1,1,116.083000,116.083000,116.083000,116.083000,0.053000,0.053000,116.136000
Q027,selection_projection,1,1,148.300000,148.300000,148.300000,148.300000,0.067000,0.067000,148.367000
Q028,selection_projection,1,1,128.154000,128.154000,128.154000,128.154000,0.059000,0.059000,128.213000
Q029,selection_projection,1,1,52.226000,52.226000,52.226000,52.226000,0.078000,0.078000,52.304000
Q030,selection_projection,1,1,8.811000,8.811000,8.811000,8.811000,0.065000,0.065000,8.876000
Q031,weak_owner,1,1,3.036000,3.036000,3.036000,3.036000,0.057000,0.057000,3.093000
Q032,weak_owner,1,1,2482.770000,2482.770000,2482.770000,2482.770000,0.670000,0.670000,2483.440000
Q033,weak_owner,1,1,4.322000,4.322000,4.322000,4.322000,0.273000,0.273000,4.595000
Q034,weak_owner,1,1,2086.784000,2086.784000,2086.784000,2086.784000,0.305000,0.305000,2087.089000
Q035,weak_owner,1,1,0.963000,0.963000,0.963000,0.963000,0.110000,0.110000,1.073000
Q036,weak_owner,1,1,547.571000,547.571000,547.571000,547.571000,0.247000,0.247000,547.818000
Q037,weak_owner,1,1,15.937000,15.937000,15.937000,15.937000,0.329000,0.329000,16.266000
Q038,weak_owner,1,1,139.690000,139.690000,139.690000,139.690000,0.276000,0.276000,139.966000
Q039,weak_owner,1,1,12.584000,12.584000,12.584000,12.584000,0.129000,0.129000,12.713000
Q040,weak_owner,1,1,242.860000,242.860000,242.860000,242.860000,0.225000,0.225000,243.085000
Q041,weak_owner,1,1,17.973000,17.973000,17.973000,17.973000,0.073000,0.073000,18.046000
