query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,6333.025000,6333.025000,6333.025000,6333.025000,0.474000,0.474000,6333.499000
Q002,selection_projection,1,1,1120.796000,1120.796000,1120.796000,1120.796000,0.083000,0.083000,1120.879000
Q003,selection_projection,1,1,1211.113000,1211.113000,1211.113000,1211.113000,0.114000,0.114000,1211.227000
Q004,selection_projection,1,1,1341.671000,1341.671000,1341.671000,1341.671000,0.106000,0.106000,1341.777000
Q005,selection_projection,1,1,1287.358000,1287.358000,1287.358000,1287.358000,0.060000,0.060000,1287.418000
Q006,selection_projection,1,1,1281.729000,1281.729000,1281.729000,1281.729000,0.068000,0.068000,1281.797000
Q007,selection_projection,1,1,1018.660000,1018.660000,1018.660000,1018.660000,0.064000,0.064000,1018.724000
Q008,selection_projection,1,1,1002.204000,1002.204000,1002.204000,1002.204000,0.054000,0.054000,1002.258000
Q009,selection_projection,1,1,955.185000,955.185000,955.185000,955.185000,0.058000,0.058000,955.243000
Q010,selection_projection,1,1,1048.145000,1048.145000,1048.145000,1048.145000,0.066000,0.066000,1048.211000
Q011,selection_projection,1,1,978.094000,978.094000,978.094000,978.094000,0.057000,0.057000,978.151000
Q012,selection_projection,1,1,981.338000,981.338000,981.338000,981.338000,0.328000,0.328000,981.666000
Q013,selection_projection,1,1,1077.131000,1077.131000,1077.131000,1077.131000,0.055000,0.055000,1077.186000
Q014,selection_projection,1,1,1031.520000,1031.520000,1031.520000,1031.520000,0.058000,0.058000,1031.578000
Q015,selection_projection,1,1,1367.901000,1367.901000,1367.901000,1367.901000,0.068000,0.068000,1367.969000
Q016,selection_projection,1,1,1031.348000,1031.348000,1031.348000,1031.348000,0.058000,0.058000,1031.406000
Q017,selection_projection,1,1,1450.652000,1450.652000,1450.652000,1450.652000,0.072000,0.072000,1450.724000
Q018,selection_projection,1,1,1135.109000,1135.109000,1135.109000,1135.109000,0.068000,0.068000,1135.177000
Q019,selection_projection,1,1,1100.333000,1100.333000,1100.333000,1100.333000,0.057000,0.057000,1100.390000
Q020,selection_projection,1,1,1009.947000,1009.947000,1009.947000,1009.947000,0.055000,0.055000,1010.002000
Q021,selection_projection,1,1,1001.076000,1001.076000,1001.076000,1001.076000,0.060000,0.060000,1001.136000
Q022,selection_projection,1,1,1222.291000,1222.291000,1222.291000,1222.291000,0.062000,0.062000,1222.353000
Q023,selection_projection,1,1,1043.803000,1043.803000,1043.803000,1043.803000,0.060000,0.060000,1043.863000
Q024,selection_projection,1,1,819.087000,819.087000,819.087000,819.087000,0.137000,0.137000,819.224000
Q025,selection_projection,1,1,173.306000,173.306000,173.306000,173.306000,0.167000,0.167000,173.473000
Q026,selection_projection,1,1,118.726000,118.726000,118.726000,118.726000,0.056000,0.056000,118.782000
Q027,selection_projection,1,1,146.069000,146.069000,146.069000,146.069000,0.060000,0.060000,146.129000
Q028,selection_projection,1,1,130.759000,130.759000,130.759000,130.759000,0.058000,0.058000,130.817000
Q029,selection_projection,1,1,6.627000,6.627000,6.627000,6.627000,0.063000,0.063000,6.690000
Q030,selection_projection,1,1,7.322000,7.322000,7.322000,7.322000,0.062000,0.062000,7.384000
Q031,weak_owner,1,1,1.634000,1.634000,1.634000,1.634000,0.075000,0.075000,1.709000
Q032,weak_owner,1,1,2414.539000,2414.539000,2414.539000,2414.539000,40.651000,40.651000,2455.190000
Q033,weak_owner,1,1,7.908000,7.908000,7.908000,7.908000,0.444000,0.444000,8.352000
Q034,weak_owner,1,1,2394.885000,2394.885000,2394.885000,2394.885000,0.615000,0.615000,2395.500000
Q035,weak_owner,1,1,2.543000,2.543000,2.543000,2.543000,0.280000,0.280000,2.823000
Q036,weak_owner,1,1,522.670000,522.670000,522.670000,522.670000,0.432000,0.432000,523.102000
Q037,weak_owner,1,1,9.928000,9.928000,9.928000,9.928000,0.129000,0.129000,10.057000
Q038,weak_owner,1,1,172.772000,172.772000,172.772000,172.772000,0.133000,0.133000,172.905000
Q039,weak_owner,1,1,13.977000,13.977000,13.977000,13.977000,0.327000,0.327000,14.304000
Q040,weak_owner,1,1,244.004000,244.004000,244.004000,244.004000,0.146000,0.146000,244.150000
Q041,weak_owner,1,1,2.084000,2.084000,2.084000,2.084000,0.073000,0.073000,2.157000
Q042,weak_owner,1,1,2.243000,2.243000,2.243000,2.243000,0.053000,0.053000,2.296000
Q043,weak_owner,1,1,2.216000,2.216000,2.216000,2.216000,0.056000,0.056000,2.272000
Q044,weak_owner,1,1,202.245000,202.245000,202.245000,202.245000,0.121000,0.121000,202.366000
Q045,weak_owner,1,1,2.289000,2.289000,2.289000,2.289000,0.119000,0.119000,2.408000
Q046,weak_owner,1,1,1.467000,1.467000,1.467000,1.467000,0.054000,0.054000,1.521000
Q047,weak_owner,1,1,15.359000,15.359000,15.359000,15.359000,25.113000,25.113000,40.472000
Q048,weak_owner,1,1,16.876000,16.876000,16.876000,16.876000,0.909000,0.909000,17.785000
Q049,weak_owner,1,1,6.494000,6.494000,6.494000,6.494000,0.565000,0.565000,7.059000
Q050,weak_owner,1,1,18.681000,18.681000,18.681000,18.681000,0.919000,0.919000,19.600000
Q051,relationship_join,1,1,3158.452000,3158.452000,3158.452000,3158.452000,0.170000,0.170000,3158.622000
Q052,relationship_join,1,1,11873.501000,11873.501000,11873.501000,11873.501000,0.374000,0.374000,11873.875000
Q053,relationship_join,1,1,11014.296000,11014.296000,11014.296000,11014.296000,1.029000,1.029000,11015.325000
Q054,relationship_join,1,1,15889.172000,15889.172000,15889.172000,15889.172000,0.783000,0.783000,15889.955000
Q055,relationship_join,1,1,198.990000,198.990000,198.990000,198.990000,11.808000,11.808000,210.798000
Q056,relationship_join,1,1,260.161000,260.161000,260.161000,260.161000,1.855000,1.855000,262.016000
Q057,relationship_join,1,1,4.110000,4.110000,4.110000,4.110000,9.379000,9.379000,13.489000
Q058,relationship_join,1,1,241.874000,241.874000,241.874000,241.874000,1.993000,1.993000,243.867000
Q059,relationship_join,1,1,540.321000,540.321000,540.321000,540.321000,9.501000,9.501000,549.822000
Q060,relationship_join,1,1,98.327000,98.327000,98.327000,98.327000,0.897000,0.897000,99.224000
Q061,relationship_join,1,1,48.393000,48.393000,48.393000,48.393000,1.547000,1.547000,49.940000
Q062,relationship_join,1,1,6.978000,6.978000,6.978000,6.978000,0.628000,0.628000,7.606000
Q063,relationship_join,1,1,35303.664000,35303.664000,35303.664000,35303.664000,1.100000,1.100000,35304.764000
Q064,relationship_join,1,1,201.246000,201.246000,201.246000,201.246000,1.392000,1.392000,202.638000
Q065,relationship_join,1,1,51.627000,51.627000,51.627000,51.627000,0.244000,0.244000,51.871000
Q066,relationship_join,1,1,811.068000,811.068000,811.068000,811.068000,1.366000,1.366000,812.434000
Q067,relationship_join,1,1,22.508000,22.508000,22.508000,22.508000,1.180000,1.180000,23.688000
Q068,relationship_join,1,1,3095.390000,3095.390000,3095.390000,3095.390000,0.636000,0.636000,3096.026000
