query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1033.376000,1033.376000,1033.376000,1033.376000,0.979000,0.979000,1034.355000
Q002,selection_projection,1,1,1026.820000,1026.820000,1026.820000,1026.820000,0.060000,0.060000,1026.880000
Q003,selection_projection,1,1,1125.518000,1125.518000,1125.518000,1125.518000,0.102000,0.102000,1125.620000
Q004,selection_projection,1,1,1255.133000,1255.133000,1255.133000,1255.133000,0.100000,0.100000,1255.233000
Q005,selection_projection,1,1,1194.750000,1194.750000,1194.750000,1194.750000,0.060000,0.060000,1194.810000
Q006,selection_projection,1,1,1218.102000,1218.102000,1218.102000,1218.102000,0.069000,0.069000,1218.171000
Q007,selection_projection,1,1,929.300000,929.300000,929.300000,929.300000,0.076000,0.076000,929.376000
Q008,selection_projection,1,1,927.740000,927.740000,927.740000,927.740000,0.058000,0.058000,927.798000
Q009,selection_projection,1,1,62.297000,62.297000,62.297000,62.297000,9.291000,9.291000,71.588000
Q010,selection_projection,1,1,53.220000,53.220000,53.220000,53.220000,1.098000,1.098000,54.318000
Q011,selection_projection,1,1,2312.945000,2312.945000,2312.945000,2312.945000,0.324000,0.324000,2313.269000
Q012,selection_projection,1,1,1513.069000,1513.069000,1513.069000,1513.069000,8.596000,8.596000,1521.665000
Q013,selection_projection,1,1,947.267000,947.267000,947.267000,947.267000,0.059000,0.059000,947.326000
Q014,selection_projection,1,1,1315.614000,1315.614000,1315.614000,1315.614000,0.167000,0.167000,1315.781000
Q015,selection_projection,1,1,1581.249000,1581.249000,1581.249000,1581.249000,8.646000,8.646000,1589.895000
Q016,selection_projection,1,1,1664.059000,1664.059000,1664.059000,1664.059000,0.113000,0.113000,1664.172000
Q017,selection_projection,1,1,1333.772000,1333.772000,1333.772000,1333.772000,0.068000,0.068000,1333.840000
Q018,selection_projection,1,1,978.241000,978.241000,978.241000,978.241000,0.065000,0.065000,978.306000
Q019,selection_projection,1,1,1005.004000,1005.004000,1005.004000,1005.004000,0.059000,0.059000,1005.063000
Q020,selection_projection,1,1,1584.662000,1584.662000,1584.662000,1584.662000,9.527000,9.527000,1594.189000
Q021,selection_projection,1,1,25.686000,25.686000,25.686000,25.686000,9.291000,9.291000,34.977000
Q022,selection_projection,1,1,1052.139000,1052.139000,1052.139000,1052.139000,0.051000,0.051000,1052.190000
Q023,selection_projection,1,1,14.901000,14.901000,14.901000,14.901000,0.149000,0.149000,15.050000
Q024,selection_projection,1,1,142.185000,142.185000,142.185000,142.185000,0.133000,0.133000,142.318000
Q025,selection_projection,1,1,99.918000,99.918000,99.918000,99.918000,0.051000,0.051000,99.969000
Q026,selection_projection,1,1,81.169000,81.169000,81.169000,81.169000,0.057000,0.057000,81.226000
