query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,complex_multi_join,1,1,327294.362000,327294.362000,327294.362000,327294.362000,3.747000,3.747000,327298.109000
Q002,complex_multi_join,1,1,2074.141000,2074.141000,2074.141000,2074.141000,0.788000,0.788000,2074.929000
Q003,complex_multi_join,1,1,51.772000,51.772000,51.772000,51.772000,0.495000,0.495000,52.267000
Q004,aggregation,1,1,14.901000,14.901000,14.901000,14.901000,0.458000,0.458000,15.359000
Q005,selection_projection,1,1,20.670000,20.670000,20.670000,20.670000,0.064000,0.064000,20.734000
Q006,weak_owner,1,1,0.760000,0.760000,0.760000,0.760000,0.099000,0.099000,0.859000
Q007,selection_projection,1,1,36.745000,36.745000,36.745000,36.745000,0.035000,0.035000,36.780000
Q008,selection_projection,1,1,1.859000,1.859000,1.859000,1.859000,0.052000,0.052000,1.911000
Q009,complex_multi_join,1,1,28.026000,28.026000,28.026000,28.026000,0.526000,0.526000,28.552000
Q010,aggregation,1,1,328.819000,328.819000,328.819000,328.819000,0.399000,0.399000,329.218000
Q011,selection_projection,1,1,28.630000,28.630000,28.630000,28.630000,0.093000,0.093000,28.723000
Q012,relationship_join,1,1,10.171000,10.171000,10.171000,10.171000,0.243000,0.243000,10.414000
Q013,selection_projection,1,1,15.077000,15.077000,15.077000,15.077000,0.081000,0.081000,15.158000
Q014,selection_projection,1,1,192.571000,192.571000,192.571000,192.571000,0.080000,0.080000,192.651000
Q015,aggregation,1,1,11572.318000,11572.318000,11572.318000,11572.318000,1.085000,1.085000,11573.403000
Q016,aggregation,1,1,145.069000,145.069000,145.069000,145.069000,0.331000,0.331000,145.400000
Q017,complex_multi_join,1,1,24.484000,24.484000,24.484000,24.484000,0.567000,0.567000,25.051000
Q018,weak_owner,1,1,261.118000,261.118000,261.118000,261.118000,0.159000,0.159000,261.277000
Q019,weak_owner,1,1,169.071000,169.071000,169.071000,169.071000,0.188000,0.188000,169.259000
Q020,relationship_join,1,1,25.465000,25.465000,25.465000,25.465000,0.215000,0.215000,25.680000
Q021,aggregation,1,1,75.523000,75.523000,75.523000,75.523000,0.303000,0.303000,75.826000
Q022,weak_owner,1,1,148.077000,148.077000,148.077000,148.077000,0.139000,0.139000,148.216000
Q023,weak_owner,1,1,165.089000,165.089000,165.089000,165.089000,0.151000,0.151000,165.240000
Q024,complex_multi_join,1,1,48.931000,48.931000,48.931000,48.931000,0.515000,0.515000,49.446000
Q025,weak_owner,1,1,14.155000,14.155000,14.155000,14.155000,0.181000,0.181000,14.336000
Q026,weak_owner,1,1,11.837000,11.837000,11.837000,11.837000,0.151000,0.151000,11.988000
Q027,selection_projection,1,1,119.459000,119.459000,119.459000,119.459000,0.217000,0.217000,119.676000
Q028,relationship_join,1,1,7.141000,7.141000,7.141000,7.141000,0.523000,0.523000,7.664000
Q029,relationship_join,1,1,69.755000,69.755000,69.755000,69.755000,0.192000,0.192000,69.947000
Q030,relationship_join,1,1,51.911000,51.911000,51.911000,51.911000,0.156000,0.156000,52.067000
Q031,relationship_join,1,1,746.427000,746.427000,746.427000,746.427000,0.213000,0.213000,746.640000
Q032,relationship_join,1,1,6.125000,6.125000,6.125000,6.125000,0.439000,0.439000,6.564000
Q033,relationship_join,1,1,9.277000,9.277000,9.277000,9.277000,0.142000,0.142000,9.419000
Q034,complex_multi_join,1,1,2016.804000,2016.804000,2016.804000,2016.804000,0.596000,0.596000,2017.400000
Q035,selection_projection,1,1,23.186000,23.186000,23.186000,23.186000,0.071000,0.071000,23.257000
Q036,relationship_join,1,1,53.335000,53.335000,53.335000,53.335000,0.204000,0.204000,53.539000
Q037,selection_projection,1,1,18.782000,18.782000,18.782000,18.782000,0.060000,0.060000,18.842000
Q038,aggregation,1,1,87.246000,87.246000,87.246000,87.246000,0.217000,0.217000,87.463000
Q039,weak_owner,1,1,11.993000,11.993000,11.993000,11.993000,0.129000,0.129000,12.122000
