query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,complex_multi_join,1,1,113703.677000,113703.677000,113703.677000,113703.677000,1.977000,1.977000,113705.654000
Q002,complex_multi_join,1,1,541.211000,541.211000,541.211000,541.211000,4.293000,4.293000,545.504000
Q003,complex_multi_join,1,1,1400.238000,1400.238000,1400.238000,1400.238000,0.527000,0.527000,1400.765000
Q004,aggregation,1,1,5.075000,5.075000,5.075000,5.075000,1.842000,1.842000,6.917000
Q005,selection_projection,1,1,2105.688000,2105.688000,2105.688000,2105.688000,0.139000,0.139000,2105.827000
Q006,weak_owner,1,1,1.816000,1.816000,1.816000,1.816000,24.754000,24.754000,26.570000
Q007,selection_projection,1,1,1057.364000,1057.364000,1057.364000,1057.364000,0.050000,0.050000,1057.414000
Q008,selection_projection,1,1,1065.525000,1065.525000,1065.525000,1065.525000,0.053000,0.053000,1065.578000
Q009,complex_multi_join,1,1,39.219000,39.219000,39.219000,39.219000,27.624000,27.624000,66.843000
Q010,aggregation,1,1,133.804000,133.804000,133.804000,133.804000,1.109000,1.109000,134.913000
Q011,selection_projection,1,1,1283.608000,1283.608000,1283.608000,1283.608000,0.083000,0.083000,1283.691000
Q012,relationship_join,1,1,96.939000,96.939000,96.939000,96.939000,26.550000,26.550000,123.489000
Q013,selection_projection,1,1,1409.069000,1409.069000,1409.069000,1409.069000,0.068000,0.068000,1409.137000
Q014,selection_projection,1,1,1091.038000,1091.038000,1091.038000,1091.038000,0.063000,0.063000,1091.101000
Q015,aggregation,1,1,3659.934000,3659.934000,3659.934000,3659.934000,25.580000,25.580000,3685.514000
Q016,aggregation,1,1,486.873000,486.873000,486.873000,486.873000,4.893000,4.893000,491.766000
Q017,complex_multi_join,1,1,17.490000,17.490000,17.490000,17.490000,0.540000,0.540000,18.030000
