query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4292.679000,4292.679000,4292.679000,4292.679000,0.682000,0.682000,4293.361000
Q002,weak_owner,1,1,284.622000,284.622000,284.622000,284.622000,0.256000,0.256000,284.878000
Q003,complex_multi_join,1,1,159.593000,159.593000,159.593000,159.593000,0.616000,0.616000,160.209000
Q004,aggregation,1,1,18.091000,18.091000,18.091000,18.091000,0.424000,0.424000,18.515000
Q005,aggregation,1,1,14.259000,14.259000,14.259000,14.259000,0.212000,0.212000,14.471000
Q006,weak_owner,1,1,131.290000,131.290000,131.290000,131.290000,0.139000,0.139000,131.429000
Q007,complex_multi_join,1,1,547.873000,547.873000,547.873000,547.873000,0.436000,0.436000,548.309000
Q008,aggregation,1,1,74.405000,74.405000,74.405000,74.405000,1.637000,1.637000,76.042000
Q009,weak_owner,1,1,27.826000,27.826000,27.826000,27.826000,0.155000,0.155000,27.981000
Q010,relationship_join,1,1,128.489000,128.489000,128.489000,128.489000,0.146000,0.146000,128.635000
Q011,relationship_join,1,1,54.901000,54.901000,54.901000,54.901000,0.276000,0.276000,55.177000
Q012,complex_multi_join,1,1,107.533000,107.533000,107.533000,107.533000,0.713000,0.713000,108.246000
Q013,relationship_join,1,1,9817.445000,9817.445000,9817.445000,9817.445000,1.919000,1.919000,9819.364000
Q014,aggregation,1,1,110.895000,110.895000,110.895000,110.895000,0.238000,0.238000,111.133000
Q015,complex_multi_join,1,1,606.564000,606.564000,606.564000,606.564000,2.086000,2.086000,608.650000
Q016,selection_projection,1,1,1218.367000,1218.367000,1218.367000,1218.367000,0.080000,0.080000,1218.447000
Q017,relationship_join,1,1,108.155000,108.155000,108.155000,108.155000,0.673000,0.673000,108.828000
Q018,complex_multi_join,1,1,4092.775000,4092.775000,4092.775000,4092.775000,1.216000,1.216000,4093.991000
Q019,complex_multi_join,1,1,262.812000,262.812000,262.812000,262.812000,0.450000,0.450000,263.262000
Q020,selection_projection,1,1,1260.200000,1260.200000,1260.200000,1260.200000,0.103000,0.103000,1260.303000
Q021,selection_projection,1,1,1306.221000,1306.221000,1306.221000,1306.221000,0.072000,0.072000,1306.293000
Q022,weak_owner,1,1,905.404000,905.404000,905.404000,905.404000,0.486000,0.486000,905.890000
Q023,aggregation,1,1,6611.431000,6611.431000,6611.431000,6611.431000,0.731000,0.731000,6612.162000
