query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,15.034000,15.034000,15.034000,15.034000,0.104000,0.104000,15.138000
Q002,weak_owner,1,1,195.045000,195.045000,195.045000,195.045000,0.234000,0.234000,195.279000
Q003,complex_multi_join,1,1,489.245000,489.245000,489.245000,489.245000,0.742000,0.742000,489.987000
Q004,aggregation,1,1,22.423000,22.423000,22.423000,22.423000,0.779000,0.779000,23.202000
Q005,aggregation,1,1,103.295000,103.295000,103.295000,103.295000,0.384000,0.384000,103.679000
Q006,weak_owner,1,1,120.548000,120.548000,120.548000,120.548000,0.158000,0.158000,120.706000
Q007,complex_multi_join,1,1,2193.523000,2193.523000,2193.523000,2193.523000,1.005000,1.005000,2194.528000
Q008,aggregation,1,1,18134.259000,18134.259000,18134.259000,18134.259000,1.285000,1.285000,18135.544000
Q009,weak_owner,1,1,1578.163000,1578.163000,1578.163000,1578.163000,0.797000,0.797000,1578.960000
Q010,relationship_join,1,1,184.818000,184.818000,184.818000,184.818000,0.279000,0.279000,185.097000
Q011,relationship_join,1,1,2328.187000,2328.187000,2328.187000,2328.187000,41.942000,41.942000,2370.129000
Q012,complex_multi_join,1,1,747.645000,747.645000,747.645000,747.645000,1.662000,1.662000,749.307000
Q013,relationship_join,1,1,36.769000,36.769000,36.769000,36.769000,0.623000,0.623000,37.392000
Q014,aggregation,1,1,3252.819000,3252.819000,3252.819000,3252.819000,0.628000,0.628000,3253.447000
Q015,complex_multi_join,1,1,1580.270000,1580.270000,1580.270000,1580.270000,1.843000,1.843000,1582.113000
Q016,selection_projection,1,1,14.696000,14.696000,14.696000,14.696000,0.066000,0.066000,14.762000
Q017,relationship_join,1,1,150.770000,150.770000,150.770000,150.770000,2.854000,2.854000,153.624000
Q018,complex_multi_join,1,1,2789.803000,2789.803000,2789.803000,2789.803000,49.227000,49.227000,2839.030000
Q019,complex_multi_join,1,1,24486.972000,24486.972000,24486.972000,24486.972000,3.472000,3.472000,24490.444000
Q020,selection_projection,1,1,12.039000,12.039000,12.039000,12.039000,0.080000,0.080000,12.119000
Q021,selection_projection,1,1,8.430000,8.430000,8.430000,8.430000,0.070000,0.070000,8.500000
Q022,weak_owner,1,1,116.836000,116.836000,116.836000,116.836000,0.123000,0.123000,116.959000
Q023,aggregation,1,1,8320.857000,8320.857000,8320.857000,8320.857000,0.541000,0.541000,8321.398000
Q024,relationship_join,1,1,1242.851000,1242.851000,1242.851000,1242.851000,1.035000,1.035000,1243.886000
Q025,relationship_join,1,1,9043.079000,9043.079000,9043.079000,9043.079000,0.471000,0.471000,9043.550000
Q026,weak_owner,1,1,10.268000,10.268000,10.268000,10.268000,0.167000,0.167000,10.435000
Q027,aggregation,1,1,171.476000,171.476000,171.476000,171.476000,0.242000,0.242000,171.718000
Q028,weak_owner,1,1,130.739000,130.739000,130.739000,130.739000,0.372000,0.372000,131.111000
Q029,selection_projection,1,1,231.715000,231.715000,231.715000,231.715000,0.111000,0.111000,231.826000
Q030,selection_projection,1,1,7117.366000,7117.366000,7117.366000,7117.366000,0.232000,0.232000,7117.598000
Q031,selection_projection,1,1,941.393000,941.393000,941.393000,941.393000,0.114000,0.114000,941.507000
Q032,weak_owner,1,1,10.582000,10.582000,10.582000,10.582000,41.145000,41.145000,51.727000
Q033,selection_projection,1,1,4.446000,4.446000,4.446000,4.446000,0.031000,0.031000,4.477000
Q034,selection_projection,1,1,121.636000,121.636000,121.636000,121.636000,0.064000,0.064000,121.700000
Q035,aggregation,1,1,13370.070000,13370.070000,13370.070000,13370.070000,0.550000,0.550000,13370.620000
Q036,selection_projection,1,1,341.536000,341.536000,341.536000,341.536000,0.111000,0.111000,341.647000
Q037,selection_projection,1,1,5.591000,5.591000,5.591000,5.591000,0.039000,0.039000,5.630000
Q038,selection_projection,1,1,68.906000,68.906000,68.906000,68.906000,0.048000,0.048000,68.954000
Q039,aggregation,1,1,882.920000,882.920000,882.920000,882.920000,0.367000,0.367000,883.287000
Q040,weak_owner,1,1,131.673000,131.673000,131.673000,131.673000,0.123000,0.123000,131.796000
Q041,selection_projection,1,1,90.919000,90.919000,90.919000,90.919000,0.084000,0.084000,91.003000
Q042,weak_owner,1,1,134.802000,134.802000,134.802000,134.802000,0.173000,0.173000,134.975000
Q043,complex_multi_join,1,1,15724.280000,15724.280000,15724.280000,15724.280000,1.248000,1.248000,15725.528000
Q044,weak_owner,1,1,7.469000,7.469000,7.469000,7.469000,0.197000,0.197000,7.666000
Q045,relationship_join,1,1,157.967000,157.967000,157.967000,157.967000,0.163000,0.163000,158.130000
Q046,relationship_join,1,1,2036.399000,2036.399000,2036.399000,2036.399000,0.334000,0.334000,2036.733000
Q047,selection_projection,1,1,9.088000,9.088000,9.088000,9.088000,0.039000,0.039000,9.127000
Q048,relationship_join,1,1,12.402000,12.402000,12.402000,12.402000,41.521000,41.521000,53.923000
Q049,relationship_join,1,1,283.891000,283.891000,283.891000,283.891000,2.846000,2.846000,286.737000
Q050,selection_projection,1,1,7.513000,7.513000,7.513000,7.513000,0.066000,0.066000,7.579000
Q051,selection_projection,1,1,11.674000,11.674000,11.674000,11.674000,0.032000,0.032000,11.706000
Q052,complex_multi_join,1,1,2422.200000,2422.200000,2422.200000,2422.200000,0.740000,0.740000,2422.940000
Q053,aggregation,1,1,596.635000,596.635000,596.635000,596.635000,43.052000,43.052000,639.687000
Q054,complex_multi_join,1,1,7677.081000,7677.081000,7677.081000,7677.081000,1.311000,1.311000,7678.392000
Q055,aggregation,1,1,1003.990000,1003.990000,1003.990000,1003.990000,0.609000,0.609000,1004.599000
Q056,selection_projection,1,1,111.023000,111.023000,111.023000,111.023000,0.065000,0.065000,111.088000
Q057,relationship_join,1,1,245.740000,245.740000,245.740000,245.740000,0.363000,0.363000,246.103000
Q058,relationship_join,1,1,121.694000,121.694000,121.694000,121.694000,0.216000,0.216000,121.910000
Q059,relationship_join,1,1,583.543000,583.543000,583.543000,583.543000,41.864000,41.864000,625.407000
Q060,selection_projection,1,1,16.868000,16.868000,16.868000,16.868000,0.050000,0.050000,16.918000
Q061,complex_multi_join,1,1,65670.930000,65670.930000,65670.930000,65670.930000,0.933000,0.933000,65671.863000
Q062,weak_owner,1,1,133.921000,133.921000,133.921000,133.921000,0.113000,0.113000,134.034000
Q063,relationship_join,1,1,1941.298000,1941.298000,1941.298000,1941.298000,0.352000,0.352000,1941.650000
Q064,selection_projection,1,1,0.277000,0.277000,0.277000,0.277000,0.044000,0.044000,0.321000
Q065,relationship_join,1,1,11831.453000,11831.453000,11831.453000,11831.453000,0.488000,0.488000,11831.941000
Q066,selection_projection,1,1,178.266000,178.266000,178.266000,178.266000,0.079000,0.079000,178.345000
Q067,aggregation,1,1,7.381000,7.381000,7.381000,7.381000,9.604000,9.604000,16.985000
Q068,weak_owner,1,1,44.583000,44.583000,44.583000,44.583000,0.259000,0.259000,44.842000
Q069,complex_multi_join,1,1,6317.949000,6317.949000,6317.949000,6317.949000,0.704000,0.704000,6318.653000
Q070,aggregation,1,1,353.174000,353.174000,353.174000,353.174000,0.270000,0.270000,353.444000
Q071,weak_owner,1,1,0.483000,0.483000,0.483000,0.483000,0.050000,0.050000,0.533000
Q072,weak_owner,1,1,145.924000,145.924000,145.924000,145.924000,0.139000,0.139000,146.063000
Q073,selection_projection,1,1,7.309000,7.309000,7.309000,7.309000,0.081000,0.081000,7.390000
Q074,weak_owner,1,1,160.870000,160.870000,160.870000,160.870000,8.495000,8.495000,169.365000
Q075,aggregation,1,1,32.535000,32.535000,32.535000,32.535000,0.201000,0.201000,32.736000
Q076,relationship_join,1,1,572.905000,572.905000,572.905000,572.905000,0.398000,0.398000,573.303000
Q077,selection_projection,1,1,1.031000,1.031000,1.031000,1.031000,0.043000,0.043000,1.074000
Q078,complex_multi_join,1,1,4773.019000,4773.019000,4773.019000,4773.019000,1.069000,1.069000,4774.088000
