query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,14.170000,14.170000,14.170000,14.170000,0.128000,0.128000,14.298000
Q002,weak_owner,1,1,203.584000,203.584000,203.584000,203.584000,0.237000,0.237000,203.821000
Q003,complex_multi_join,1,1,132.221000,132.221000,132.221000,132.221000,1.144000,1.144000,133.365000
Q004,aggregation,1,1,28.215000,28.215000,28.215000,28.215000,0.550000,0.550000,28.765000
Q005,aggregation,1,1,112.651000,112.651000,112.651000,112.651000,0.662000,0.662000,113.313000
Q006,weak_owner,1,1,123.868000,123.868000,123.868000,123.868000,18.144000,18.144000,142.012000
Q007,complex_multi_join,1,1,885.991000,885.991000,885.991000,885.991000,2.769000,2.769000,888.760000
Q008,aggregation,1,1,16811.649000,16811.649000,16811.649000,16811.649000,0.929000,0.929000,16812.578000
Q009,weak_owner,1,1,1488.867000,1488.867000,1488.867000,1488.867000,2.301000,2.301000,1491.168000
Q010,relationship_join,1,1,192.894000,192.894000,192.894000,192.894000,0.925000,0.925000,193.819000
Q011,relationship_join,1,1,2271.344000,2271.344000,2271.344000,2271.344000,52.366000,52.366000,2323.710000
Q012,complex_multi_join,1,1,659.550000,659.550000,659.550000,659.550000,1.724000,1.724000,661.274000
Q013,relationship_join,1,1,38.316000,38.316000,38.316000,38.316000,0.419000,0.419000,38.735000
Q014,aggregation,1,1,6272.288000,6272.288000,6272.288000,6272.288000,1.006000,1.006000,6273.294000
Q015,complex_multi_join,1,1,1618.368000,1618.368000,1618.368000,1618.368000,2.986000,2.986000,1621.354000
Q016,selection_projection,1,1,14.756000,14.756000,14.756000,14.756000,0.076000,0.076000,14.832000
Q017,relationship_join,1,1,153.691000,153.691000,153.691000,153.691000,0.465000,0.465000,154.156000
Q018,complex_multi_join,1,1,2881.601000,2881.601000,2881.601000,2881.601000,48.526000,48.526000,2930.127000
Q019,complex_multi_join,1,1,23922.799000,23922.799000,23922.799000,23922.799000,41.231000,41.231000,23964.030000
Q020,selection_projection,1,1,15.486000,15.486000,15.486000,15.486000,0.206000,0.206000,15.692000
Q021,selection_projection,1,1,8.259000,8.259000,8.259000,8.259000,0.041000,0.041000,8.300000
Q022,weak_owner,1,1,109.903000,109.903000,109.903000,109.903000,0.088000,0.088000,109.991000
Q023,aggregation,1,1,8256.558000,8256.558000,8256.558000,8256.558000,0.522000,0.522000,8257.080000
Q024,relationship_join,1,1,949.695000,949.695000,949.695000,949.695000,1.519000,1.519000,951.214000
Q025,relationship_join,1,1,8990.761000,8990.761000,8990.761000,8990.761000,0.550000,0.550000,8991.311000
Q026,weak_owner,1,1,14.730000,14.730000,14.730000,14.730000,41.698000,41.698000,56.428000
Q027,aggregation,1,1,128.773000,128.773000,128.773000,128.773000,0.192000,0.192000,128.965000
Q028,weak_owner,1,1,125.101000,125.101000,125.101000,125.101000,41.142000,41.142000,166.243000
Q029,selection_projection,1,1,225.333000,225.333000,225.333000,225.333000,0.111000,0.111000,225.444000
Q030,selection_projection,1,1,7064.049000,7064.049000,7064.049000,7064.049000,0.222000,0.222000,7064.271000
Q031,selection_projection,1,1,993.935000,993.935000,993.935000,993.935000,0.104000,0.104000,994.039000
Q032,weak_owner,1,1,11.558000,11.558000,11.558000,11.558000,42.178000,42.178000,53.736000
Q033,selection_projection,1,1,4.616000,4.616000,4.616000,4.616000,0.038000,0.038000,4.654000
Q034,selection_projection,1,1,118.222000,118.222000,118.222000,118.222000,0.082000,0.082000,118.304000
Q035,aggregation,1,1,12924.095000,12924.095000,12924.095000,12924.095000,0.524000,0.524000,12924.619000
Q036,selection_projection,1,1,359.114000,359.114000,359.114000,359.114000,0.149000,0.149000,359.263000
Q037,selection_projection,1,1,8.035000,8.035000,8.035000,8.035000,0.042000,0.042000,8.077000
Q038,selection_projection,1,1,78.621000,78.621000,78.621000,78.621000,0.064000,0.064000,78.685000
Q039,aggregation,1,1,882.044000,882.044000,882.044000,882.044000,40.114000,40.114000,922.158000
Q040,weak_owner,1,1,134.133000,134.133000,134.133000,134.133000,0.134000,0.134000,134.267000
Q041,selection_projection,1,1,93.440000,93.440000,93.440000,93.440000,0.085000,0.085000,93.525000
Q042,weak_owner,1,1,141.276000,141.276000,141.276000,141.276000,0.223000,0.223000,141.499000
Q043,complex_multi_join,1,1,15371.787000,15371.787000,15371.787000,15371.787000,40.557000,40.557000,15412.344000
Q044,weak_owner,1,1,10.151000,10.151000,10.151000,10.151000,0.205000,0.205000,10.356000
Q045,relationship_join,1,1,168.277000,168.277000,168.277000,168.277000,0.161000,0.161000,168.438000
Q046,relationship_join,1,1,3601.204000,3601.204000,3601.204000,3601.204000,0.530000,0.530000,3601.734000
Q047,selection_projection,1,1,10.172000,10.172000,10.172000,10.172000,0.040000,0.040000,10.212000
Q048,relationship_join,1,1,17.097000,17.097000,17.097000,17.097000,40.685000,40.685000,57.782000
Q049,relationship_join,1,1,326.089000,326.089000,326.089000,326.089000,0.216000,0.216000,326.305000
Q050,selection_projection,1,1,7.532000,7.532000,7.532000,7.532000,0.080000,0.080000,7.612000
Q051,selection_projection,1,1,11.007000,11.007000,11.007000,11.007000,0.031000,0.031000,11.038000
Q052,complex_multi_join,1,1,2448.240000,2448.240000,2448.240000,2448.240000,0.906000,0.906000,2449.146000
Q053,aggregation,1,1,589.242000,589.242000,589.242000,589.242000,40.356000,40.356000,629.598000
Q054,complex_multi_join,1,1,7897.602000,7897.602000,7897.602000,7897.602000,1.172000,1.172000,7898.774000
Q055,aggregation,1,1,975.083000,975.083000,975.083000,975.083000,41.090000,41.090000,1016.173000
Q056,selection_projection,1,1,114.838000,114.838000,114.838000,114.838000,0.072000,0.072000,114.910000
Q057,relationship_join,1,1,263.302000,263.302000,263.302000,263.302000,0.427000,0.427000,263.729000
Q058,relationship_join,1,1,136.636000,136.636000,136.636000,136.636000,0.224000,0.224000,136.860000
Q059,relationship_join,1,1,595.916000,595.916000,595.916000,595.916000,0.922000,0.922000,596.838000
Q060,selection_projection,1,1,17.175000,17.175000,17.175000,17.175000,0.050000,0.050000,17.225000
Q061,complex_multi_join,1,1,66298.873000,66298.873000,66298.873000,66298.873000,18.951000,18.951000,66317.824000
Q062,weak_owner,1,1,137.303000,137.303000,137.303000,137.303000,0.120000,0.120000,137.423000
Q063,relationship_join,1,1,2001.315000,2001.315000,2001.315000,2001.315000,0.385000,0.385000,2001.700000
Q064,selection_projection,1,1,0.281000,0.281000,0.281000,0.281000,0.044000,0.044000,0.325000
Q065,relationship_join,1,1,11655.276000,11655.276000,11655.276000,11655.276000,0.489000,0.489000,11655.765000
Q066,selection_projection,1,1,179.655000,179.655000,179.655000,179.655000,0.073000,0.073000,179.728000
Q067,aggregation,1,1,15.835000,15.835000,15.835000,15.835000,43.434000,43.434000,59.269000
Q068,weak_owner,1,1,42.882000,42.882000,42.882000,42.882000,1.567000,1.567000,44.449000
Q069,complex_multi_join,1,1,6839.054000,6839.054000,6839.054000,6839.054000,0.748000,0.748000,6839.802000
Q070,aggregation,1,1,347.208000,347.208000,347.208000,347.208000,0.261000,0.261000,347.469000
Q071,weak_owner,1,1,0.580000,0.580000,0.580000,0.580000,0.066000,0.066000,0.646000
Q072,weak_owner,1,1,148.318000,148.318000,148.318000,148.318000,0.120000,0.120000,148.438000
Q073,selection_projection,1,1,7.092000,7.092000,7.092000,7.092000,0.060000,0.060000,7.152000
Q074,weak_owner,1,1,166.235000,166.235000,166.235000,166.235000,40.768000,40.768000,207.003000
Q075,aggregation,1,1,89.224000,89.224000,89.224000,89.224000,0.196000,0.196000,89.420000
Q076,relationship_join,1,1,559.885000,559.885000,559.885000,559.885000,0.455000,0.455000,560.340000
Q077,selection_projection,1,1,3.382000,3.382000,3.382000,3.382000,0.045000,0.045000,3.427000
Q078,complex_multi_join,1,1,4946.285000,4946.285000,4946.285000,4946.285000,1.137000,1.137000,4947.422000
Q079,weak_owner,1,1,9.999000,9.999000,9.999000,9.999000,0.155000,0.155000,10.154000
Q080,relationship_join,1,1,343.427000,343.427000,343.427000,343.427000,0.212000,0.212000,343.639000
Q081,relationship_join,1,1,1415.334000,1415.334000,1415.334000,1415.334000,0.402000,0.402000,1415.736000
Q082,selection_projection,1,1,111.167000,111.167000,111.167000,111.167000,0.067000,0.067000,111.234000
Q083,selection_projection,1,1,7.343000,7.343000,7.343000,7.343000,0.056000,0.056000,7.399000
Q084,weak_owner,1,1,148.810000,148.810000,148.810000,148.810000,0.138000,0.138000,148.948000
Q085,complex_multi_join,1,1,4084.772000,4084.772000,4084.772000,4084.772000,1.197000,1.197000,4085.969000
Q086,selection_projection,1,1,141.262000,141.262000,141.262000,141.262000,0.069000,0.069000,141.331000
Q087,selection_projection,1,1,18.066000,18.066000,18.066000,18.066000,0.045000,0.045000,18.111000
Q088,weak_owner,1,1,55.056000,55.056000,55.056000,55.056000,0.125000,0.125000,55.181000
