query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,14.659000,14.659000,14.659000,14.659000,0.097000,0.097000,14.756000
Q002,weak_owner,1,1,628.170000,628.170000,628.170000,628.170000,0.186000,0.186000,628.356000
Q003,complex_multi_join,1,1,437.468000,437.468000,437.468000,437.468000,0.544000,0.544000,438.012000
Q004,aggregation,1,1,26.203000,26.203000,26.203000,26.203000,0.273000,0.273000,26.476000
Q005,aggregation,1,1,102.607000,102.607000,102.607000,102.607000,0.240000,0.240000,102.847000
Q006,weak_owner,1,1,183.075000,183.075000,183.075000,183.075000,0.149000,0.149000,183.224000
Q007,complex_multi_join,1,1,2388.400000,2388.400000,2388.400000,2388.400000,0.636000,0.636000,2389.036000
Q008,aggregation,1,1,19106.275000,19106.275000,19106.275000,19106.275000,0.404000,0.404000,19106.679000
Q009,weak_owner,1,1,2246.770000,2246.770000,2246.770000,2246.770000,26.912000,26.912000,2273.682000
Q010,relationship_join,1,1,7057.166000,7057.166000,7057.166000,7057.166000,1.953000,1.953000,7059.119000
Q011,relationship_join,1,1,4709.500000,4709.500000,4709.500000,4709.500000,1.936000,1.936000,4711.436000
Q012,complex_multi_join,1,1,1790.651000,1790.651000,1790.651000,1790.651000,4.562000,4.562000,1795.213000
Q013,relationship_join,1,1,41.001000,41.001000,41.001000,41.001000,2.863000,2.863000,43.864000
Q014,aggregation,1,1,3405.026000,3405.026000,3405.026000,3405.026000,1.952000,1.952000,3406.978000
Q015,complex_multi_join,1,1,1575.137000,1575.137000,1575.137000,1575.137000,2.197000,2.197000,1577.334000
Q016,selection_projection,1,1,509.465000,509.465000,509.465000,509.465000,0.073000,0.073000,509.538000
Q017,relationship_join,1,1,231.966000,231.966000,231.966000,231.966000,0.856000,0.856000,232.822000
Q018,complex_multi_join,1,1,3017.635000,3017.635000,3017.635000,3017.635000,25.343000,25.343000,3042.978000
Q019,complex_multi_join,1,1,24582.374000,24582.374000,24582.374000,24582.374000,4.636000,4.636000,24587.010000
