query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,14.856000,14.856000,14.856000,14.856000,0.130000,0.130000,14.986000
Q002,weak_owner,1,1,581.722000,581.722000,581.722000,581.722000,0.172000,0.172000,581.894000
Q003,complex_multi_join,1,1,574.906000,574.906000,574.906000,574.906000,0.860000,0.860000,575.766000
Q004,aggregation,1,1,22.324000,22.324000,22.324000,22.324000,0.905000,0.905000,23.229000
Q005,aggregation,1,1,126.860000,126.860000,126.860000,126.860000,0.390000,0.390000,127.250000
Q006,weak_owner,1,1,185.279000,185.279000,185.279000,185.279000,0.396000,0.396000,185.675000
Q007,complex_multi_join,1,1,2041.618000,2041.618000,2041.618000,2041.618000,1.775000,1.775000,2043.393000
Q008,aggregation,1,1,19312.702000,19312.702000,19312.702000,19312.702000,0.599000,0.599000,19313.301000
Q009,weak_owner,1,1,1832.346000,1832.346000,1832.346000,1832.346000,41.976000,41.976000,1874.322000
Q010,relationship_join,1,1,6195.403000,6195.403000,6195.403000,6195.403000,1.611000,1.611000,6197.014000
Q011,relationship_join,1,1,3710.390000,3710.390000,3710.390000,3710.390000,1.638000,1.638000,3712.028000
Q012,complex_multi_join,1,1,1407.500000,1407.500000,1407.500000,1407.500000,4.345000,4.345000,1411.845000
Q013,relationship_join,1,1,43.691000,43.691000,43.691000,43.691000,0.847000,0.847000,44.538000
Q014,aggregation,1,1,6333.657000,6333.657000,6333.657000,6333.657000,0.995000,0.995000,6334.652000
Q015,complex_multi_join,1,1,914.846000,914.846000,914.846000,914.846000,2.448000,2.448000,917.294000
Q016,selection_projection,1,1,597.877000,597.877000,597.877000,597.877000,0.075000,0.075000,597.952000
Q017,relationship_join,1,1,278.116000,278.116000,278.116000,278.116000,0.374000,0.374000,278.490000
Q018,complex_multi_join,1,1,1860.147000,1860.147000,1860.147000,1860.147000,2.566000,2.566000,1862.713000
Q019,complex_multi_join,1,1,25230.858000,25230.858000,25230.858000,25230.858000,2.124000,2.124000,25232.982000
Q020,selection_projection,1,1,590.116000,590.116000,590.116000,590.116000,0.108000,0.108000,590.224000
Q021,selection_projection,1,1,1041.340000,1041.340000,1041.340000,1041.340000,0.061000,0.061000,1041.401000
Q022,weak_owner,1,1,426.646000,426.646000,426.646000,426.646000,1.795000,1.795000,428.441000
Q023,aggregation,1,1,8412.235000,8412.235000,8412.235000,8412.235000,1.690000,1.690000,8413.925000
Q024,relationship_join,1,1,689.807000,689.807000,689.807000,689.807000,0.952000,0.952000,690.759000
Q025,relationship_join,1,1,8048.232000,8048.232000,8048.232000,8048.232000,0.593000,0.593000,8048.825000
Q026,weak_owner,1,1,17.910000,17.910000,17.910000,17.910000,2.280000,2.280000,20.190000
Q027,aggregation,1,1,280.412000,280.412000,280.412000,280.412000,0.160000,0.160000,280.572000
Q028,weak_owner,1,1,40.894000,40.894000,40.894000,40.894000,0.724000,0.724000,41.618000
Q029,selection_projection,1,1,1595.035000,1595.035000,1595.035000,1595.035000,0.052000,0.052000,1595.087000
Q030,selection_projection,1,1,2392.093000,2392.093000,2392.093000,2392.093000,0.093000,0.093000,2392.186000
Q031,selection_projection,1,1,1232.788000,1232.788000,1232.788000,1232.788000,0.058000,0.058000,1232.846000
