query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,14.841000,14.841000,14.841000,14.841000,0.098000,0.098000,14.939000
Q002,weak_owner,1,1,362.827000,362.827000,362.827000,362.827000,0.164000,0.164000,362.991000
Q003,complex_multi_join,1,1,563.099000,563.099000,563.099000,563.099000,0.604000,0.604000,563.703000
Q004,aggregation,1,1,17.371000,17.371000,17.371000,17.371000,0.488000,0.488000,17.859000
Q005,aggregation,1,1,125.277000,125.277000,125.277000,125.277000,0.197000,0.197000,125.474000
Q006,weak_owner,1,1,113.653000,113.653000,113.653000,113.653000,0.151000,0.151000,113.804000
Q007,complex_multi_join,1,1,2430.834000,2430.834000,2430.834000,2430.834000,0.520000,0.520000,2431.354000
Q008,aggregation,1,1,16793.592000,16793.592000,16793.592000,16793.592000,0.805000,0.805000,16794.397000
Q009,weak_owner,1,1,457.870000,457.870000,457.870000,457.870000,0.245000,0.245000,458.115000
Q010,relationship_join,1,1,2295.105000,2295.105000,2295.105000,2295.105000,0.591000,0.591000,2295.696000
Q011,relationship_join,1,1,990.636000,990.636000,990.636000,990.636000,0.237000,0.237000,990.873000
Q012,complex_multi_join,1,1,309.397000,309.397000,309.397000,309.397000,1.605000,1.605000,311.002000
Q013,relationship_join,1,1,40.221000,40.221000,40.221000,40.221000,0.216000,0.216000,40.437000
Q014,aggregation,1,1,1284.810000,1284.810000,1284.810000,1284.810000,0.267000,0.267000,1285.077000
Q015,complex_multi_join,1,1,218.829000,218.829000,218.829000,218.829000,0.807000,0.807000,219.636000
Q016,selection_projection,1,1,83.353000,83.353000,83.353000,83.353000,0.078000,0.078000,83.431000
Q017,relationship_join,1,1,172.441000,172.441000,172.441000,172.441000,0.239000,0.239000,172.680000
Q018,complex_multi_join,1,1,263.038000,263.038000,263.038000,263.038000,0.535000,0.535000,263.573000
Q019,complex_multi_join,1,1,18675.224000,18675.224000,18675.224000,18675.224000,0.579000,0.579000,18675.803000
Q020,selection_projection,1,1,113.614000,113.614000,113.614000,113.614000,0.102000,0.102000,113.716000
Q021,selection_projection,1,1,133.484000,133.484000,133.484000,133.484000,0.138000,0.138000,133.622000
Q022,weak_owner,1,1,95.267000,95.267000,95.267000,95.267000,0.163000,0.163000,95.430000
Q023,aggregation,1,1,8391.156000,8391.156000,8391.156000,8391.156000,0.217000,0.217000,8391.373000
Q024,relationship_join,1,1,248.897000,248.897000,248.897000,248.897000,0.218000,0.218000,249.115000
Q025,relationship_join,1,1,7697.952000,7697.952000,7697.952000,7697.952000,0.183000,0.183000,7698.135000
Q026,weak_owner,1,1,12.470000,12.470000,12.470000,12.470000,0.172000,0.172000,12.642000
Q027,aggregation,1,1,153.115000,153.115000,153.115000,153.115000,0.214000,0.214000,153.329000
Q028,weak_owner,1,1,106.177000,106.177000,106.177000,106.177000,0.203000,0.203000,106.380000
Q029,selection_projection,1,1,1528.885000,1528.885000,1528.885000,1528.885000,0.052000,0.052000,1528.937000
Q030,selection_projection,1,1,2223.321000,2223.321000,2223.321000,2223.321000,0.101000,0.101000,2223.422000
Q031,selection_projection,1,1,1246.846000,1246.846000,1246.846000,1246.846000,0.058000,0.058000,1246.904000
Q032,weak_owner,1,1,7.167000,7.167000,7.167000,7.167000,0.193000,0.193000,7.360000
Q033,selection_projection,1,1,5.336000,5.336000,5.336000,5.336000,0.039000,0.039000,5.375000
Q034,selection_projection,1,1,926.554000,926.554000,926.554000,926.554000,0.044000,0.044000,926.598000
Q035,aggregation,1,1,13426.683000,13426.683000,13426.683000,13426.683000,0.467000,0.467000,13427.150000
Q036,selection_projection,1,1,2477.966000,2477.966000,2477.966000,2477.966000,0.128000,0.128000,2478.094000
Q037,selection_projection,1,1,8.080000,8.080000,8.080000,8.080000,0.041000,0.041000,8.121000
Q038,selection_projection,1,1,959.356000,959.356000,959.356000,959.356000,0.041000,0.041000,959.397000
Q039,aggregation,1,1,147.886000,147.886000,147.886000,147.886000,0.483000,0.483000,148.369000
Q040,weak_owner,1,1,113.620000,113.620000,113.620000,113.620000,0.187000,0.187000,113.807000
Q041,selection_projection,1,1,120.486000,120.486000,120.486000,120.486000,0.079000,0.079000,120.565000
Q042,weak_owner,1,1,131.955000,131.955000,131.955000,131.955000,0.163000,0.163000,132.118000
Q043,complex_multi_join,1,1,11961.029000,11961.029000,11961.029000,11961.029000,0.568000,0.568000,11961.597000
Q044,weak_owner,1,1,9.426000,9.426000,9.426000,9.426000,0.224000,0.224000,9.650000
Q045,relationship_join,1,1,179.382000,179.382000,179.382000,179.382000,0.134000,0.134000,179.516000
Q046,relationship_join,1,1,608.534000,608.534000,608.534000,608.534000,0.204000,0.204000,608.738000
Q047,selection_projection,1,1,10.170000,10.170000,10.170000,10.170000,0.043000,0.043000,10.213000
Q048,relationship_join,1,1,9.956000,9.956000,9.956000,9.956000,0.278000,0.278000,10.234000
Q049,relationship_join,1,1,340.587000,340.587000,340.587000,340.587000,41.289000,41.289000,381.876000
Q050,selection_projection,1,1,7.193000,7.193000,7.193000,7.193000,0.066000,0.066000,7.259000
Q051,selection_projection,1,1,11.108000,11.108000,11.108000,11.108000,0.031000,0.031000,11.139000
Q052,complex_multi_join,1,1,669.298000,669.298000,669.298000,669.298000,0.519000,0.519000,669.817000
Q053,aggregation,1,1,2473.668000,2473.668000,2473.668000,2473.668000,0.247000,0.247000,2473.915000
Q054,complex_multi_join,1,1,522.768000,522.768000,522.768000,522.768000,0.654000,0.654000,523.422000
Q055,aggregation,1,1,171.190000,171.190000,171.190000,171.190000,0.252000,0.252000,171.442000
Q056,selection_projection,1,1,114.370000,114.370000,114.370000,114.370000,0.040000,0.040000,114.410000
Q057,relationship_join,1,1,120.011000,120.011000,120.011000,120.011000,0.198000,0.198000,120.209000
Q058,relationship_join,1,1,124.071000,124.071000,124.071000,124.071000,0.701000,0.701000,124.772000
Q059,relationship_join,1,1,180.330000,180.330000,180.330000,180.330000,0.228000,0.228000,180.558000
Q060,selection_projection,1,1,15.810000,15.810000,15.810000,15.810000,0.051000,0.051000,15.861000
Q061,complex_multi_join,1,1,15934.619000,15934.619000,15934.619000,15934.619000,0.539000,0.539000,15935.158000
Q062,weak_owner,1,1,107.717000,107.717000,107.717000,107.717000,0.178000,0.178000,107.895000
Q063,relationship_join,1,1,224.106000,224.106000,224.106000,224.106000,0.201000,0.201000,224.307000
Q064,selection_projection,1,1,17.608000,17.608000,17.608000,17.608000,0.069000,0.069000,17.677000
Q065,relationship_join,1,1,11060.786000,11060.786000,11060.786000,11060.786000,0.365000,0.365000,11061.151000
Q066,selection_projection,1,1,994.657000,994.657000,994.657000,994.657000,0.085000,0.085000,994.742000
Q067,aggregation,1,1,49.019000,49.019000,49.019000,49.019000,0.240000,0.240000,49.259000
Q068,weak_owner,1,1,79.306000,79.306000,79.306000,79.306000,0.207000,0.207000,79.513000
Q069,complex_multi_join,1,1,6962.024000,6962.024000,6962.024000,6962.024000,0.458000,0.458000,6962.482000
Q070,aggregation,1,1,1653.057000,1653.057000,1653.057000,1653.057000,0.257000,0.257000,1653.314000
Q071,weak_owner,1,1,1.248000,1.248000,1.248000,1.248000,0.091000,0.091000,1.339000
Q072,weak_owner,1,1,125.455000,125.455000,125.455000,125.455000,0.276000,0.276000,125.731000
Q073,selection_projection,1,1,7.078000,7.078000,7.078000,7.078000,0.062000,0.062000,7.140000
Q074,weak_owner,1,1,190.824000,190.824000,190.824000,190.824000,0.173000,0.173000,190.997000
Q075,aggregation,1,1,38.696000,38.696000,38.696000,38.696000,0.224000,0.224000,38.920000
Q076,relationship_join,1,1,175.729000,175.729000,175.729000,175.729000,0.246000,0.246000,175.975000
Q077,selection_projection,1,1,2.999000,2.999000,2.999000,2.999000,0.046000,0.046000,3.045000
Q078,complex_multi_join,1,1,2774.425000,2774.425000,2774.425000,2774.425000,0.525000,0.525000,2774.950000
Q079,weak_owner,1,1,9.094000,9.094000,9.094000,9.094000,0.151000,0.151000,9.245000
Q080,relationship_join,1,1,2265.029000,2265.029000,2265.029000,2265.029000,0.266000,0.266000,2265.295000
Q081,relationship_join,1,1,73.647000,73.647000,73.647000,73.647000,0.195000,0.195000,73.842000
Q082,selection_projection,1,1,1006.241000,1006.241000,1006.241000,1006.241000,0.067000,0.067000,1006.308000
Q083,selection_projection,1,1,6.956000,6.956000,6.956000,6.956000,0.060000,0.060000,7.016000
Q084,weak_owner,1,1,132.498000,132.498000,132.498000,132.498000,0.153000,0.153000,132.651000
Q085,complex_multi_join,1,1,1448.103000,1448.103000,1448.103000,1448.103000,0.595000,0.595000,1448.698000
Q086,selection_projection,1,1,896.845000,896.845000,896.845000,896.845000,0.150000,0.150000,896.995000
Q087,selection_projection,1,1,155.632000,155.632000,155.632000,155.632000,0.163000,0.163000,155.795000
Q088,weak_owner,1,1,4.740000,4.740000,4.740000,4.740000,0.158000,0.158000,4.898000
Q089,selection_projection,1,1,1058.345000,1058.345000,1058.345000,1058.345000,0.027000,0.027000,1058.372000
Q090,relationship_join,1,1,8520.552000,8520.552000,8520.552000,8520.552000,0.225000,0.225000,8520.777000
Q091,complex_multi_join,1,1,5675.132000,5675.132000,5675.132000,5675.132000,0.518000,0.518000,5675.650000
Q092,relationship_join,1,1,2238.869000,2238.869000,2238.869000,2238.869000,0.189000,0.189000,2239.058000
Q093,aggregation,1,1,1.363000,1.363000,1.363000,1.363000,0.436000,0.436000,1.799000
Q094,weak_owner,1,1,14.979000,14.979000,14.979000,14.979000,0.180000,0.180000,15.159000
Q095,selection_projection,1,1,57.083000,57.083000,57.083000,57.083000,0.063000,0.063000,57.146000
Q096,aggregation,1,1,65.328000,65.328000,65.328000,65.328000,0.234000,0.234000,65.562000
Q097,complex_multi_join,1,1,45620.373000,45620.373000,45620.373000,45620.373000,0.667000,0.667000,45621.040000
Q098,selection_projection,1,1,166.614000,166.614000,166.614000,166.614000,0.080000,0.080000,166.694000
Q099,selection_projection,1,1,1160.210000,1160.210000,1160.210000,1160.210000,0.066000,0.066000,1160.276000
Q100,weak_owner,1,1,7.828000,7.828000,7.828000,7.828000,0.159000,0.159000,7.987000
