query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,44.711000,44.711000,44.711000,44.711000,0.275000,0.275000,44.986000
Q002,weak_owner,1,1,485.872000,485.872000,485.872000,485.872000,0.461000,0.461000,486.333000
Q003,complex_multi_join,1,1,22.518000,22.518000,22.518000,22.518000,0.712000,0.712000,23.230000
Q004,aggregation,1,1,29.061000,29.061000,29.061000,29.061000,0.297000,0.297000,29.358000
Q005,aggregation,1,1,14.395000,14.395000,14.395000,14.395000,0.220000,0.220000,14.615000
Q006,weak_owner,1,1,96.720000,96.720000,96.720000,96.720000,0.342000,0.342000,97.062000
Q007,complex_multi_join,1,1,740.079000,740.079000,740.079000,740.079000,0.467000,0.467000,740.546000
Q008,aggregation,1,1,63.173000,63.173000,63.173000,63.173000,0.401000,0.401000,63.574000
Q009,weak_owner,1,1,51.532000,51.532000,51.532000,51.532000,0.170000,0.170000,51.702000
Q010,relationship_join,1,1,141.081000,141.081000,141.081000,141.081000,0.215000,0.215000,141.296000
Q011,relationship_join,1,1,57.837000,57.837000,57.837000,57.837000,2.308000,2.308000,60.145000
Q012,complex_multi_join,1,1,2.918000,2.918000,2.918000,2.918000,1.072000,1.072000,3.990000
Q013,relationship_join,1,1,2170.686000,2170.686000,2170.686000,2170.686000,0.459000,0.459000,2171.145000
Q014,aggregation,1,1,81.277000,81.277000,81.277000,81.277000,15.297000,15.297000,96.574000
Q015,complex_multi_join,1,1,47.297000,47.297000,47.297000,47.297000,17.533000,17.533000,64.830000
Q016,selection_projection,1,1,1260.229000,1260.229000,1260.229000,1260.229000,0.211000,0.211000,1260.440000
Q017,relationship_join,1,1,73.641000,73.641000,73.641000,73.641000,0.162000,0.162000,73.803000
Q018,complex_multi_join,1,1,135.901000,135.901000,135.901000,135.901000,0.716000,0.716000,136.617000
Q019,complex_multi_join,1,1,1954.760000,1954.760000,1954.760000,1954.760000,0.582000,0.582000,1955.342000
Q020,selection_projection,1,1,648.374000,648.374000,648.374000,648.374000,0.284000,0.284000,648.658000
Q021,selection_projection,1,1,198.088000,198.088000,198.088000,198.088000,0.088000,0.088000,198.176000
Q022,weak_owner,1,1,1409.520000,1409.520000,1409.520000,1409.520000,0.202000,0.202000,1409.722000
Q023,aggregation,1,1,5952.273000,5952.273000,5952.273000,5952.273000,0.776000,0.776000,5953.049000
Q024,relationship_join,1,1,31.698000,31.698000,31.698000,31.698000,0.956000,0.956000,32.654000
Q025,relationship_join,1,1,333.534000,333.534000,333.534000,333.534000,0.212000,0.212000,333.746000
Q026,weak_owner,1,1,41.356000,41.356000,41.356000,41.356000,0.088000,0.088000,41.444000
Q027,aggregation,1,1,3358.834000,3358.834000,3358.834000,3358.834000,0.356000,0.356000,3359.190000
Q028,weak_owner,1,1,31.071000,31.071000,31.071000,31.071000,0.115000,0.115000,31.186000
Q029,selection_projection,1,1,9.402000,9.402000,9.402000,9.402000,0.031000,0.031000,9.433000
Q030,selection_projection,1,1,96.376000,96.376000,96.376000,96.376000,0.069000,0.069000,96.445000
Q031,selection_projection,1,1,2520.125000,2520.125000,2520.125000,2520.125000,0.112000,0.112000,2520.237000
Q032,weak_owner,1,1,40.062000,40.062000,40.062000,40.062000,26.313000,26.313000,66.375000
Q033,selection_projection,1,1,8.980000,8.980000,8.980000,8.980000,0.109000,0.109000,9.089000
Q034,selection_projection,1,1,14.869000,14.869000,14.869000,14.869000,0.049000,0.049000,14.918000
Q035,aggregation,1,1,154.506000,154.506000,154.506000,154.506000,0.234000,0.234000,154.740000
Q036,selection_projection,1,1,12.563000,12.563000,12.563000,12.563000,0.042000,0.042000,12.605000
Q037,selection_projection,1,1,131.536000,131.536000,131.536000,131.536000,0.156000,0.156000,131.692000
Q038,selection_projection,1,1,146.534000,146.534000,146.534000,146.534000,0.091000,0.091000,146.625000
Q039,aggregation,1,1,2963.417000,2963.417000,2963.417000,2963.417000,0.465000,0.465000,2963.882000
Q040,weak_owner,1,1,89.265000,89.265000,89.265000,89.265000,0.378000,0.378000,89.643000
Q041,selection_projection,1,1,39.005000,39.005000,39.005000,39.005000,0.067000,0.067000,39.072000
Q042,weak_owner,1,1,31.613000,31.613000,31.613000,31.613000,0.141000,0.141000,31.754000
Q043,complex_multi_join,1,1,165.506000,165.506000,165.506000,165.506000,25.418000,25.418000,190.924000
Q044,weak_owner,1,1,1.815000,1.815000,1.815000,1.815000,0.058000,0.058000,1.873000
Q045,relationship_join,1,1,3290.471000,3290.471000,3290.471000,3290.471000,0.302000,0.302000,3290.773000
Q046,relationship_join,1,1,41.521000,41.521000,41.521000,41.521000,26.058000,26.058000,67.579000
Q047,selection_projection,1,1,1883.716000,1883.716000,1883.716000,1883.716000,0.386000,0.386000,1884.102000
Q048,relationship_join,1,1,89.962000,89.962000,89.962000,89.962000,0.208000,0.208000,90.170000
Q049,relationship_join,1,1,304.343000,304.343000,304.343000,304.343000,0.258000,0.258000,304.601000
Q050,selection_projection,1,1,7.829000,7.829000,7.829000,7.829000,0.059000,0.059000,7.888000
Q051,selection_projection,1,1,31.831000,31.831000,31.831000,31.831000,0.044000,0.044000,31.875000
Q052,complex_multi_join,1,1,1964.011000,1964.011000,1964.011000,1964.011000,0.689000,0.689000,1964.700000
Q053,aggregation,1,1,483.182000,483.182000,483.182000,483.182000,0.250000,0.250000,483.432000
Q054,complex_multi_join,1,1,4947.375000,4947.375000,4947.375000,4947.375000,0.703000,0.703000,4948.078000
Q055,aggregation,1,1,13.802000,13.802000,13.802000,13.802000,0.277000,0.277000,14.079000
Q056,selection_projection,1,1,1374.185000,1374.185000,1374.185000,1374.185000,0.165000,0.165000,1374.350000
Q057,relationship_join,1,1,74.787000,74.787000,74.787000,74.787000,25.769000,25.769000,100.556000
Q058,relationship_join,1,1,2051.033000,2051.033000,2051.033000,2051.033000,0.425000,0.425000,2051.458000
Q059,relationship_join,1,1,136.264000,136.264000,136.264000,136.264000,0.184000,0.184000,136.448000
Q060,selection_projection,1,1,107.420000,107.420000,107.420000,107.420000,0.065000,0.065000,107.485000
Q061,complex_multi_join,1,1,638.697000,638.697000,638.697000,638.697000,0.756000,0.756000,639.453000
Q062,weak_owner,1,1,4.664000,4.664000,4.664000,4.664000,0.066000,0.066000,4.730000
Q063,relationship_join,1,1,3529.140000,3529.140000,3529.140000,3529.140000,0.368000,0.368000,3529.508000
Q064,selection_projection,1,1,2054.325000,2054.325000,2054.325000,2054.325000,0.231000,0.231000,2054.556000
Q065,relationship_join,1,1,31.198000,31.198000,31.198000,31.198000,0.199000,0.199000,31.397000
Q066,selection_projection,1,1,7.295000,7.295000,7.295000,7.295000,0.037000,0.037000,7.332000
Q067,aggregation,1,1,109.900000,109.900000,109.900000,109.900000,0.217000,0.217000,110.117000
Q068,weak_owner,1,1,115.869000,115.869000,115.869000,115.869000,0.116000,0.116000,115.985000
Q069,complex_multi_join,1,1,26.048000,26.048000,26.048000,26.048000,0.474000,0.474000,26.522000
Q070,aggregation,1,1,36.310000,36.310000,36.310000,36.310000,0.203000,0.203000,36.513000
Q071,weak_owner,1,1,3.179000,3.179000,3.179000,3.179000,0.062000,0.062000,3.241000
Q072,weak_owner,1,1,3.927000,3.927000,3.927000,3.927000,0.033000,0.033000,3.960000
Q073,selection_projection,1,1,198.598000,198.598000,198.598000,198.598000,0.080000,0.080000,198.678000
