query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1431.423000,1431.423000,1431.423000,1431.423000,0.855000,0.855000,1432.278000
Q002,weak_owner,1,1,211.577000,211.577000,211.577000,211.577000,9.586000,9.586000,221.163000
Q003,complex_multi_join,1,1,20.858000,20.858000,20.858000,20.858000,0.614000,0.614000,21.472000
Q004,aggregation,1,1,12.022000,12.022000,12.022000,12.022000,0.337000,0.337000,12.359000
Q005,aggregation,1,1,12.216000,12.216000,12.216000,12.216000,0.250000,0.250000,12.466000
Q006,weak_owner,1,1,164.920000,164.920000,164.920000,164.920000,0.189000,0.189000,165.109000
Q007,complex_multi_join,1,1,320.872000,320.872000,320.872000,320.872000,0.466000,0.466000,321.338000
Q008,aggregation,1,1,1956.844000,1956.844000,1956.844000,1956.844000,8.759000,8.759000,1965.603000
Q009,weak_owner,1,1,206.830000,206.830000,206.830000,206.830000,9.387000,9.387000,216.217000
Q010,relationship_join,1,1,244.025000,244.025000,244.025000,244.025000,0.153000,0.153000,244.178000
Q011,relationship_join,1,1,63.861000,63.861000,63.861000,63.861000,0.472000,0.472000,64.333000
Q012,complex_multi_join,1,1,11.231000,11.231000,11.231000,11.231000,0.587000,0.587000,11.818000
Q013,relationship_join,1,1,3406.953000,3406.953000,3406.953000,3406.953000,1.688000,1.688000,3408.641000
Q014,aggregation,1,1,103.440000,103.440000,103.440000,103.440000,0.258000,0.258000,103.698000
Q015,complex_multi_join,1,1,402.314000,402.314000,402.314000,402.314000,1.224000,1.224000,403.538000
Q016,selection_projection,1,1,1276.434000,1276.434000,1276.434000,1276.434000,0.083000,0.083000,1276.517000
Q017,relationship_join,1,1,2066.924000,2066.924000,2066.924000,2066.924000,0.190000,0.190000,2067.114000
Q018,complex_multi_join,1,1,231.309000,231.309000,231.309000,231.309000,0.778000,0.778000,232.087000
Q019,complex_multi_join,1,1,242.329000,242.329000,242.329000,242.329000,0.405000,0.405000,242.734000
Q020,selection_projection,1,1,1304.652000,1304.652000,1304.652000,1304.652000,0.059000,0.059000,1304.711000
Q021,selection_projection,1,1,1346.604000,1346.604000,1346.604000,1346.604000,0.080000,0.080000,1346.684000
Q022,weak_owner,1,1,81.067000,81.067000,81.067000,81.067000,9.645000,9.645000,90.712000
Q023,aggregation,1,1,6682.309000,6682.309000,6682.309000,6682.309000,2.256000,2.256000,6684.565000
Q024,relationship_join,1,1,14.781000,14.781000,14.781000,14.781000,0.213000,0.213000,14.994000
Q025,relationship_join,1,1,2284.817000,2284.817000,2284.817000,2284.817000,0.220000,0.220000,2285.037000
Q026,weak_owner,1,1,8.190000,8.190000,8.190000,8.190000,0.105000,0.105000,8.295000
Q027,aggregation,1,1,1832.575000,1832.575000,1832.575000,1832.575000,0.209000,0.209000,1832.784000
Q028,weak_owner,1,1,4.485000,4.485000,4.485000,4.485000,0.127000,0.127000,4.612000
Q029,selection_projection,1,1,11.978000,11.978000,11.978000,11.978000,0.023000,0.023000,12.001000
Q030,selection_projection,1,1,1786.466000,1786.466000,1786.466000,1786.466000,0.082000,0.082000,1786.548000
Q031,selection_projection,1,1,3208.187000,3208.187000,3208.187000,3208.187000,0.102000,0.102000,3208.289000
Q032,weak_owner,1,1,40.559000,40.559000,40.559000,40.559000,0.236000,0.236000,40.795000
Q033,selection_projection,1,1,8.246000,8.246000,8.246000,8.246000,0.116000,0.116000,8.362000
Q034,selection_projection,1,1,2105.841000,2105.841000,2105.841000,2105.841000,0.055000,0.055000,2105.896000
Q035,aggregation,1,1,104.558000,104.558000,104.558000,104.558000,0.301000,0.301000,104.859000
Q036,selection_projection,1,1,1013.421000,1013.421000,1013.421000,1013.421000,0.049000,0.049000,1013.470000
Q037,selection_projection,1,1,1861.576000,1861.576000,1861.576000,1861.576000,0.075000,0.075000,1861.651000
Q038,selection_projection,1,1,1553.792000,1553.792000,1553.792000,1553.792000,0.106000,0.106000,1553.898000
Q039,aggregation,1,1,241.443000,241.443000,241.443000,241.443000,10.420000,10.420000,251.863000
Q040,weak_owner,1,1,205.294000,205.294000,205.294000,205.294000,0.205000,0.205000,205.499000
Q041,selection_projection,1,1,1213.746000,1213.746000,1213.746000,1213.746000,0.067000,0.067000,1213.813000
Q042,weak_owner,1,1,164.042000,164.042000,164.042000,164.042000,0.158000,0.158000,164.200000
Q043,complex_multi_join,1,1,310.470000,310.470000,310.470000,310.470000,0.415000,0.415000,310.885000
Q044,weak_owner,1,1,2.114000,2.114000,2.114000,2.114000,0.063000,0.063000,2.177000
Q045,relationship_join,1,1,1746.464000,1746.464000,1746.464000,1746.464000,0.165000,0.165000,1746.629000
Q046,relationship_join,1,1,114.512000,114.512000,114.512000,114.512000,10.428000,10.428000,124.940000
Q047,selection_projection,1,1,1965.411000,1965.411000,1965.411000,1965.411000,0.077000,0.077000,1965.488000
Q048,relationship_join,1,1,100.832000,100.832000,100.832000,100.832000,0.216000,0.216000,101.048000
Q049,relationship_join,1,1,2008.943000,2008.943000,2008.943000,2008.943000,0.237000,0.237000,2009.180000
Q050,selection_projection,1,1,1052.514000,1052.514000,1052.514000,1052.514000,0.066000,0.066000,1052.580000
Q051,selection_projection,1,1,154.426000,154.426000,154.426000,154.426000,0.084000,0.084000,154.510000
Q052,complex_multi_join,1,1,220.174000,220.174000,220.174000,220.174000,0.474000,0.474000,220.648000
Q053,aggregation,1,1,2352.833000,2352.833000,2352.833000,2352.833000,0.229000,0.229000,2353.062000
Q054,complex_multi_join,1,1,175.392000,175.392000,175.392000,175.392000,0.565000,0.565000,175.957000
Q055,aggregation,1,1,14.757000,14.757000,14.757000,14.757000,0.240000,0.240000,14.997000
Q056,selection_projection,1,1,1418.789000,1418.789000,1418.789000,1418.789000,0.076000,0.076000,1418.865000
Q057,relationship_join,1,1,33639.379000,33639.379000,33639.379000,33639.379000,9.131000,9.131000,33648.510000
