query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,1899.704000,1899.704000,1899.704000,1899.704000,42.689000,42.689000,1942.393000
Q002,weak_owner,1,1,254.967000,254.967000,254.967000,254.967000,1.573000,1.573000,256.540000
Q003,complex_multi_join,1,1,24.657000,24.657000,24.657000,24.657000,43.853000,43.853000,68.510000
Q004,aggregation,1,1,10.341000,10.341000,10.341000,10.341000,0.595000,0.595000,10.936000
Q005,aggregation,1,1,11.096000,11.096000,11.096000,11.096000,0.183000,0.183000,11.279000
Q006,weak_owner,1,1,132.437000,132.437000,132.437000,132.437000,0.593000,0.593000,133.030000
Q007,complex_multi_join,1,1,372.642000,372.642000,372.642000,372.642000,0.445000,0.445000,373.087000
Q008,aggregation,1,1,65.398000,65.398000,65.398000,65.398000,1.015000,1.015000,66.413000
Q009,weak_owner,1,1,27.805000,27.805000,27.805000,27.805000,0.149000,0.149000,27.954000
Q010,relationship_join,1,1,166.195000,166.195000,166.195000,166.195000,0.145000,0.145000,166.340000
Q011,relationship_join,1,1,56.238000,56.238000,56.238000,56.238000,0.947000,0.947000,57.185000
Q012,complex_multi_join,1,1,2.977000,2.977000,2.977000,2.977000,0.531000,0.531000,3.508000
Q013,relationship_join,1,1,2288.011000,2288.011000,2288.011000,2288.011000,35.783000,35.783000,2323.794000
Q014,aggregation,1,1,136.690000,136.690000,136.690000,136.690000,0.441000,0.441000,137.131000
Q015,complex_multi_join,1,1,301.493000,301.493000,301.493000,301.493000,17.323000,17.323000,318.816000
Q016,selection_projection,1,1,1320.383000,1320.383000,1320.383000,1320.383000,0.086000,0.086000,1320.469000
Q017,relationship_join,1,1,96.443000,96.443000,96.443000,96.443000,0.390000,0.390000,96.833000
Q018,complex_multi_join,1,1,237.379000,237.379000,237.379000,237.379000,1.245000,1.245000,238.624000
Q019,complex_multi_join,1,1,258.040000,258.040000,258.040000,258.040000,0.477000,0.477000,258.517000
Q020,selection_projection,1,1,1227.046000,1227.046000,1227.046000,1227.046000,0.066000,0.066000,1227.112000
Q021,selection_projection,1,1,1283.762000,1283.762000,1283.762000,1283.762000,0.072000,0.072000,1283.834000
Q022,weak_owner,1,1,87.383000,87.383000,87.383000,87.383000,41.261000,41.261000,128.644000
Q023,aggregation,1,1,6463.315000,6463.315000,6463.315000,6463.315000,33.658000,33.658000,6496.973000
Q024,relationship_join,1,1,15.844000,15.844000,15.844000,15.844000,0.216000,0.216000,16.060000
Q025,relationship_join,1,1,2433.529000,2433.529000,2433.529000,2433.529000,41.763000,41.763000,2475.292000
Q026,weak_owner,1,1,9.792000,9.792000,9.792000,9.792000,0.171000,0.171000,9.963000
Q027,aggregation,1,1,3014.972000,3014.972000,3014.972000,3014.972000,0.186000,0.186000,3015.158000
Q028,weak_owner,1,1,8.615000,8.615000,8.615000,8.615000,41.212000,41.212000,49.827000
Q029,selection_projection,1,1,10.854000,10.854000,10.854000,10.854000,0.032000,0.032000,10.886000
Q030,selection_projection,1,1,1941.968000,1941.968000,1941.968000,1941.968000,0.141000,0.141000,1942.109000
Q031,selection_projection,1,1,3184.772000,3184.772000,3184.772000,3184.772000,0.148000,0.148000,3184.920000
Q032,weak_owner,1,1,40.651000,40.651000,40.651000,40.651000,42.861000,42.861000,83.512000
Q033,selection_projection,1,1,7.783000,7.783000,7.783000,7.783000,0.398000,0.398000,8.181000
Q034,selection_projection,1,1,2434.455000,2434.455000,2434.455000,2434.455000,0.141000,0.141000,2434.596000
Q035,aggregation,1,1,184.527000,184.527000,184.527000,184.527000,0.399000,0.399000,184.926000
Q036,selection_projection,1,1,111.617000,111.617000,111.617000,111.617000,0.125000,0.125000,111.742000
Q037,selection_projection,1,1,1851.900000,1851.900000,1851.900000,1851.900000,0.099000,0.099000,1851.999000
Q038,selection_projection,1,1,1622.424000,1622.424000,1622.424000,1622.424000,0.092000,0.092000,1622.516000
Q039,aggregation,1,1,246.592000,246.592000,246.592000,246.592000,0.249000,0.249000,246.841000
Q040,weak_owner,1,1,198.953000,198.953000,198.953000,198.953000,20.909000,20.909000,219.862000
Q041,selection_projection,1,1,2493.620000,2493.620000,2493.620000,2493.620000,0.137000,0.137000,2493.757000
Q042,weak_owner,1,1,120.387000,120.387000,120.387000,120.387000,0.160000,0.160000,120.547000
Q043,complex_multi_join,1,1,394.271000,394.271000,394.271000,394.271000,0.434000,0.434000,394.705000
Q044,weak_owner,1,1,6.060000,6.060000,6.060000,6.060000,0.145000,0.145000,6.205000
Q045,relationship_join,1,1,2955.736000,2955.736000,2955.736000,2955.736000,0.170000,0.170000,2955.906000
Q046,relationship_join,1,1,30.334000,30.334000,30.334000,30.334000,0.431000,0.431000,30.765000
Q047,selection_projection,1,1,2016.139000,2016.139000,2016.139000,2016.139000,0.074000,0.074000,2016.213000
Q048,relationship_join,1,1,146.147000,146.147000,146.147000,146.147000,0.212000,0.212000,146.359000
Q049,relationship_join,1,1,2092.782000,2092.782000,2092.782000,2092.782000,0.495000,0.495000,2093.277000
Q050,selection_projection,1,1,99.291000,99.291000,99.291000,99.291000,0.152000,0.152000,99.443000
Q051,selection_projection,1,1,48.955000,48.955000,48.955000,48.955000,0.067000,0.067000,49.022000
Q052,complex_multi_join,1,1,247.477000,247.477000,247.477000,247.477000,0.390000,0.390000,247.867000
Q053,aggregation,1,1,2513.742000,2513.742000,2513.742000,2513.742000,0.819000,0.819000,2514.561000
Q054,complex_multi_join,1,1,172.204000,172.204000,172.204000,172.204000,0.514000,0.514000,172.718000
Q055,aggregation,1,1,14.764000,14.764000,14.764000,14.764000,0.248000,0.248000,15.012000
Q056,selection_projection,1,1,1384.519000,1384.519000,1384.519000,1384.519000,0.047000,0.047000,1384.566000
Q057,relationship_join,1,1,1068.405000,1068.405000,1068.405000,1068.405000,41.415000,41.415000,1109.820000
Q058,relationship_join,1,1,235.644000,235.644000,235.644000,235.644000,0.273000,0.273000,235.917000
Q059,relationship_join,1,1,165.033000,165.033000,165.033000,165.033000,0.172000,0.172000,165.205000
Q060,selection_projection,1,1,1243.530000,1243.530000,1243.530000,1243.530000,0.055000,0.055000,1243.585000
Q061,complex_multi_join,1,1,147.663000,147.663000,147.663000,147.663000,0.656000,0.656000,148.319000
Q062,weak_owner,1,1,6.745000,6.745000,6.745000,6.745000,0.153000,0.153000,6.898000
Q063,relationship_join,1,1,2907.313000,2907.313000,2907.313000,2907.313000,0.186000,0.186000,2907.499000
Q064,selection_projection,1,1,2164.407000,2164.407000,2164.407000,2164.407000,0.070000,0.070000,2164.477000
Q065,relationship_join,1,1,37.951000,37.951000,37.951000,37.951000,0.245000,0.245000,38.196000
Q066,selection_projection,1,1,125.330000,125.330000,125.330000,125.330000,0.121000,0.121000,125.451000
Q067,aggregation,1,1,174.915000,174.915000,174.915000,174.915000,0.281000,0.281000,175.196000
Q068,weak_owner,1,1,224.414000,224.414000,224.414000,224.414000,0.303000,0.303000,224.717000
Q069,complex_multi_join,1,1,223.163000,223.163000,223.163000,223.163000,2.555000,2.555000,225.718000
Q070,aggregation,1,1,161.768000,161.768000,161.768000,161.768000,0.972000,0.972000,162.740000
Q071,weak_owner,1,1,3.138000,3.138000,3.138000,3.138000,0.061000,0.061000,3.199000
Q072,weak_owner,1,1,4.157000,4.157000,4.157000,4.157000,0.031000,0.031000,4.188000
Q073,selection_projection,1,1,1409.994000,1409.994000,1409.994000,1409.994000,0.040000,0.040000,1410.034000
Q074,weak_owner,1,1,8.218000,8.218000,8.218000,8.218000,0.156000,0.156000,8.374000
Q075,aggregation,1,1,15.161000,15.161000,15.161000,15.161000,0.217000,0.217000,15.378000
Q076,relationship_join,1,1,2357.548000,2357.548000,2357.548000,2357.548000,0.339000,0.339000,2357.887000
Q077,selection_projection,1,1,1253.776000,1253.776000,1253.776000,1253.776000,0.125000,0.125000,1253.901000
Q078,complex_multi_join,1,1,110.273000,110.273000,110.273000,110.273000,0.523000,0.523000,110.796000
Q079,weak_owner,1,1,100.761000,100.761000,100.761000,100.761000,0.169000,0.169000,100.930000
Q080,relationship_join,1,1,59.994000,59.994000,59.994000,59.994000,0.347000,0.347000,60.341000
Q081,relationship_join,1,1,16.915000,16.915000,16.915000,16.915000,0.403000,0.403000,17.318000
Q082,selection_projection,1,1,2046.382000,2046.382000,2046.382000,2046.382000,0.176000,0.176000,2046.558000
Q083,selection_projection,1,1,130.342000,130.342000,130.342000,130.342000,0.167000,0.167000,130.509000
Q084,weak_owner,1,1,151.550000,151.550000,151.550000,151.550000,0.128000,0.128000,151.678000
Q085,complex_multi_join,1,1,206.027000,206.027000,206.027000,206.027000,0.505000,0.505000,206.532000
Q086,selection_projection,1,1,1570.187000,1570.187000,1570.187000,1570.187000,0.223000,0.223000,1570.410000
Q087,selection_projection,1,1,1116.174000,1116.174000,1116.174000,1116.174000,0.050000,0.050000,1116.224000
Q088,weak_owner,1,1,7.241000,7.241000,7.241000,7.241000,24.356000,24.356000,31.597000
Q089,selection_projection,1,1,26.831000,26.831000,26.831000,26.831000,0.087000,0.087000,26.918000
Q090,relationship_join,1,1,35816.791000,35816.791000,35816.791000,35816.791000,0.236000,0.236000,35817.027000
Q091,complex_multi_join,1,1,1250.074000,1250.074000,1250.074000,1250.074000,0.551000,0.551000,1250.625000
Q092,relationship_join,1,1,12.473000,12.473000,12.473000,12.473000,0.195000,0.195000,12.668000
Q093,aggregation,1,1,11.330000,11.330000,11.330000,11.330000,0.235000,0.235000,11.565000
Q094,weak_owner,1,1,24.097000,24.097000,24.097000,24.097000,0.795000,0.795000,24.892000
