query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,4923.094000,4923.094000,4923.094000,4923.094000,0.255000,0.255000,4923.349000
Q002,selection_projection,1,1,536.233000,536.233000,536.233000,536.233000,0.129000,0.129000,536.362000
Q003,selection_projection,1,1,1146.791000,1146.791000,1146.791000,1146.791000,0.054000,0.054000,1146.845000
Q004,selection_projection,1,1,909.227000,909.227000,909.227000,909.227000,0.057000,0.057000,909.284000
Q005,selection_projection,1,1,1173.696000,1173.696000,1173.696000,1173.696000,0.079000,0.079000,1173.775000
Q006,selection_projection,1,1,166.272000,166.272000,166.272000,166.272000,0.065000,0.065000,166.337000
Q007,selection_projection,1,1,147.385000,147.385000,147.385000,147.385000,0.041000,0.041000,147.426000
Q008,selection_projection,1,1,163.780000,163.780000,163.780000,163.780000,0.066000,0.066000,163.846000
Q009,selection_projection,1,1,1910.219000,1910.219000,1910.219000,1910.219000,0.076000,0.076000,1910.295000
Q010,selection_projection,1,1,1479.455000,1479.455000,1479.455000,1479.455000,0.100000,0.100000,1479.555000
Q011,selection_projection,1,1,1537.880000,1537.880000,1537.880000,1537.880000,0.045000,0.045000,1537.925000
Q012,selection_projection,1,1,931.301000,931.301000,931.301000,931.301000,0.052000,0.052000,931.353000
Q013,selection_projection,1,1,984.868000,984.868000,984.868000,984.868000,0.048000,0.048000,984.916000
Q014,selection_projection,1,1,1303.262000,1303.262000,1303.262000,1303.262000,0.102000,0.102000,1303.364000
Q015,selection_projection,1,1,1070.954000,1070.954000,1070.954000,1070.954000,0.059000,0.059000,1071.013000
Q016,selection_projection,1,1,1491.068000,1491.068000,1491.068000,1491.068000,0.062000,0.062000,1491.130000
Q017,selection_projection,1,1,1861.665000,1861.665000,1861.665000,1861.665000,0.096000,0.096000,1861.761000
Q018,selection_projection,1,1,1071.483000,1071.483000,1071.483000,1071.483000,0.058000,0.058000,1071.541000
Q019,selection_projection,1,1,1363.710000,1363.710000,1363.710000,1363.710000,0.059000,0.059000,1363.769000
Q020,selection_projection,1,1,878.071000,878.071000,878.071000,878.071000,0.054000,0.054000,878.125000
Q021,selection_projection,1,1,846.603000,846.603000,846.603000,846.603000,0.045000,0.045000,846.648000
Q022,selection_projection,1,1,1348.104000,1348.104000,1348.104000,1348.104000,0.061000,0.061000,1348.165000
Q023,selection_projection,1,1,1006.500000,1006.500000,1006.500000,1006.500000,0.072000,0.072000,1006.572000
Q024,selection_projection,1,1,997.005000,997.005000,997.005000,997.005000,0.074000,0.074000,997.079000
Q025,selection_projection,1,1,2121.241000,2121.241000,2121.241000,2121.241000,0.078000,0.078000,2121.319000
Q026,selection_projection,1,1,2333.354000,2333.354000,2333.354000,2333.354000,0.074000,0.074000,2333.428000
Q027,selection_projection,1,1,958.884000,958.884000,958.884000,958.884000,0.061000,0.061000,958.945000
Q028,selection_projection,1,1,1418.211000,1418.211000,1418.211000,1418.211000,0.061000,0.061000,1418.272000
Q029,selection_projection,1,1,2038.630000,2038.630000,2038.630000,2038.630000,0.057000,0.057000,2038.687000
