query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,128.024000,128.024000,128.024000,128.024000,0.407000,0.407000,128.431000
Q002,selection_projection,1,1,101.001000,101.001000,101.001000,101.001000,0.239000,0.239000,101.240000
Q003,selection_projection,1,1,107.609000,107.609000,107.609000,107.609000,0.077000,0.077000,107.686000
Q004,selection_projection,1,1,1.648000,1.648000,1.648000,1.648000,0.145000,0.145000,1.793000
Q005,selection_projection,1,1,122.497000,122.497000,122.497000,122.497000,0.127000,0.127000,122.624000
Q006,selection_projection,1,1,24.523000,24.523000,24.523000,24.523000,0.114000,0.114000,24.637000
Q007,selection_projection,1,1,90.755000,90.755000,90.755000,90.755000,0.040000,0.040000,90.795000
Q008,selection_projection,1,1,21.068000,21.068000,21.068000,21.068000,0.074000,0.074000,21.142000
Q009,selection_projection,1,1,27.895000,27.895000,27.895000,27.895000,0.097000,0.097000,27.992000
Q010,selection_projection,1,1,115.746000,115.746000,115.746000,115.746000,0.082000,0.082000,115.828000
Q011,selection_projection,1,1,455.123000,455.123000,455.123000,455.123000,0.374000,0.374000,455.497000
Q012,selection_projection,1,1,72.043000,72.043000,72.043000,72.043000,0.089000,0.089000,72.132000
Q013,selection_projection,1,1,9.160000,9.160000,9.160000,9.160000,0.062000,0.062000,9.222000
Q014,selection_projection,1,1,2624.001000,2624.001000,2624.001000,2624.001000,0.774000,0.774000,2624.775000
Q015,selection_projection,1,1,26.609000,26.609000,26.609000,26.609000,32.393000,32.393000,59.002000
Q016,selection_projection,1,1,48.416000,48.416000,48.416000,48.416000,0.121000,0.121000,48.537000
Q017,selection_projection,1,1,18.676000,18.676000,18.676000,18.676000,0.106000,0.106000,18.782000
Q018,selection_projection,1,1,1.948000,1.948000,1.948000,1.948000,0.064000,0.064000,2.012000
Q019,selection_projection,1,1,36.697000,36.697000,36.697000,36.697000,0.550000,0.550000,37.247000
Q020,selection_projection,1,1,8.131000,8.131000,8.131000,8.131000,0.040000,0.040000,8.171000
Q021,selection_projection,1,1,1.927000,1.927000,1.927000,1.927000,0.033000,0.033000,1.960000
Q022,selection_projection,1,1,10.043000,10.043000,10.043000,10.043000,0.073000,0.073000,10.116000
Q023,selection_projection,1,1,20.723000,20.723000,20.723000,20.723000,0.045000,0.045000,20.768000
Q024,selection_projection,1,1,428.088000,428.088000,428.088000,428.088000,0.069000,0.069000,428.157000
Q025,selection_projection,1,1,624.198000,624.198000,624.198000,624.198000,0.071000,0.071000,624.269000
Q026,selection_projection,1,1,644.509000,644.509000,644.509000,644.509000,0.110000,0.110000,644.619000
Q027,selection_projection,1,1,6.633000,6.633000,6.633000,6.633000,0.072000,0.072000,6.705000
Q028,selection_projection,1,1,69.066000,69.066000,69.066000,69.066000,0.070000,0.070000,69.136000
Q029,selection_projection,1,1,13.129000,13.129000,13.129000,13.129000,0.051000,0.051000,13.180000
Q030,selection_projection,1,1,117.606000,117.606000,117.606000,117.606000,0.177000,0.177000,117.783000
Q031,selection_projection,1,1,25.810000,25.810000,25.810000,25.810000,0.075000,0.075000,25.885000
Q032,selection_projection,1,1,189.753000,189.753000,189.753000,189.753000,0.055000,0.055000,189.808000
Q033,selection_projection,1,1,62.493000,62.493000,62.493000,62.493000,0.054000,0.054000,62.547000
Q034,selection_projection,1,1,301.542000,301.542000,301.542000,301.542000,0.042000,0.042000,301.584000
Q035,selection_projection,1,1,54.653000,54.653000,54.653000,54.653000,0.053000,0.053000,54.706000
Q036,selection_projection,1,1,159.441000,159.441000,159.441000,159.441000,0.072000,0.072000,159.513000
Q037,selection_projection,1,1,115.083000,115.083000,115.083000,115.083000,0.061000,0.061000,115.144000
Q038,selection_projection,1,1,2.713000,2.713000,2.713000,2.713000,0.063000,0.063000,2.776000
Q039,selection_projection,1,1,23.079000,23.079000,23.079000,23.079000,0.060000,0.060000,23.139000
Q040,selection_projection,1,1,131.976000,131.976000,131.976000,131.976000,0.130000,0.130000,132.106000
Q041,selection_projection,1,1,3.567000,3.567000,3.567000,3.567000,0.086000,0.086000,3.653000
Q042,selection_projection,1,1,11.544000,11.544000,11.544000,11.544000,0.052000,0.052000,11.596000
Q043,selection_projection,1,1,21.558000,21.558000,21.558000,21.558000,0.093000,0.093000,21.651000
Q044,selection_projection,1,1,10.121000,10.121000,10.121000,10.121000,0.023000,0.023000,10.144000
Q045,selection_projection,1,1,79.529000,79.529000,79.529000,79.529000,0.029000,0.029000,79.558000
Q046,selection_projection,1,1,1.660000,1.660000,1.660000,1.660000,0.042000,0.042000,1.702000
Q047,selection_projection,1,1,182.428000,182.428000,182.428000,182.428000,0.021000,0.021000,182.449000
Q048,selection_projection,1,1,1.697000,1.697000,1.697000,1.697000,0.046000,0.046000,1.743000
Q049,selection_projection,1,1,101.841000,101.841000,101.841000,101.841000,0.046000,0.046000,101.887000
Q050,selection_projection,1,1,9.099000,9.099000,9.099000,9.099000,0.083000,0.083000,9.182000
Q051,selection_projection,1,1,10.684000,10.684000,10.684000,10.684000,0.040000,0.040000,10.724000
Q052,selection_projection,1,1,1103.313000,1103.313000,1103.313000,1103.313000,46.559000,46.559000,1149.872000
Q053,selection_projection,1,1,12.253000,12.253000,12.253000,12.253000,0.040000,0.040000,12.293000
Q054,selection_projection,1,1,2.651000,2.651000,2.651000,2.651000,0.037000,0.037000,2.688000
Q055,selection_projection,1,1,2.647000,2.647000,2.647000,2.647000,0.066000,0.066000,2.713000
Q056,selection_projection,1,1,6.690000,6.690000,6.690000,6.690000,0.018000,0.018000,6.708000
Q057,selection_projection,1,1,2.610000,2.610000,2.610000,2.610000,0.022000,0.022000,2.632000
Q058,selection_projection,1,1,86.256000,86.256000,86.256000,86.256000,0.038000,0.038000,86.294000
Q059,selection_projection,1,1,52.866000,52.866000,52.866000,52.866000,0.037000,0.037000,52.903000
Q060,selection_projection,1,1,134.238000,134.238000,134.238000,134.238000,0.059000,0.059000,134.297000
Q061,selection_projection,1,1,1.824000,1.824000,1.824000,1.824000,0.036000,0.036000,1.860000
Q062,selection_projection,1,1,69.637000,69.637000,69.637000,69.637000,0.029000,0.029000,69.666000
Q063,selection_projection,1,1,302.221000,302.221000,302.221000,302.221000,0.059000,0.059000,302.280000
Q064,selection_projection,1,1,18.465000,18.465000,18.465000,18.465000,0.046000,0.046000,18.511000
Q065,selection_projection,1,1,18.472000,18.472000,18.472000,18.472000,0.047000,0.047000,18.519000
Q066,selection_projection,1,1,286.396000,286.396000,286.396000,286.396000,0.081000,0.081000,286.477000
