query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,293.087000,293.087000,293.087000,293.087000,0.343000,0.343000,293.430000
Q002,selection_projection,1,1,58.465000,58.465000,58.465000,58.465000,0.053000,0.053000,58.518000
Q003,selection_projection,1,1,49.888000,49.888000,49.888000,49.888000,0.103000,0.103000,49.991000
Q004,selection_projection,1,1,29.760000,29.760000,29.760000,29.760000,0.095000,0.095000,29.855000
Q005,selection_projection,1,1,1163.560000,1163.560000,1163.560000,1163.560000,0.094000,0.094000,1163.654000
Q006,selection_projection,1,1,474.082000,474.082000,474.082000,474.082000,0.094000,0.094000,474.176000
Q007,selection_projection,1,1,9.924000,9.924000,9.924000,9.924000,0.111000,0.111000,10.035000
Q008,selection_projection,1,1,40.105000,40.105000,40.105000,40.105000,0.075000,0.075000,40.180000
Q009,selection_projection,1,1,68.239000,68.239000,68.239000,68.239000,0.066000,0.066000,68.305000
Q010,selection_projection,1,1,23.318000,23.318000,23.318000,23.318000,0.074000,0.074000,23.392000
Q011,selection_projection,1,1,61.241000,61.241000,61.241000,61.241000,0.078000,0.078000,61.319000
Q012,selection_projection,1,1,203.838000,203.838000,203.838000,203.838000,0.085000,0.085000,203.923000
Q013,selection_projection,1,1,11.922000,11.922000,11.922000,11.922000,0.067000,0.067000,11.989000
Q014,selection_projection,1,1,23.290000,23.290000,23.290000,23.290000,0.103000,0.103000,23.393000
Q015,selection_projection,1,1,164.135000,164.135000,164.135000,164.135000,0.094000,0.094000,164.229000
Q016,selection_projection,1,1,10.412000,10.412000,10.412000,10.412000,0.057000,0.057000,10.469000
Q017,selection_projection,1,1,38.685000,38.685000,38.685000,38.685000,0.088000,0.088000,38.773000
Q018,selection_projection,1,1,8.718000,8.718000,8.718000,8.718000,0.035000,0.035000,8.753000
Q019,selection_projection,1,1,6.140000,6.140000,6.140000,6.140000,0.043000,0.043000,6.183000
Q020,selection_projection,1,1,97.516000,97.516000,97.516000,97.516000,0.103000,0.103000,97.619000
Q021,selection_projection,1,1,224.407000,224.407000,224.407000,224.407000,0.106000,0.106000,224.513000
Q022,selection_projection,1,1,3.392000,3.392000,3.392000,3.392000,0.058000,0.058000,3.450000
Q023,selection_projection,1,1,189.217000,189.217000,189.217000,189.217000,0.112000,0.112000,189.329000
Q024,selection_projection,1,1,312.390000,312.390000,312.390000,312.390000,0.108000,0.108000,312.498000
Q025,selection_projection,1,1,313.356000,313.356000,313.356000,313.356000,0.137000,0.137000,313.493000
Q026,selection_projection,1,1,26.720000,26.720000,26.720000,26.720000,0.058000,0.058000,26.778000
Q027,selection_projection,1,1,18.275000,18.275000,18.275000,18.275000,0.063000,0.063000,18.338000
Q028,selection_projection,1,1,4.573000,4.573000,4.573000,4.573000,0.096000,0.096000,4.669000
Q029,selection_projection,1,1,0.723000,0.723000,0.723000,0.723000,0.026000,0.026000,0.749000
Q030,selection_projection,1,1,169.864000,169.864000,169.864000,169.864000,0.062000,0.062000,169.926000
Q031,selection_projection,1,1,44.087000,44.087000,44.087000,44.087000,0.113000,0.113000,44.200000
Q032,selection_projection,1,1,261.452000,261.452000,261.452000,261.452000,0.075000,0.075000,261.527000
Q033,selection_projection,1,1,32.016000,32.016000,32.016000,32.016000,0.090000,0.090000,32.106000
Q034,selection_projection,1,1,1.330000,1.330000,1.330000,1.330000,0.053000,0.053000,1.383000
Q035,selection_projection,1,1,11.604000,11.604000,11.604000,11.604000,0.047000,0.047000,11.651000
Q036,selection_projection,1,1,69.616000,69.616000,69.616000,69.616000,0.021000,0.021000,69.637000
Q037,selection_projection,1,1,7.820000,7.820000,7.820000,7.820000,0.058000,0.058000,7.878000
Q038,selection_projection,1,1,294.122000,294.122000,294.122000,294.122000,0.042000,0.042000,294.164000
Q039,selection_projection,1,1,21.815000,21.815000,21.815000,21.815000,0.050000,0.050000,21.865000
Q040,selection_projection,1,1,22.596000,22.596000,22.596000,22.596000,0.057000,0.057000,22.653000
Q041,selection_projection,1,1,2.915000,2.915000,2.915000,2.915000,0.084000,0.084000,2.999000
Q042,selection_projection,1,1,21.119000,21.119000,21.119000,21.119000,0.056000,0.056000,21.175000
Q043,selection_projection,1,1,1653.754000,1653.754000,1653.754000,1653.754000,0.045000,0.045000,1653.799000
Q044,selection_projection,1,1,8.357000,8.357000,8.357000,8.357000,0.040000,0.040000,8.397000
Q045,selection_projection,1,1,71.106000,71.106000,71.106000,71.106000,0.077000,0.077000,71.183000
Q046,selection_projection,1,1,44.517000,44.517000,44.517000,44.517000,0.066000,0.066000,44.583000
Q047,selection_projection,1,1,64.259000,64.259000,64.259000,64.259000,0.079000,0.079000,64.338000
Q048,selection_projection,1,1,17.287000,17.287000,17.287000,17.287000,0.056000,0.056000,17.343000
