query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,114.261000,114.261000,114.261000,114.261000,0.733000,0.733000,114.994000
Q002,selection_projection,1,1,55.090000,55.090000,55.090000,55.090000,0.044000,0.044000,55.134000
Q003,selection_projection,1,1,20.698000,20.698000,20.698000,20.698000,0.093000,0.093000,20.791000
Q004,selection_projection,1,1,32.282000,32.282000,32.282000,32.282000,0.076000,0.076000,32.358000
Q005,selection_projection,1,1,1378.798000,1378.798000,1378.798000,1378.798000,0.078000,0.078000,1378.876000
Q006,selection_projection,1,1,504.499000,504.499000,504.499000,504.499000,0.096000,0.096000,504.595000
Q007,selection_projection,1,1,10.125000,10.125000,10.125000,10.125000,0.093000,0.093000,10.218000
Q008,selection_projection,1,1,25.332000,25.332000,25.332000,25.332000,0.072000,0.072000,25.404000
Q009,selection_projection,1,1,72.256000,72.256000,72.256000,72.256000,0.052000,0.052000,72.308000
Q010,selection_projection,1,1,8.780000,8.780000,8.780000,8.780000,12.159000,12.159000,20.939000
Q011,selection_projection,1,1,18.220000,18.220000,18.220000,18.220000,0.083000,0.083000,18.303000
Q012,selection_projection,1,1,213.945000,213.945000,213.945000,213.945000,0.070000,0.070000,214.015000
Q013,selection_projection,1,1,12.212000,12.212000,12.212000,12.212000,0.074000,0.074000,12.286000
Q014,selection_projection,1,1,14.066000,14.066000,14.066000,14.066000,0.083000,0.083000,14.149000
Q015,selection_projection,1,1,93.931000,93.931000,93.931000,93.931000,16.582000,16.582000,110.513000
Q016,selection_projection,1,1,10.283000,10.283000,10.283000,10.283000,0.057000,0.057000,10.340000
Q017,selection_projection,1,1,36.088000,36.088000,36.088000,36.088000,0.078000,0.078000,36.166000
Q018,selection_projection,1,1,8.927000,8.927000,8.927000,8.927000,0.030000,0.030000,8.957000
Q019,selection_projection,1,1,6.606000,6.606000,6.606000,6.606000,0.040000,0.040000,6.646000
Q020,selection_projection,1,1,46.207000,46.207000,46.207000,46.207000,0.145000,0.145000,46.352000
Q021,selection_projection,1,1,284.218000,284.218000,284.218000,284.218000,0.115000,0.115000,284.333000
Q022,selection_projection,1,1,4.224000,4.224000,4.224000,4.224000,0.059000,0.059000,4.283000
