query_id,category,expected_occurrences,observed_occurrences,total_execution_ms,mean_execution_ms,min_execution_ms,max_execution_ms,total_planning_ms,mean_planning_ms,total_planning_plus_execution_ms
Q001,selection_projection,1,1,7782.503000,7782.503000,7782.503000,7782.503000,0.369000,0.369000,7782.872000
Q002,selection_projection,1,1,2993.618000,2993.618000,2993.618000,2993.618000,0.102000,0.102000,2993.720000
Q003,selection_projection,1,1,1207.428000,1207.428000,1207.428000,1207.428000,0.050000,0.050000,1207.478000
Q004,selection_projection,1,1,1092.241000,1092.241000,1092.241000,1092.241000,0.261000,0.261000,1092.502000
Q005,selection_projection,1,1,2295.979000,2295.979000,2295.979000,2295.979000,0.228000,0.228000,2296.207000
Q006,selection_projection,1,1,1912.023000,1912.023000,1912.023000,1912.023000,0.384000,0.384000,1912.407000
Q007,selection_projection,1,1,1413.088000,1413.088000,1413.088000,1413.088000,0.115000,0.115000,1413.203000
Q008,selection_projection,1,1,1090.186000,1090.186000,1090.186000,1090.186000,0.074000,0.074000,1090.260000
Q009,selection_projection,1,1,1840.755000,1840.755000,1840.755000,1840.755000,0.072000,0.072000,1840.827000
Q010,selection_projection,1,1,2013.972000,2013.972000,2013.972000,2013.972000,0.122000,0.122000,2014.094000
Q011,selection_projection,1,1,1009.424000,1009.424000,1009.424000,1009.424000,0.064000,0.064000,1009.488000
Q012,selection_projection,1,1,1550.944000,1550.944000,1550.944000,1550.944000,0.176000,0.176000,1551.120000
Q013,selection_projection,1,1,2073.525000,2073.525000,2073.525000,2073.525000,0.070000,0.070000,2073.595000
Q014,selection_projection,1,1,639.156000,639.156000,639.156000,639.156000,41.263000,41.263000,680.419000
Q015,selection_projection,1,1,1087.251000,1087.251000,1087.251000,1087.251000,0.074000,0.074000,1087.325000
Q016,selection_projection,1,1,990.305000,990.305000,990.305000,990.305000,0.287000,0.287000,990.592000
Q017,selection_projection,1,1,1228.398000,1228.398000,1228.398000,1228.398000,0.061000,0.061000,1228.459000
Q018,selection_projection,1,1,1023.691000,1023.691000,1023.691000,1023.691000,0.049000,0.049000,1023.740000
Q019,selection_projection,1,1,996.446000,996.446000,996.446000,996.446000,0.044000,0.044000,996.490000
Q020,selection_projection,1,1,1231.958000,1231.958000,1231.958000,1231.958000,0.058000,0.058000,1232.016000
Q021,selection_projection,1,1,1053.601000,1053.601000,1053.601000,1053.601000,0.273000,0.273000,1053.874000
Q022,selection_projection,1,1,1096.181000,1096.181000,1096.181000,1096.181000,0.044000,0.044000,1096.225000
