Greedy-1,Greedy-2,ABI,PBI,CIP,"(ABI,CIP,ABI)","(ABI,PBI,ABI)","(ABI,ABI,CIP)","(ABI,ABI,PBI)"
307344.6,307344.6,338079.06,307344.6,307344.6,338079.06,338079.06,338079.06,338079.06
236378.3,236378.3,260016.13,236378.3,236378.3,260016.13,260016.13,260016.13,260016.13
395898511,395898511,2264689133,395898511,395898511,1704289994,1704289994,1052122218,1052122218
,,,,,,,,
Greedy-1,Greedy-2,ABI,PBI,CIP,"(ABI,CIP,ABI)","(ABI,PBI,ABI)","(ABI,ABI,CIP)","(ABI,ABI,PBI)"
307344.6,307344.6,338079.06,307344.6,307344.6,338079.06,338079.06,338079.06,338079.06
160000,160000,160000,70620064.05,236378.3,160000,160000,204670.8,35143798.18
40000,40000,40000,17655016.01,236378.3,40000,40000,204670.8,8785949.544
17777.8,17777.8,17777.8,7343990.957,236378.3,17777.8,17777.8,28830.4,3402178.711
10000,10000,10000,4130989.75,236378.3,10000,10000,28830.4,1913723.133
610789189.2,610789189.2,2122971379,1221252989,611025567.5,1652522262,1652522262,1155807047,1459397295
502420777.4,502420777.4,1805312525,1028394601,502657155.7,1399974944,1399974944,972034895.2,1233579037
651270845.9,651270845.9,2388367310,1307606091,651507224.2,1847945989,1847945989,1277145601,1581170767
114792576.3,114792576.3,427300401.1,232868862.8,115028954.6,330077307.9,330077307.9,227412591.3,282083804.9
,,,,,,,,
Greedy-1,Greedy-2,ABI,PBI,CIP,"(ABI,CIP,ABI)","(ABI,PBI,ABI)","(ABI,ABI,CIP)","(ABI,ABI,PBI)"
40000,40000,40000,17023072.22,307344.6,40000,40000,52656.6,8002501.938
10000,10000,10000,4255768.055,307344.6,10000,10000,52656.6,2000625.485
17777.8,17777.8,17777.8,7911700.492,307344.6,17777.8,17777.8,202829.2,3902553.133
160000,160000,160000,71205215.42,307344.6,160000,160000,202829.2,35122934.29
236378.3,236378.3,260016.13,236378.3,236378.3,260016.13,260016.13,260016.13,260016.13
65470910.74,65470910.74,224957505.6,132156796,65778255.34,179056365,179056365,119962283,151258487.4
20377929.63,20377929.63,72514002.25,42177505.68,20685274.23,57508946.81,57508946.81,38226569.87,48421837.22
17681941.34,17681941.34,61995811.72,37057904.03,17989285.94,49242030.15,49242030.15,33010745.18,42365371.29
332827534.7,332827534.7,1106556446,671135662.6,333134879.3,883872906.4,883872906.4,597132862.7,763805087.2
,,,,,,,,
Greedy-1,Greedy-2,ABI,PBI,CIP,"(ABI,CIP,ABI)","(ABI,PBI,ABI)","(ABI,ABI,CIP)","(ABI,ABI,PBI)"
52656.6,52656.6,57922.26,11874814.03,307344.6,137489.06,605229.8662,52656.6,52656.6
202829.2,202829.2,223112.12,45740876.35,307344.6,302678.92,5384153.212,202829.2,202829.2
160000,160000,160000,70620064.05,236378.3,160000,160000,204670.8,35143798.18
40000,40000,40000,17655016.01,236378.3,40000,40000,204670.8,8785949.544
17777.8,17777.8,17777.8,7343990.957,236378.3,17777.8,17777.8,28830.4,3402178.711
10000,10000,10000,4130989.75,236378.3,10000,10000,28830.4,1913723.133
78848929.39,78848929.39,141203552.3,205203379.1,79392652.29,141283119.1,141750859.9,79053600.19,120465402.5
