Greedy,ABI+Folded,ABI,PBI+Folded,PBI,CIP+Folded,CIP
5.672,5.748,5.783,5.85,5.745,5.812,5.869
1909.509,2137.883,2021.925,1439.851,967.22,1538.739,1477.382
1971.96,1966.641,1792.073,10056.74,9801.349,2046.272,1735.303
385.712,136.43,129.275,3528.807,3393.098,1507.966,1254.537
1228.555,1575.556,1238.895,14027.06,13972.216,2010.916,1634.055
269.087,282.771,261.315,11466.344,11357.463,1567.228,1259.535
232.81,204.606,115.896,12765.841,12746.742,1224.128,923.996
5.996,12.11,6.145,558.604,553.848,1095.558,1034.951
4.541,7.711,4.263,1286.334,1275.036,1092.52,1030.154
28.328,46.098,28.971,2580.738,2563.747,1130.289,1071.841
7.528,13.19,7.507,1433.228,1430.849,1124.526,1062.416
40.38,65.136,42.543,3113.764,3119.577,1131.406,1080.437
6.374,11.488,6.496,1396.7,1360.58,1104.467,1044.75
30.428,39.281,35.813,2161.836,2096.87,1366.301,1310.063
32.82,25.821,15.947,1943.66,1923.18,1092.629,1029.928
529.759,324.047,291.581,8736.574,8622.339,1824.922,1530.83
471.873,273.593,261.071,9004.644,8859.645,1591.215,1290.604
321.476,176.985,104.646,9449.397,9379.323,1231.194,952.374
5.703,9.72,5.089,501.818,505.728,1065.654,1034.287
1.734,2.256,1.229,261.568,255.253,1049.876,1021.76
294.201,100.605,64.012,3778.679,3681.73,1121.323,937.481
0.92,1.084,0.92,104.498,106.476,1059.039,1034.934
155.646,157.59,155.859,86.146,85.548,128.907,129.393
118.339,119.177,122.315,436.724,450.123,166.157,178.776
7.934,4.422,4.467,113.031,113.217,104.332,103.614
103.395,57.648,57.121,777.414,771.566,143.278,144.072
10.033,9.923,10.413,206.287,207.615,107.15,110.301
490.452,2667.185,2630.009,99.392,95.883,108.293,95.432
2464.051,2662.759,2614.66,147.605,147.606,151.374,147.868
140.24,565.325,561.849,47.71,48.227,50.239,47.451
4.795,4.765,5.873,4.901,5.14,4.927,4.962
209.043,211.207,200.374,301.039,306.782,257.495,263.461
200.189,204.061,194.227,375.448,377.324,251.459,258.424
165.741,164.113,160.764,159.086,163.153,203.46,213.604
168.617,171.561,166.338,170.812,166.411,201.672,221.174
161.606,170.69,161.415,139.725,135.017,203.372,208.705
226.93,230.796,224.163,155.341,154.657,173.184,172.484
4.478,4.752,3.624,4.562,3.438,4.686,3.526
14.121,14.349,13.496,14.53,13.728,15.045,13.41
6.365,6.402,6.379,6.149,6.53,6.285,6.344
35.699,36.448,34.711,34.997,34.731,35.521,36.013
3.728,3.624,3.681,4.238,3.8,3.689,3.539
8.053,7.979,7.791,7.984,7.957,7.952,8.251
4.251,4.57,4.486,4.273,4.449,4.305,4.261
18.712,19.362,18.127,20.013,19.123,17.826,19.142
7.598,7.922,5.442,7.734,6.515,8,5.807
2.764,4.182,2.506,2.883,2.7,2.535,2.726
4009.305,1229.312,4037.069,1021.699,3123.742,1733.734,3521.352
19467.481,19554.453,19733.418,17466.236,17623.895,18364.975,17695.051
17961.534,18261.6,18118.243,13623.907,13419.721,13793.646,13676.558
29299.894,27928.458,28165.124,22505.093,22304.465,22587.777,22863.44
573.799,774.128,751.224,429.787,423.457,303.342,300.459
786.654,1079.501,1075.543,509.311,498.25,381.142,384.591
4.466,4.252,5.21,1.669,2.591,1.544,2.53
176.036,175.429,188.495,224.789,244.738,222.647,249.402
2703.594,2895.026,2872.18,459.627,434.591,452.22,441.354
247.573,255.701,336.815,371.572,430.36,194.665,273.703
473.681,700.663,856.877,86.199,87.504,86.037,88.29
16.674,15.656,16.177,16.349,17.292,15.495,16.807
133409.942,185910.762,185942.369,47745.306,47263.561,47617.005,47328.858
2493.825,2673.069,2661.922,180.674,176.729,171.439,178.837
31.28,32.159,57.781,33.002,62.12,32.962,58.193
2792.789,2963.27,2925.442,675.287,1808.931,675.318,647.995
20.654,21.29,21.404,20.464,21.672,20.285,21.891
1075.022,1077.089,1071.866,17842.713,17538.263,3269.089,3337.139
603.519,606.614,613.641,14873.788,14722.699,2447.451,2366.334
175.401,176.809,183.239,273.613,274.081,251.35,261.426
