Greedy,ABI+Folded,ABI,PBI+Folded,PBI,CIP+Folded,CIP
6.091,5.748,5.783,5.85,5.745,5.812,5.869
1444.541,2137.883,2021.925,1439.851,967.22,1538.739,1477.382
1765.153,1966.641,1792.073,10056.74,9801.349,2046.272,1735.303
1250.079,136.43,129.275,3528.807,3393.098,1507.966,1254.537
1637.171,1575.556,1238.895,14027.06,13972.216,2010.916,1634.055
1266.626,282.771,261.315,11466.344,11357.463,1567.228,1259.535
913.762,204.606,115.896,12765.841,12746.742,1224.128,923.996
1022.335,12.11,6.145,558.604,553.848,1095.558,1034.951
1022.709,7.711,4.263,1286.334,1275.036,1092.52,1030.154
1059.813,46.098,28.971,2580.738,2563.747,1130.289,1071.841
1049.611,13.19,7.507,1433.228,1430.849,1124.526,1062.416
1076.153,65.136,42.543,3113.764,3119.577,1131.406,1080.437
1031.257,11.488,6.496,1396.7,1360.58,1104.467,1044.75
1301.948,39.281,35.813,2161.836,2096.87,1366.301,1310.063
1023.052,25.821,15.947,1943.66,1923.18,1092.629,1029.928
1522.274,324.047,291.581,8736.574,8622.339,1824.922,1530.83
1290.351,273.593,261.071,9004.644,8859.645,1591.215,1290.604
943.017,176.985,104.646,9449.397,9379.323,1231.194,952.374
1029.191,9.72,5.089,501.818,505.728,1065.654,1034.287
28.006,2.256,1.229,261.568,255.253,1049.876,1021.76
923.881,100.605,64.012,3778.679,3681.73,1121.323,937.481
14.107,1.084,0.92,104.498,106.476,1059.039,1034.934
175.894,157.59,155.859,86.146,85.548,128.907,129.393
94.31,119.177,122.315,436.724,450.123,166.157,178.776
75.516,4.422,4.467,113.031,113.217,104.332,103.614
116.34,57.648,57.121,777.414,771.566,143.278,144.072
36.61,9.923,10.413,206.287,207.615,107.15,110.301
95.814,2667.185,2630.009,99.392,95.883,108.293,95.432
149.766,2662.759,2614.66,147.605,147.606,151.374,147.868
47.547,565.325,561.849,47.71,48.227,50.239,47.451
4.855,4.765,5.873,4.901,5.14,4.927,4.962
157.698,211.207,200.374,301.039,306.782,257.495,263.461
151.152,204.061,194.227,375.448,377.324,251.459,258.424
120.459,164.113,160.764,159.086,163.153,203.46,213.604
124.447,171.561,166.338,170.812,166.411,201.672,221.174
118.325,170.69,161.415,139.725,135.017,203.372,208.705
238.437,230.796,224.163,155.341,154.657,173.184,172.484
4.618,4.752,3.624,4.562,3.438,4.686,3.526
14.037,14.349,13.496,14.53,13.728,15.045,13.41
6.164,6.402,6.379,6.149,6.53,6.285,6.344
33.774,36.448,34.711,34.997,34.731,35.521,36.013
3.618,3.624,3.681,4.238,3.8,3.689,3.539
8.308,7.979,7.791,7.984,7.957,7.952,8.251
4.4,4.57,4.486,4.273,4.449,4.305,4.261
19.294,19.362,18.127,20.013,19.123,17.826,19.142
7.777,7.922,5.442,7.734,6.515,8,5.807
2.8,4.182,2.506,2.883,2.7,2.535,2.726
3296.406,1229.312,4037.069,1021.699,3123.742,1733.734,3521.352
17449.745,19554.453,19733.418,17466.236,17623.895,18364.975,17695.051
13757.608,18261.6,18118.243,13623.907,13419.721,13793.646,13676.558
22385.019,27928.458,28165.124,22505.093,22304.465,22587.777,22863.44
299.916,774.128,751.224,429.787,423.457,303.342,300.459
381.863,1079.501,1075.543,509.311,498.25,381.142,384.591
2.305,4.252,5.21,1.669,2.591,1.544,2.53
142.904,175.429,188.495,224.789,244.738,222.647,249.402
453.366,2895.026,2872.18,459.627,434.591,452.22,441.354
188.914,255.701,336.815,371.572,430.36,194.665,273.703
88.067,700.663,856.877,86.199,87.504,86.037,88.29
17.354,15.656,16.177,16.349,17.292,15.495,16.807
47232.289,185910.762,185942.369,47745.306,47263.561,47617.005,47328.858
172.293,2673.069,2661.922,180.674,176.729,171.439,178.837
32.219,32.159,57.781,33.002,62.12,32.962,58.193
671.726,2963.27,2925.442,675.287,1808.931,675.318,647.995
20.56,21.29,21.404,20.464,21.672,20.285,21.891
3325.99,1077.089,1071.866,17842.713,17538.263,3269.089,3337.139
2350.148,606.614,613.641,14873.788,14722.699,2447.451,2366.334
170.695,176.809,183.239,273.613,274.081,251.35,261.426
