Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
1436.173,1842.621,2014.972,2033.663,1475.5,987.632,1505.106,1436.958
1033.422,7.439,14.161,7.289,1496.412,1454.948,1112.734,1063.534
1273.912,215.452,276.178,252.008,9284.978,9100.375,1596.767,1306.594
160.73,166.096,378.493,207.446,323.852,346.403,263.266,272.428
152.728,159.862,422.524,199.666,413.288,425.019,253.84,265.477
114.544,117.119,80.228,159.584,141.756,137.092,199.069,209.9
8.034,8.148,14.087,8.151,9.364,7.707,8.245,7.84
458.878,684.557,1985.272,1970.4,489.441,442.535,7394.927,482.657
187.145,319.625,1003.177,973.624,194.645,189.883,7246.275,183.718
30.757,31.957,32.05,63.526,32.232,57.88,33.148,57.641
705.366,955.244,2721.116,2666.103,795.839,1797.373,7360.961,701.728
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
4.155,4.322,8.138,4.504,1319.495,1302.87,1121.893,1043.988
15.856,16.092,24.442,15.992,2055.516,2004.625,1113.84,1037.386
234.409,320.841,315.893,298.976,8813.157,9716.418,1867.856,1533.039
262.814,255.663,172.728,103.879,10103.657,10548.119,1265.125,982.509
187.295,5.08,10.378,5.2,517.462,502.364,1120.663,1047.618
72.254,4.508,5.542,4.722,117.756,111.682,102.224,104.022
374.692,339.716,562.541,580.33,170.463,152.523,9265.273,153.427
4.706,5.211,5.481,5.361,4.749,4.856,4.874,4.927
153.624,199.524,428.303,425.752,409.404,432.096,254.891,263.432
3.811,3.606,4.286,3.907,3.601,3.543,3.868,3.602
606.915,3757.24,628.944,626.913,15746.011,14962.328,3128.474,2377.931
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
1058.75,4.621,8.155,4.485,1317.183,1350.743,1108.993,1062.75
1539.563,265.91,326.368,306.067,8848.994,9026.914,1853.762,1555.322
970.977,282.403,174.74,106.297,10443.039,9851.924,1266.005,1011.191
75.9,5.949,5.535,4.643,113.69,111.199,101.57,103.756
156.383,201.134,575.071,2689.64,159.665,153.449,9228.157,156.374
5.536,7.326,5.293,4.851,5.024,4.994,4.913,5.066
172.999,392.004,392.523,213.363,323.009,323.954,281.236,282.448
164.38,385.417,434.027,201.876,407.313,389.648,273.922,268.444
3.666,4.161,3.799,3.78,3.682,3.592,3.79,3.829
18350.943,19713.621,19778.824,19927.359,18265.202,17735.473,18554.539,18234.236
23043.906,27696.08,28073.166,28340.307,23048.888,22993.742,23017.631,23058.191
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
5.353,5.363,11.258,5.279,522.828,518.263,1128.583,1072.103
163.29,162.397,164.444,163.709,88.511,92.086,127.674,128.281
119.065,116.175,62.393,56.907,837.262,834.504,148.669,147.385
144.338,116.739,383.97,2650.836,109.385,101.876,98.69,102.038
164.633,162.984,438.542,206.033,412.088,411.685,257.971,259.158
5.669,5.435,8.134,5.646,7.867,5.555,7.662,5.766
2.631,2.591,2.794,2.603,2.627,3.957,2.532,2.664
382.909,334.46,1282.893,805.121,506.411,441.227,311.183,309.988
14.494,14.736,48.703,17.723,15.821,16.518,15.531,18.379
20.415,20.236,24.974,23.132,21.582,22.523,20.864,22.718
630.928,2318.092,631.74,628.046,17206.577,17068.807,2547.956,2449.578
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
6.181,6.075,12.281,6.182,568.28,579.213,1096.72,1038.007
4.357,4.331,7.891,4.501,1309.235,1285.535,1101.08,1043.974
6.641,6.354,12.621,6.609,1418.385,1389.824,1127.282,1065.535
5.374,5.149,10.99,5.262,512.731,506.564,1118.884,1059.274
1.377,1.66,2.445,2.166,262.638,261.559,1095.532,1031.773
1.538,0.936,1.263,1.68,107.685,107.573,1110.67,1059.926
9.925,9.617,11.783,10.163,227.237,214.461,108.671,109.407
136.954,138.933,233.158,262.549,395.511,360.637,222.748,628.377
163.669,156.395,713.625,676.569,108.846,91.806,84.04,90.391
1089.909,3239.237,1120.851,1074.871,19403.3,17738.386,3307.75,3120.82
374.418,377.089,110.426,108.746,272.497,272.557,264.572,100.684
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
1465.287,1823.262,1965.866,1991.913,1452.537,976.851,1561.247,3003.034
1757.056,2124.549,1894.194,1814.841,13932.361,9935.011,2018.464,3131.526
1305.085,136.294,281.752,246.373,9253.985,8916.218,1628.49,2860.097
98.23,113.257,369.706,2600.299,95.356,97.71,9181.736,96.281
4.898,4.937,5.382,5.46,4.877,4.812,5.165,4.797
6.29,6.423,6.738,6.672,6.042,6.255,6.116,6.292
35.955,35.61,39.267,39.064,32.645,35.096,39.07,35.198
17970.909,19604.188,19534.345,19388.318,17590.221,17206.466,18264.042,17905.035
144.079,146.559,181.177,188.824,223.562,234.958,226.618,234.569
177.707,207.748,2663.273,2662.933,174.021,179.156,182.557,180.404
168.493,169.984,174.7,171.786,278.741,272.014,266.479,257.033
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
215.405,223.571,285.357,271.8,12279.799,12809.432,1320.171,1504.612
28.997,30.431,45.321,28.797,2695.613,2635.781,1142.312,1093.157
7.452,7.54,13.62,7.217,1508.07,1430.932,1140.113,1099.575
26.369,1.215,2.265,1.247,267.631,259.398,1099.499,1027.311
74.846,4.54,6.22,4.407,113.198,114.473,103.405,109.627
10.048,10.705,12.336,10.192,215.251,204.731,108.573,107.887
75.379,82.825,170.035,558.395,50.474,44.73,46.229,48.164
3.823,3.786,3.615,3.875,3.655,3.53,3.5,3.666
382.457,417.349,829.612,806.875,489.577,424.283,300.557,308.14
1.925,2.123,4.185,43.596,2.576,2.498,2.02,2.495
20.113,19.983,20.024,22.296,21.032,22.036,20.798,22.012
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
47.487,45.015,46.297,28.064,2708.116,2702.769,1133.473,1090.531
13.498,14.108,13.123,7.475,1476.964,1471.376,1134.618,1074.63
210.634,223.488,280.204,256.177,9284.258,9063.488,1661.564,1302.603
2.319,2.574,2.413,1.203,258.799,264.7,1090.465,1022.91
281.943,277.884,394.444,205.786,314.445,348.651,274.532,272.254
60.196,60.55,85.004,160.689,143.295,142.689,210.646,209.512
17.04,15.251,15.143,14.051,14.873,13.761,14.214,13.72
7.944,6.852,7.113,6.939,6.125,6.577,6.323,6.217
1170.19,1077.632,1235.87,4067.269,974.005,3180.694,2253.01,3397.356
189.648,196.509,277.093,339.172,378.33,456.101,224.042,265.442
32.684,31.654,34.409,64.455,33.354,58.327,33.143,56.269
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
388.902,148.284,131.81,128.641,3543.347,3549.577,1301.885,1251.228
1153.897,1863.748,1558.944,1249.742,20391.654,14230.603,1678.738,1666.273
942.514,119.179,203.217,119.998,12839.023,12902.949,965.548,927.211
276.596,15.882,24.994,15.576,1936.916,1942.474,1110.123,1035.478
113.435,146.92,373.215,2590.787,98.571,97.338,99.779,96.755
59.104,76.623,162.901,552.556,47.885,47.317,47.333,46.885
207.22,203.839,131.686,160.983,161.37,160.933,200.014,206.03
170.734,174.336,146.512,220.425,149.664,150.931,174.669,175.607
333.484,402.217,1263.155,792.851,441.937,427.916,312.577,306.904
195.171,191.002,265.906,341.703,397.532,429.245,196.265,275.624
285.074,359.822,983.004,1007.946,173.725,181.775,181.026,228.427
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
1615.871,237.928,313.381,286.82,8665.35,8868.652,1909.895,1539.065
151.939,161.431,169.904,154.103,88.64,87.125,127.869,127.401
64.299,69.801,124.85,123.84,463.768,460.774,170.924,179.659
6.069,7.297,6.868,6.663,6.216,6.422,6.521,6.134
1367.271,1313.001,1244.799,4212.772,964.43,3191.496,2238.828,3418.125
17942.413,19690.614,19612.212,19546.432,23969.08,17896.992,18068.351,17922.653
298.851,329.196,754.29,740.471,441.668,435.013,307.297,306.106
131.161,128.768,175.391,186.192,234.698,252.279,228.332,253.241
664.382,2702.343,3023.154,2927.954,679.569,1853.857,676.663,661.969
20.87,19.638,21.219,21.044,19.653,22.785,21.412,22.348
3497.497,3468.021,1094.409,1085.819,17971.632,17798.317,3235.468,3339.122
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
1040.056,16.167,24.905,15.319,2089.054,2084.034,1094.299,1052.677
1043.86,5.297,11.143,5.492,522.977,535.367,1152.588,1044.784
929.319,123.576,102.652,62.886,3895.086,3832.904,1200.992,936.689
151.031,152.213,453.162,205.922,409.935,396.496,267.184,253.27
112.013,124.36,80.327,160.334,150.79,143.833,210.755,193.905
4.214,4.591,4.816,4.392,4.376,4.256,4.382,4.28
301.056,369.64,1223.665,776.303,455.984,433.044,7384.837,299.2
191.111,196.673,266.369,333.666,384.087,487.229,198.992,274.332
99.529,130.973,681.125,669.287,102.99,90.375,7267.456,95.227
47946.911,71494.178,183804.632,179523.148,47692.978,47972.619,48019.235,48137.804
32.718,34.295,30.61,59.295,34.973,58.863,31.773,59.779
,,,,,,,
,,,,,,,
Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
1621.997,1759.978,1577.887,1234.035,22084.75,14066.12,2017.768,1646.202
1301.74,324.713,263.378,250.552,10312.258,8975.27,1672.655,1324.739
13.862,0.647,1.296,0.659,105.362,103.452,1106.598,1050.662
132.152,107.861,60.321,57.462,791.552,781.262,151.938,143.023
211.86,122.295,141.733,162.733,164.896,168.132,215.9,214.286
199.675,115.06,85.786,168.573,139.454,136.534,198.432,217.809
169.507,235.957,148.823,231.405,151.135,149.826,175.533,180.932
380.426,463.121,1584.397,1548.896,521.08,506.724,7618.631,387.091
188.061,324.03,977.505,1021.708,174.055,176.186,7384.341,190.962
31.564,30.982,33.621,57.134,32.339,62.117,33.099,57.536
710.368,956.712,2724.219,2714.723,745.56,1806.754,7607.734,696.812
