workload,Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
0,14.334,1.288,2.553,2.317,23.812,23.361,21.47,15.042
1,5.905,1.793,1.788,1.481,67.437,67.014,61.216,51.881
2,24.959,1.534,1.729,2.595,41.743,41.911,32.325,25.736
3,1.25,1.444,2.182,3.637,13.824,13.716,20.909,19.923
4,1.406,1.531,2.241,1.872,97.545,96.308,257.392,244.36
5,1.849,1.164,2.837,4.941,7.869,7.408,10.867,3.2
6,4.435,1.151,1.824,4.213,57.559,55.903,104.373,98.544
7,1.324,1.311,1.468,1.64,51.212,51.806,101.633,95.69
8,3.51,1.369,2.38,5.05,26.01,25.623,8.981,8.541
9,1.842,1.635,1.752,1.989,6.354,6.78,2.223,2.226
10,26.21,1.273,2.58,2.262,28.135,28.31,38.34,26.583
11,3.596,1.362,2.12,2.232,22.195,21.057,163.728,149.408
