workload,Greedy-obj-1,Greedy-obj-2,ABI+folded,ABI,PBI+folded,PBI,CIP+folded,CIP
0,5561.689,4508.12,8942.258,8541.46,14657.307,14946.847,26974.338,5988.475
1,1920.531,4911.803,2166.676,2075.536,39261.271,39741.424,19248.981,8551.881
2,45543.003,48958.626,49777.501,51802.668,62935.689,61945.632,55694.518,45741.607
3,1653.725,3259.208,3059.845,4565.035,19730.959,19517.001,4667.315,4518.058
4,1800.343,3945.776,2237.334,2159.298,24586.345,22808.115,10637.949,10348.168
5,23133.989,24372.811,27116.4,29116.483,43044.348,37864.547,33379.984,27714.266
6,846.814,804.068,1392.59,1758.697,17646.876,17951.824,5287.177,5326.646
7,2033.583,1951.517,2391.113,5151.28,15592.564,17709.133,8036.03,8711.444
8,4126.131,3701.852,5245.344,7181.208,40181.624,34121.058,6267.957,6216.422
9,25760.623,28128.038,26540.477,29292.11,53504.704,50873.712,26991.56,27775.823
10,51851.818,72651.963,186683.406,181816.044,55743.23,56039.02,66832.493,52351.947
11,4961.212,4441.356,7598.966,7447.88,35222.441,26932.377,28182.629,6110.054
